Date,Price,Open,High,Low,Vol.,Change %,Return
2020-09-22,6.4,6.3,6.4,6.3,5380.0,0.0,0.0
2020-09-23,6.45,6.44,6.45,6.44,220.0,0.78,0.78125
2020-09-24,6.6,6.6,6.6,6.6,90.0,2.33,2.325581395348819
2020-09-25,6.41,6.41,6.41,6.41,1010.0,-2.88,-2.8787878787878696
2020-09-28,6.41,6.41,6.41,6.41,550.0,0.0,0.0
2020-09-29,6.44,6.49,6.49,6.44,750.0,0.47,0.46801872074884177
2020-09-30,6.4,6.4,6.4,6.3,1000.0,-0.62,-0.6211180124223614
2020-10-02,6.03,6.2,6.2,6.03,1210.0,-2.9,-2.898550724637672
2020-10-05,6.19,6.21,6.21,6.03,430.0,2.65,2.6533996683250516
2020-10-06,6.35,6.18,6.35,6.0,21540.0,2.58,2.5848142164781818
2020-10-08,6.19,6.03,6.2,6.03,4720.0,0.49,0.48701298701299134
2020-10-09,6.2,6.2,6.2,6.05,910.0,0.16,0.1615508885298933
2020-10-12,6.2,6.2,6.28,6.2,2560.0,0.0,0.0
2020-10-13,6.28,6.25,6.28,6.25,550.0,1.29,1.2903225806451646
2020-10-16,6.15,6.15,6.15,6.15,610.0,1.65,1.6528925619834878
2020-10-19,6.15,6.14,6.15,6.14,110.0,0.0,0.0
2020-10-20,5.98,6.0,6.0,5.98,1160.0,-2.76,-2.764227642276418
2020-10-22,5.99,6.16,6.16,5.99,1230.0,-2.76,-2.759740259740262
2020-10-23,6.14,6.0,6.14,6.0,150.0,2.5,2.5041736227044975
2020-10-26,6.14,6.19,6.19,5.98,4350.0,0.0,0.0
2020-10-27,6.14,6.14,6.14,6.14,2340.0,0.0,0.0
2020-10-28,6.14,5.99,6.14,5.99,740.0,0.0,0.0
2020-10-30,6.14,6.14,6.14,6.14,50.0,0.0,0.0
2020-11-02,6.0,5.96,6.0,5.96,490.0,-2.28,-2.280130293159599
2020-11-03,6.0,5.96,6.0,5.82,1870.0,0.0,0.0
2020-11-05,5.85,5.99,5.99,5.84,610.0,0.52,0.5154639175257714
2020-11-06,5.99,6.0,6.0,5.83,9930.0,2.39,2.393162393162407
2020-11-09,5.83,5.83,5.83,5.83,500.0,-2.67,-2.6711185308848084
2020-11-13,6.65,6.65,6.8,6.6,17780.0,1.53,1.526717557251911
2020-11-16,6.59,6.46,6.6,6.46,910.0,-0.9,-0.9022556390977488
2020-11-17,6.5,6.5,6.5,6.4,2450.0,-1.37,-1.365705614567525
2020-11-18,6.52,6.31,6.55,6.31,510.0,0.31,0.3076923076922977
2020-11-19,6.47,6.49,6.49,6.47,9430.0,-0.77,-0.7668711656441674
2020-11-20,6.49,6.49,6.49,6.49,100.0,0.31,0.30911901081918103
2020-11-23,6.3,6.48,6.48,6.3,1180.0,-2.93,-2.927580893682591
2020-11-24,6.15,6.18,6.3,6.12,800.0,-2.38,-2.3809523809523725
2020-11-25,6.25,6.28,6.28,6.14,1430.0,1.63,1.6260162601625883
2020-11-26,6.3,6.3,6.31,6.3,1600.0,0.8,0.8000000000000007
2020-11-27,6.3,6.35,6.35,6.15,1140.0,0.0,0.0
2020-11-30,6.29,6.3,6.3,6.15,240.0,-0.16,-0.15873015873015817
2020-12-01,6.28,6.3,6.3,6.28,1000.0,-0.16,-0.15898251192368873
2020-12-02,6.28,6.29,6.29,6.28,1940.0,0.0,0.0
2020-12-03,6.27,6.29,6.29,6.27,660.0,-0.16,-0.15923566878981443
2020-12-04,6.1,6.25,6.25,6.1,1810.0,-2.71,-2.7113237639553422
2020-12-07,6.08,6.01,6.25,5.92,4760.0,-0.33,-0.3278688524590123
2020-12-09,5.9,5.91,6.06,5.9,22010.0,0.0,0.0
2020-12-11,6.08,6.0,6.08,6.0,1400.0,0.16,0.16474464579900872
2020-12-14,6.07,6.08,6.08,5.95,360.0,-0.16,-0.1644736842105199
2020-12-15,5.95,5.95,5.95,5.95,1000.0,-1.98,-1.976935749588138
2020-12-16,6.06,6.06,6.06,6.06,100.0,1.85,1.8487394957983128
2020-12-17,6.15,6.07,6.15,6.07,970.0,1.49,1.4851485148514865
2020-12-18,6.1,6.09,6.14,6.09,4470.0,-0.81,-0.8130081300813163
2020-12-21,6.12,6.12,6.12,5.98,1980.0,0.33,0.3278688524590345
2020-12-22,6.12,5.99,6.17,5.98,8750.0,0.0,0.0
2020-12-23,6.15,6.17,6.17,5.94,960.0,0.49,0.4901960784313708
2020-12-24,6.1,6.14,6.15,5.98,60.0,-0.81,-0.8130081300813163
2020-12-25,6.13,6.15,6.15,6.0,5640.0,0.49,0.4918032786885185
2020-12-28,6.13,6.13,6.13,6.12,1900.0,0.0,0.0
2020-12-29,6.12,6.12,6.12,6.12,360.0,-0.16,-0.16313213703099683
2020-12-30,6.1,6.12,6.12,6.08,13240.0,-0.33,-0.326797385620925
2020-12-31,6.16,6.17,6.17,6.01,12750.0,0.98,0.9836065573770592
2021-01-04,6.02,6.29,6.29,6.02,710.0,-2.27,-2.272727272727282
2021-01-05,5.91,6.0,6.01,5.9,1630.0,-1.83,-1.8272425249169388
2021-01-06,5.9,5.97,5.97,5.85,3140.0,-0.17,-0.16920473773265332
2021-01-07,5.9,5.9,5.95,5.9,280.0,0.0,0.0
2021-01-08,5.98,5.83,5.98,5.8,420.0,1.36,1.3559322033898313
2021-01-11,6.1,6.0,6.14,6.0,5160.0,2.01,2.006688963210679
2021-01-12,5.98,5.98,5.98,5.98,630.0,-1.97,-1.967213114754085
2021-01-13,6.13,5.83,6.13,5.81,7140.0,2.51,2.508361204013365
2021-01-15,6.1,6.1,6.1,6.1,1020.0,-0.49,-0.4893964110929905
2021-01-18,6.0,6.0,6.0,6.0,540.0,-1.64,-1.6393442622950727
2021-01-19,6.11,5.92,6.12,5.82,12500.0,1.83,1.8333333333333313
2021-01-20,6.13,6.13,6.17,6.13,540.0,0.33,0.3273322422258529
2021-01-21,5.95,6.17,6.17,5.95,4000.0,-2.94,-2.9363784665579096
2021-01-22,6.04,5.96,6.04,5.96,670.0,1.51,1.5126050420168013
2021-01-25,5.91,5.95,5.95,5.9,6200.0,-2.15,-2.1523178807946963
2021-01-26,5.9,5.92,5.92,5.9,10410.0,-0.17,-0.16920473773265332
2021-01-27,5.97,5.9,6.07,5.83,7010.0,1.19,1.186440677966094
2021-01-28,5.86,5.86,5.86,5.86,2560.0,-1.84,-1.8425460636515845
2021-01-29,6.0,5.82,6.0,5.8,9870.0,2.39,2.3890784982935065
2021-02-02,5.81,5.99,5.99,5.81,4560.0,-0.17,-0.1718213058419349
2021-02-03,5.81,5.81,5.81,5.81,1250.0,0.0,0.0
2021-02-04,5.89,5.9,5.9,5.89,1040.0,1.38,1.376936316695354
2021-02-05,5.72,5.79,5.79,5.72,540.0,-2.89,-2.8862478777589073
2021-02-09,5.86,5.87,5.87,5.71,4800.0,-0.34,-0.340136054421758
2021-02-10,5.69,5.71,5.71,5.69,1000.0,-2.9,-2.9010238907849817
2021-02-11,5.63,5.65,5.69,5.63,2870.0,-1.05,-1.0544815465729385
2021-02-12,5.77,5.6,5.77,5.6,500.0,2.49,2.48667850799289
2021-02-15,5.75,5.61,5.75,5.6,6880.0,-0.35,-0.34662045060658286
2021-02-16,5.77,5.75,5.77,5.75,100.0,0.35,0.3478260869565153
2021-02-17,5.83,5.83,5.83,5.83,100.0,1.04,1.0398613518197708
2021-02-18,5.66,5.66,5.7,5.66,850.0,-2.92,-2.9159519725557415
2021-02-22,5.5,5.6,5.6,5.5,420.0,-2.83,-2.8268551236749095
2021-02-24,5.66,5.66,5.66,5.5,640.0,0.0,0.0
2021-02-25,5.51,5.5,5.6,5.5,1000.0,-2.65,-2.6501766784452374
2021-02-26,5.65,5.65,5.67,5.65,2550.0,2.54,2.5408348457350405
2021-03-01,5.65,5.75,5.79,5.65,2570.0,0.0,0.0
2021-03-03,5.64,5.5,5.65,5.5,790.0,-0.18,-0.1769911504424848
2021-03-04,5.65,5.5,5.65,5.49,3640.0,0.18,0.17730496453902678
2021-03-05,5.63,5.6,5.65,5.6,1900.0,-0.35,-0.3539823008849585
2021-03-08,5.6,5.63,5.63,5.6,1200.0,-0.53,-0.5328596802841923
2021-03-09,5.5,5.6,5.6,5.5,730.0,-1.79,-1.7857142857142794
2021-03-10,5.63,5.63,5.63,5.63,750.0,2.36,2.3636363636363678
2021-03-11,5.6,5.5,5.6,5.5,1350.0,-0.53,-0.5328596802841923
2021-03-12,5.6,5.6,5.6,5.6,200.0,0.0,0.0
2021-03-15,5.55,5.55,5.59,5.55,860.0,-0.89,-0.8928571428571397
2021-03-16,5.55,5.5,5.55,5.5,210.0,0.0,0.0
2021-03-17,5.67,5.45,5.67,5.45,12510.0,2.16,2.1621621621621623
2021-03-23,5.83,5.83,5.83,5.83,0.0,0.0,0.0
2021-03-24,5.66,5.83,5.83,5.66,4019.9999999999995,-2.92,-2.9159519725557415
2021-03-29,6.0,5.99,6.0,5.82,9400.0,0.0,0.0
2021-04-01,5.99,5.95,5.99,5.8,3310.0,0.0,0.0
2021-04-02,5.97,5.97,5.98,5.82,620.0,-0.33,-0.33388981636061077
2021-04-05,5.96,5.96,5.96,5.96,0.0,-0.17,-0.16750418760468344
2021-04-06,5.94,5.79,5.94,5.79,530.0,-0.34,-0.3355704697986517
2021-04-08,5.85,5.86,5.86,5.85,110.0,2.41,2.4518388791593626
2021-04-12,5.85,5.85,5.85,5.85,10.0,0.0,0.0
2021-04-13,5.86,5.77,5.86,5.77,230.0,0.17,0.17094017094019254
2021-04-14,5.85,5.85,5.85,5.71,3110.0,-0.17,-0.17064846416383617
2021-04-15,5.85,5.71,5.85,5.68,5360.0,0.0,0.0
2021-04-16,5.76,5.85,5.85,5.76,1020.0,-1.52,-1.538461538461533
2021-04-23,5.71,5.69,5.71,5.69,2029.9999999999998,-2.52,-2.5597269624573427
2021-04-26,5.76,5.85,5.85,5.76,940.0,0.86,0.8756567425569184
2021-04-27,5.85,5.85,5.85,5.59,8580.0,1.54,1.5625
2021-04-28,5.84,5.68,5.84,5.68,10.0,-0.17,-0.17094017094017033
2021-04-29,5.82,5.67,5.82,5.67,50.0,-0.34,-0.3424657534246478
2021-04-30,5.79,5.81,5.81,5.67,380.0,-0.51,-0.5154639175257825
2021-05-06,5.42,5.53,5.53,5.39,10760.0,-2.14,-2.166064981949456
2021-05-07,5.42,5.39,5.42,5.39,1570.0,0.0,0.0
2021-05-10,5.4,5.42,5.42,5.4,1070.0,-0.36,-0.36900369003689537
2021-05-11,5.41,5.33,5.42,5.28,1550.0,0.18,0.18518518518517713
2021-05-17,5.41,5.41,5.41,5.41,960.0,0.0,0.0
2021-05-18,5.42,5.41,5.56,5.41,17430.0,0.18,0.1848428835489857
2021-05-20,5.41,5.42,5.42,5.34,2560.0,-0.18,-0.18450184501844769
2021-05-21,5.28,5.4,5.42,5.28,2230.0,-2.37,-2.402957486136781
2021-05-24,5.41,5.41,5.41,5.41,200.0,2.43,2.4621212121212155
2021-05-26,5.42,5.4,5.42,5.4,10200.0,0.18,0.1848428835489857
2021-05-27,5.29,5.4,5.4,5.29,3390.0,-2.36,-2.398523985239853
2021-05-28,5.42,5.42,5.42,5.42,100.0,2.42,2.457466918714557
2021-05-31,5.42,5.42,5.42,5.42,510.0,0.0,0.0
2021-06-01,5.56,5.56,5.61,5.56,2190.0,2.73,2.58302583025829
2021-06-02,5.56,5.56,5.56,5.56,20.0,0.0,0.0
2021-06-03,5.56,5.56,5.56,5.56,70.0,0.0,0.0
2021-06-04,5.56,5.56,5.56,5.42,2510.0,0.0,0.0
2021-06-07,5.56,5.56,5.56,5.56,0.0,-0.18,0.0
2021-06-08,5.54,5.42,5.54,5.42,1550.0,-0.35,-0.3597122302158251
2021-06-10,5.53,5.52,5.53,5.38,400.0,-0.18,-0.18050541516244634
2021-06-16,5.42,5.42,5.42,5.42,10.0,-1.96,-1.9891500904159143
2021-06-17,5.42,5.35,5.5,5.32,2000.0,0.0,0.0
2021-06-21,5.39,5.39,5.39,5.39,1950.0,-0.55,-0.5535055350553542
2021-06-22,5.52,5.29,5.52,5.27,5610.0,2.38,2.4118738404452778
2021-06-23,5.42,5.42,5.42,5.42,120.0,-1.79,-1.8115942028985477
2021-06-24,5.27,5.28,5.52,5.27,2140.0,-2.73,-2.7675276752767597
2021-06-28,5.42,5.42,5.53,5.42,420.0,0.0,0.0
2021-06-29,5.52,5.52,5.52,5.52,510.0,1.82,1.845018450184499
2021-06-30,5.52,5.52,5.52,5.52,660.0,0.0,0.0
2021-07-01,5.54,5.54,5.54,5.54,10.0,0.36,0.36231884057971175
2021-07-05,5.52,5.52,5.52,5.42,1020.0,-0.36,-0.3610108303249149
2021-07-08,5.51,5.51,5.51,5.51,0.0,-0.18,-0.18115942028985588
2021-07-09,5.5,5.37,5.5,5.37,1120.0,-0.18,-0.1814882032667886
2021-07-13,5.49,5.34,5.49,5.34,310.0,-0.18,-0.181818181818183
2021-07-15,5.41,5.41,5.41,5.41,730.0,-1.44,-1.4571948998178486
2021-07-16,5.4,5.39,5.4,5.37,8060.000000000001,-0.18,-0.1848428835489746
2021-07-19,5.32,5.32,5.4,5.32,1290.0,-1.46,-1.4814814814814836
