Date,Price,Open,High,Low,Vol.,Change %,Return
2020-09-30,1.621,1.621,1.621,1.621,210.0,0.0,0.0
2020-10-01,1.621,1.621,1.621,1.621,290.0,0.0,0.0
2020-10-02,1.621,1.621,1.621,1.621,0.0,0.0,0.0
2020-10-05,1.606,1.598,1.606,1.598,110.0,-0.93,-0.9253547193090572
2020-10-06,1.576,1.591,1.591,1.576,4410.0,-1.87,-1.8679950186799466
2020-10-07,1.576,1.621,1.621,1.576,2590.0,0.0,0.0
2020-10-08,1.606,1.614,1.614,1.606,150.0,1.9,1.9035532994923887
2020-10-13,1.561,1.561,1.561,1.561,630.0,-2.8,-2.8019925280199365
2020-10-14,1.598,1.598,1.598,1.598,400.0,2.37,2.370275464445881
2020-10-16,1.659,1.621,1.659,1.621,130.0,3.82,3.817271589486859
2020-10-19,1.606,1.614,1.614,1.606,330.0,-3.19,-3.19469559975889
2020-10-20,1.606,1.606,1.606,1.576,130.0,0.0,0.0
2020-10-21,1.538,1.538,1.538,1.538,2760.0,-4.23,-4.234122042341227
2020-10-22,1.538,1.538,1.538,1.538,570.0,0.0,0.0
2020-10-23,1.529,1.576,1.576,1.529,90.0,-0.59,-0.5851755526658065
2020-10-26,1.475,1.49,1.49,1.451,1350.0,-3.53,-3.5317200784826586
2020-10-27,1.514,1.514,1.514,1.514,130.0,2.64,2.644067796610172
2020-10-28,1.506,1.545,1.545,1.506,830.0,-0.53,-0.5284015852047519
2020-10-30,1.561,1.537,1.561,1.537,510.0,3.65,3.6520584329349237
2020-11-02,1.561,1.607,1.607,1.561,1490.0,0.0,0.0
2020-11-03,1.561,1.561,1.561,1.561,900.0,0.0,0.0
2020-11-04,1.561,1.561,1.561,1.561,260.0,0.0,0.0
2020-11-06,1.522,1.522,1.522,1.522,120.0,-2.5,-2.4983984625240208
2020-11-09,1.561,1.561,1.561,1.561,30.0,2.56,2.562417871222067
2020-11-10,1.514,1.514,1.514,1.514,710.0,-3.01,-3.0108904548366344
2020-11-11,1.483,1.483,1.483,1.483,2670.0,-2.05,-2.0475561426684274
2020-11-12,1.561,1.561,1.561,1.561,150.0,5.26,5.2596089008766
2020-11-13,1.561,1.561,1.561,1.561,20.0,0.0,0.0
2020-11-16,1.607,1.607,1.607,1.607,30.0,2.95,2.9468289557975647
2020-11-17,1.561,1.561,1.561,1.561,40.0,-2.86,-2.862476664592406
2020-11-18,1.529,1.537,1.537,1.529,990.0,-2.05,-2.049967969250477
2020-11-19,1.522,1.522,1.522,1.522,580.0,-0.46,-0.4578155657292249
2020-11-20,1.483,1.49,1.49,1.483,3450.0,-2.56,-2.562417871222067
2020-11-23,1.483,1.522,1.522,1.483,440.0,0.0,0.0
2020-11-24,1.522,1.522,1.522,1.522,130.0,2.63,2.6298044504383
2020-11-26,1.49,1.514,1.514,1.49,610.0,-2.1,-2.1024967148488893
2020-11-27,1.514,1.514,1.514,1.514,60.0,1.61,1.6107382550335503
2020-11-30,1.49,1.483,1.49,1.483,700.0,-1.59,-1.5852047556142668
2020-12-01,1.529,1.529,1.529,1.529,10.0,2.62,2.6174496644295164
2020-12-02,1.553,1.553,1.553,1.553,380.0,1.57,1.5696533682145297
2020-12-04,1.498,1.537,1.537,1.498,310.0,-3.54,-3.5415325177076573
2020-12-07,1.451,1.49,1.49,1.451,760.0,-3.14,-3.1375166889185513
2020-12-08,1.444,1.444,1.444,1.444,260.0,-0.48,-0.4824259131633424
2020-12-09,1.483,1.483,1.483,1.483,450.0,2.7,2.70083102493075
2020-12-10,1.475,1.49,1.49,1.475,7180.0,-0.54,-0.539447066756571
