Date,Price,Open,High,Low,Vol.,Change %,Return
2020-09-22,2.9,2.9,2.9,2.9,0.0,0.0,0.0
2020-09-23,2.9,2.9,2.9,2.87,2040.0,0.0,0.0
2020-09-25,3.02,3.07,3.14,3.02,34360.0,-1.63,-1.6286644951139961
2020-09-28,3.02,3.07,3.07,3.0,7180.0,0.0,0.0
2020-09-29,3.02,3.02,3.07,3.0,22740.0,0.0,0.0
2020-09-30,3.02,3.02,3.02,2.99,7910.0,0.0,0.0
2020-10-02,2.9,2.92,2.93,2.9,120.0,-1.02,-1.0238907849829393
2020-10-06,3.0,2.95,3.0,2.87,750.0,0.0,0.0
2020-10-07,3.01,3.0,3.09,2.94,37200.0,0.33,0.3333333333333188
2020-10-08,3.01,3.01,3.01,3.01,0.0,0.0,0.0
2020-10-12,3.0,2.99,3.0,2.91,630.0,2.39,2.3890784982935065
2020-10-13,2.93,3.02,3.02,2.93,720.0,-2.33,-2.3333333333333317
2020-10-14,3.0,2.99,3.0,2.99,90.0,2.39,2.3890784982935065
2020-10-16,2.95,2.96,2.97,2.91,790.0,-1.67,-1.6666666666666607
2020-10-19,2.95,2.97,2.97,2.82,270.0,0.0,0.0
2020-10-20,2.99,2.95,2.99,2.95,110.0,1.36,1.3559322033898313
2020-10-21,2.94,2.94,2.94,2.94,60.0,-1.67,-1.6722408026755953
2020-10-22,2.93,2.94,2.94,2.86,390.0,-0.34,-0.340136054421758
2020-10-23,2.94,2.94,2.94,2.94,70.0,0.34,0.3412969283276279
2020-10-26,2.92,2.9,2.92,2.9,40.0,-0.68,-0.6802721088435382
2020-10-27,2.94,2.94,2.94,2.94,0.0,0.68,0.6849315068493178
2020-10-28,2.94,2.94,2.94,2.86,40.0,0.0,0.0
2020-10-30,2.94,2.94,2.94,2.94,200.0,0.0,0.0
2020-11-02,2.98,2.98,2.98,2.98,0.0,1.36,1.3605442176870763
2020-11-03,2.94,2.85,2.94,2.85,1120.0,-1.34,-1.342281879194629
2020-11-04,2.87,2.93,2.93,2.87,50.0,-2.38,-2.3809523809523725
2020-11-05,2.88,2.87,2.92,2.8,6380.0,0.35,0.34843205574912606
2020-11-06,2.82,2.9,2.92,2.82,2270.0,-2.08,-2.083333333333337
2020-11-09,2.82,2.9,2.92,2.82,1120.0,0.0,0.0
2020-11-10,2.82,2.78,2.86,2.74,1210.0,0.0,0.0
2020-11-11,2.87,2.87,2.87,2.87,80.0,1.77,1.7730496453900901
2020-11-12,2.83,2.87,2.9,2.79,2420.0,-1.39,-1.3937282229965153
2020-11-13,2.8,2.75,2.8,2.75,2980.0,-1.06,-1.0600706713780994
2020-11-17,2.8,2.72,2.8,2.72,6060.0,0.0,0.0
2020-11-18,2.79,2.78,2.79,2.78,90.0,-0.36,-0.35714285714284477
2020-11-20,2.74,2.63,2.74,2.63,950.0,1.11,1.1070110701107083
2020-11-23,2.74,2.74,2.75,2.71,9980.0,0.0,0.0
2020-11-24,2.74,2.74,2.74,2.74,10.0,0.0,0.0
2020-11-25,2.8,2.74,2.82,2.71,4000.0,2.19,2.1897810218977964
2020-11-26,2.82,2.79,2.82,2.75,780.0,0.71,0.7142857142857117
2020-11-27,2.77,2.8,2.87,2.72,4550.0,-1.77,-1.773049645390068
2020-12-01,2.8,2.83,2.83,2.8,650.0,-1.75,-1.7543859649122862
2020-12-02,2.8,2.84,2.84,2.76,2800.0,0.0,0.0
2020-12-03,2.84,2.8,2.84,2.72,3270.0,1.43,1.4285714285714235
2020-12-04,2.8,2.79,2.82,2.72,2940.0,-1.41,-1.4084507042253502
2020-12-07,2.79,2.78,2.79,2.7,4080.0,-0.36,-0.35714285714284477
2020-12-09,2.74,2.76,2.76,2.68,4750.0,1.48,1.4814814814814836
2020-12-10,2.69,2.68,2.74,2.67,690.0,-1.82,-1.8248175182481896
2020-12-11,2.69,2.69,2.75,2.65,4360.0,0.0,0.0
2020-12-14,2.74,2.74,2.74,2.66,2990.0,1.86,1.858736059479571
