Date,Price,Open,High,Low,Vol.,Change %,Return
2020-09-22,1.38,1.39,1.39,1.35,100.0,0.0,0.0
2020-09-23,1.38,1.36,1.38,1.36,50190.0,0.0,0.0
2020-09-24,1.38,1.37,1.38,1.35,1140.0,0.0,0.0
2020-09-25,1.38,1.38,1.38,1.35,3330.0,0.0,0.0
2020-09-28,1.38,1.35,1.38,1.35,1650.0,0.0,0.0
2020-09-29,1.37,1.35,1.37,1.34,3670.0,-0.72,-0.7246376811594013
2020-09-30,1.34,1.35,1.37,1.34,9960.0,-2.19,-2.1897810218978075
2020-10-02,1.3,1.3,1.3,1.27,17770.0,0.0,0.0
2020-10-05,1.33,1.31,1.33,1.31,1580.0,2.31,2.3076923076922995
2020-10-07,1.38,1.37,1.38,1.37,1440.0,0.0,0.0
2020-10-08,1.34,1.35,1.37,1.34,43620.0,-2.9,-2.898550724637672
2020-10-09,1.35,1.35,1.35,1.34,3300.0,0.75,0.746268656716409
2020-10-12,1.34,1.34,1.34,1.34,1710.0,-0.74,-0.7407407407407418
2020-10-13,1.33,1.33,1.33,1.3,26920.0,-0.75,-0.7462686567164201
2020-10-14,1.3,1.3,1.3,1.3,5420.0,-2.26,-2.2556390977443663
2020-10-16,1.28,1.32,1.32,1.27,5580.0,-1.54,-1.538461538461544
2020-10-19,1.3,1.28,1.31,1.28,1310.0,1.56,1.5625
2020-10-20,1.28,1.29,1.3,1.26,490.0,-1.54,-1.538461538461544
2020-10-21,1.3,1.27,1.3,1.27,740.0,1.56,1.5625
2020-10-22,1.28,1.28,1.28,1.28,120.0,-1.54,-1.538461538461544
2020-10-23,1.3,1.28,1.3,1.27,1000.0,1.56,1.5625
2020-10-26,1.3,1.3,1.3,1.3,550.0,0.0,0.0
2020-10-27,1.29,1.3,1.3,1.29,1050.0,-0.77,-0.7692307692307665
2020-10-28,1.3,1.3,1.3,1.29,330.0,0.78,0.7751937984496138
2020-10-30,1.29,1.29,1.29,1.29,800.0,-0.77,-0.7692307692307665
2020-11-02,1.29,1.29,1.29,1.29,140.0,0.0,0.0
2020-11-03,1.29,1.29,1.29,1.29,610.0,0.0,0.0
2020-11-04,1.29,1.28,1.29,1.26,5900.0,0.0,0.0
2020-11-05,1.29,1.27,1.29,1.27,290.0,0.0,0.0
2020-11-06,1.28,1.28,1.28,1.28,2000.0,-0.78,-0.7751937984496138
2020-11-09,1.28,1.29,1.29,1.28,80.0,0.0,0.0
2020-11-10,1.29,1.29,1.29,1.27,120.0,0.78,0.78125
2020-11-11,1.28,1.29,1.29,1.28,400.0,-0.78,-0.7751937984496138
2020-11-12,1.28,1.29,1.29,1.26,5890.0,0.0,0.0
2020-11-13,1.28,1.29,1.29,1.26,120.0,0.0,0.0
2020-11-16,1.28,1.26,1.29,1.26,4100.0,0.0,0.0
2020-11-17,1.27,1.28,1.29,1.27,4110.0,-0.78,-0.78125
2020-11-18,1.29,1.29,1.29,1.24,2020.0,1.57,1.5748031496062964
2020-11-19,1.26,1.26,1.28,1.26,3230.0,-2.33,-2.3255813953488413
2020-11-20,1.26,1.25,1.26,1.24,5300.0,0.0,0.0
2020-11-23,1.25,1.28,1.28,1.25,5500.0,-0.79,-0.7936507936507908
2020-11-24,1.25,1.26,1.26,1.23,9310.0,0.0,0.0
2020-11-25,1.28,1.27,1.28,1.24,7040.0,2.4,2.400000000000002
2020-11-26,1.28,1.28,1.28,1.28,2000.0,0.0,0.0
2020-11-27,1.26,1.27,1.28,1.26,410.0,-1.56,-1.5625
