Date,Price,Open,High,Low,Vol.,Change %,Return
2020-09-22,4.75,4.75,4.75,4.75,610.0,-2.86,-2.862985685071573
2020-09-23,4.8,4.74,4.8,4.61,4540.0,1.05,1.0526315789473717
2020-09-24,4.78,4.79,4.79,4.66,6380.0,-0.42,-0.4166666666666541
2020-09-25,4.92,4.79,4.93,4.79,13820.0,2.93,2.9288702928870203
2020-09-28,4.93,4.93,4.93,4.93,0.0,0.2,0.20325203252031798
2020-09-29,4.9,4.79,4.9,4.79,890.0,-0.61,-0.6085192697768638
2020-09-30,4.89,4.8,4.89,4.76,530.0,-0.2,-0.20408163265307477
2020-10-01,4.75,4.75,4.88,4.75,1160.0,-2.86,-2.862985685071573
2020-10-02,4.7,4.61,4.7,4.48,4019.9999999999995,-1.05,-1.0526315789473606
2020-10-05,4.82,4.72,4.84,4.6,7730.0,2.55,2.553191489361706
2020-10-06,4.77,4.69,4.78,4.69,360.0,-1.04,-1.0373443983402675
2020-10-07,4.75,4.7,4.75,4.65,5230.0,-0.42,-0.41928721174003813
2020-10-08,4.7,4.84,4.84,4.7,0.0,-1.05,-1.0526315789473606
2020-10-09,4.69,4.58,4.71,4.58,800.0,-0.21,-0.21276595744680327
2020-10-12,4.7,4.8,4.8,4.66,820.0,0.21,0.2132196162046851
2020-10-14,5.05,4.91,5.05,4.89,5030.0,3.06,3.0612244897959107
2020-10-16,5.05,5.12,5.27,5.05,11350.0,0.0,0.0
2020-10-19,5.09,5.0,5.15,5.0,2370.0,0.79,0.7920792079207928
2020-10-20,5.12,5.1,5.21,5.1,4950.0,0.59,0.5893909626719207
2020-10-21,5.2,5.01,5.25,5.0,3430.0,1.56,1.5625
2020-10-22,5.15,5.25,5.25,5.1,970.0,-0.96,-0.9615384615384581
2020-10-23,5.14,5.15,5.15,5.01,3600.0,-0.19,-0.1941747572815622
2020-10-26,5.19,5.23,5.23,5.08,1200.0,0.97,0.9727626459144156
2020-10-27,5.15,5.05,5.17,5.05,600.0,-0.77,-0.770712909441229
2020-10-28,5.0,5.06,5.14,5.0,5330.0,-2.91,-2.912621359223311
2020-10-30,5.15,5.0,5.15,5.0,19430.0,3.0,3.0000000000000027
2020-11-02,5.2,5.2,5.28,5.2,4360.0,0.97,0.9708737864077666
2020-11-03,5.2,5.07,5.22,5.07,5780.0,0.0,0.0
2020-11-04,5.25,5.25,5.25,5.2,530.0,0.96,0.9615384615384581
2020-11-05,5.25,5.25,5.25,5.25,10.0,0.0,0.0
2020-11-06,5.18,5.1,5.2,5.1,190.0,-1.33,-1.333333333333342
2020-11-10,5.1,5.04,5.18,5.03,8610.0,-1.54,-1.5444015444015413
2020-11-11,5.14,5.1,5.14,5.02,2250.0,0.78,0.7843137254901933
2020-11-12,5.25,5.12,5.29,5.1,6690.0,2.14,2.1400778210116878
2020-11-13,5.44,5.29,5.44,5.29,22390.0,3.62,3.619047619047633
2020-11-16,5.58,5.5,5.66,5.5,20250.0,2.57,2.5735294117646967
2020-11-17,5.42,5.56,5.6,5.42,25120.0,-2.87,-2.8673835125448077
2020-11-18,5.39,5.55,5.55,5.39,1220.0,-0.55,-0.5535055350553542
2020-11-19,5.3,5.49,5.49,5.25,6260.0,-1.67,-1.6697588126159513
2020-11-20,5.22,5.38,5.38,5.22,11190.0,-1.51,-1.5094339622641506
2020-11-23,5.28,5.22,5.36,5.09,4030.0000000000005,1.15,1.1494252873563315
2020-11-24,5.35,5.29,5.35,5.2,7590.0,1.33,1.325757575757569
2020-11-25,5.5,5.35,5.51,5.3,22070.0,2.8,2.8037383177570208
2020-11-26,5.5,5.67,5.84,5.5,4280.0,0.0,0.0
2020-11-30,5.92,5.92,6.0,5.84,47920.0,3.14,3.1358885017421567
2020-12-01,5.84,6.02,6.07,5.84,54020.0,-1.35,-1.3513513513513487
2020-12-03,5.32,5.33,5.33,5.18,18990.0,-3.1,-3.0965391621129323
2020-12-04,5.29,5.45,5.45,5.29,3160.0,-0.56,-0.5639097744360999
2020-12-07,5.14,5.15,5.2,5.14,6750.0,-2.84,-2.835538752362954
2020-12-09,4.91,5.06,5.06,4.91,1100.0,-0.2,-0.20325203252031798
2020-12-10,4.88,4.86,4.99,4.77,11520.0,-0.61,-0.6109979633401319
2020-12-11,5.02,4.98,5.12,4.88,11170.0,2.87,2.86885245901638
2020-12-14,4.99,5.14,5.14,4.99,3240.0,-0.6,-0.5976095617529764
2020-12-15,4.86,5.0,5.0,4.85,5860.0,-2.61,-2.605210420841686
2020-12-16,4.92,4.94,4.95,4.8,2430.0,1.23,1.2345679012345512
2020-12-17,4.9,4.94,4.94,4.8,2940.0,-0.41,-0.40650406504064707
2020-12-18,4.9,4.9,4.9,4.85,1960.0,0.0,0.0
2020-12-21,4.99,4.78,4.99,4.75,13970.0,1.84,1.8367346938775508
2020-12-22,5.09,5.0,5.22,5.0,12450.0,2.0,2.004008016032066
2020-12-23,4.97,5.08,5.09,4.94,7020.0,-2.36,-2.3575638506876273
2020-12-24,4.99,5.0,5.01,4.9,4890.0,0.4,0.4024144869215318
2020-12-25,4.9,5.05,5.05,4.9,5080.0,-1.8,-1.8036072144288595
2020-12-28,4.95,5.0,5.0,4.89,2090.0,1.02,1.0204081632652962
2020-12-29,4.9,4.9,4.9,4.85,2340.0,-1.01,-1.0101010101010055
2020-12-30,4.88,4.95,4.95,4.81,2110.0,-0.41,-0.40816326530612734
2020-12-31,4.88,4.8,4.89,4.75,3200.0,0.0,0.0
2021-01-04,4.84,4.94,4.94,4.8,2430.0,-0.82,-0.8196721311475419
2021-01-05,4.79,4.83,4.83,4.7,1080.0,-1.03,-1.0330578512396604
2021-01-06,4.62,4.76,4.76,4.62,4660.0,-3.55,-3.5490605427974886
2021-01-07,4.62,4.62,4.62,4.6,5570.0,0.0,0.0
2021-01-08,4.7,4.62,4.7,4.5,4600.0,1.73,1.7316017316017396
2021-01-11,4.79,4.68,4.79,4.64,13870.0,1.91,1.9148936170212627
2021-01-12,4.78,4.75,4.8,4.7,2060.0,-0.21,-0.20876826722338038
2021-01-13,4.7,4.7,4.7,4.64,2200.0,-1.67,-1.673640167364021
2021-01-15,4.6,4.74,4.74,4.6,2170.0,-2.13,-2.1276595744680993
2021-01-18,4.6,4.7,4.7,4.56,1110.0,0.0,0.0
2021-01-19,4.65,4.72,4.72,4.6,1960.0,1.09,1.0869565217391353
2021-01-20,4.69,4.64,4.7,4.64,1440.0,0.86,0.8602150537634357
2021-01-21,4.65,4.6,4.69,4.51,1690.0,-0.85,-0.8528784648187626
2021-01-22,4.6,4.67,4.67,4.53,3400.0,-1.08,-1.0752688172043112
2021-01-25,4.55,4.68,4.68,4.55,810.0,-1.09,-1.0869565217391242
2021-01-26,4.5,4.5,4.52,4.44,4590.0,-1.1,-1.098901098901095
2021-01-27,4.54,4.59,4.59,4.46,1240.0,0.89,0.8888888888888946
2021-01-28,4.41,4.41,4.49,4.41,1890.0,-2.86,-2.8634361233480177
2021-01-29,4.4,4.4,4.52,4.4,2870.0,-0.23,-0.22675736961450532
2021-02-01,4.4,4.53,4.56,4.4,2400.0,0.0,0.0
2021-02-02,4.4,4.39,4.49,4.31,1590.0,0.0,0.0
2021-02-03,4.38,4.51,4.51,4.38,30.0,-0.45,-0.454545454545463
2021-02-04,4.35,4.35,4.35,4.25,1010.0,-0.68,-0.6849315068493178
2021-02-05,4.32,4.22,4.34,4.22,1110.0,-0.69,-0.6896551724137834
2021-02-08,4.31,4.44,4.44,4.31,200.0,-0.23,-0.23148148148149916
2021-02-09,4.22,4.3,4.3,4.19,5410.0,-2.09,-2.088167053364265
2021-02-11,4.5,4.41,4.5,4.4,2900.0,2.27,2.2727272727272707
2021-02-12,4.45,4.5,4.5,4.44,4040.0,-1.11,-1.1111111111111072
2021-02-15,4.32,4.4,4.4,4.32,2680.0,-2.92,-2.921348314606742
2021-02-16,4.24,4.22,4.34,4.22,490.0,-1.85,-1.851851851851849
2021-02-17,4.4,4.36,4.47,4.35,200.0,3.77,3.7735849056603765
2021-02-18,4.44,4.35,4.44,4.35,3760.0,0.91,0.9090909090909038
2021-02-19,4.3,4.4,4.45,4.25,13130.0,-3.15,-3.1531531531531654
2021-02-22,4.24,4.25,4.3,4.13,5110.0,-1.4,-1.3953488372092981
2021-02-23,4.14,4.14,4.14,4.12,7630.0,-2.36,-2.358490566037752
2021-02-24,4.14,4.26,4.26,4.14,3730.0,0.0,0.0
2021-02-25,3.98,4.1,4.1,3.98,19610.0,-3.86,-3.864734299516903
2021-02-26,3.95,3.99,3.99,3.89,840.0,-0.75,-0.7537688442211032
2021-03-01,3.87,3.92,3.92,3.87,2480.0,-2.03,-2.0253164556962022
2021-03-02,3.96,3.85,3.96,3.85,11980.0,2.33,2.3255813953488413
2021-03-03,3.98,4.05,4.05,3.93,1820.0,0.51,0.5050505050504972
2021-03-04,3.92,4.04,4.04,3.92,3610.0,-1.51,-1.5075376884422176
2021-03-05,3.9,3.91,3.91,3.82,12520.0,-0.51,-0.5102040816326481
2021-03-08,3.9,4.0,4.0,3.76,4480.0,0.0,0.0
2021-03-09,3.89,3.79,3.89,3.79,850.0,-0.26,-0.2564102564102555
2021-03-12,4.28,4.3,4.3,4.18,1000.0,-0.47,-0.46511627906975495
2021-03-15,4.27,4.3,4.3,4.2,960.0,-0.23,-0.23364485981309802
2021-03-16,4.26,4.17,4.26,4.17,1090.0,-0.23,-0.23419203747072626
2021-03-17,4.2,4.25,4.25,4.13,3230.0,-1.41,-1.4084507042253391
2021-03-18,4.13,4.15,4.15,4.08,1080.0,-1.67,-1.6666666666666718
2021-03-19,4.12,4.07,4.13,4.01,2400.0,-0.24,-0.2421307506053183
2021-03-22,4.0,3.95,4.0,3.89,4320.0,-2.91,-2.9126213592232997
2021-03-23,3.92,4.0,4.0,3.88,3030.0,-2.0,-2.0000000000000018
2021-03-25,3.78,3.79,3.79,3.64,7280.0,0.8,0.8000000000000007
2021-03-26,3.7,3.74,3.74,3.65,4480.0,-2.12,-2.116402116402105
2021-03-29,3.7,3.8,3.8,3.7,2910.0,0.0,0.0
2021-03-30,3.75,3.75,3.75,3.65,5370.0,1.35,1.3513513513513375
2021-03-31,3.7,3.7,3.7,3.65,14550.0,-1.33,-1.3333333333333308
2021-04-01,3.69,3.7,3.7,3.65,5690.0,-0.27,-0.2702702702702786
2021-04-02,3.7,3.65,3.71,3.6,5100.0,0.27,0.27100271002711285
2021-04-05,3.69,3.71,3.71,3.65,1780.0,-0.27,-0.2702702702702786
2021-04-06,3.69,3.63,3.69,3.62,4610.0,0.0,0.0
2021-04-07,3.68,3.61,3.69,3.59,4620.0,-0.27,-0.27100271002709064
2021-04-08,3.68,3.6,3.68,3.6,1750.0,0.0,0.0
2021-04-12,3.66,3.68,3.68,3.6,1440.0,-0.54,-0.5434782608695676
2021-04-13,3.66,3.6,3.68,3.59,1980.0,0.0,0.0
2021-04-14,3.62,3.66,3.66,3.62,2820.0,-1.09,-1.0928961748633892
2021-04-15,3.6,3.61,3.65,3.6,2440.0,-0.55,-0.5524861878453025
2021-04-16,3.7,3.6,3.7,3.59,10550.0,2.78,2.77777777777779
2021-04-19,3.6,3.6,3.65,3.59,6000.0,-2.7,-2.7027027027027084
2021-04-20,3.7,3.7,3.72,3.6,2530.0,2.78,2.77777777777779
2021-04-21,3.6,3.6,3.6,3.58,4430.0,-2.7,-2.7027027027027084
2021-04-22,3.58,3.6,3.6,3.52,10580.0,-0.56,-0.5555555555555536
2021-04-23,3.58,3.68,3.7,3.58,890.0,0.0,0.0
2021-04-26,3.48,3.58,3.58,3.48,6560.0,-2.79,-2.7932960893854775
2021-04-27,3.48,3.48,3.48,3.38,7170.0,0.0,0.0
2021-04-28,3.5,3.58,3.63,3.4,2060.0,0.57,0.5747126436781658
2021-04-30,3.63,3.74,3.74,3.63,5460.0,-1.89,-1.8918918918918948
