Date,Price,Open,High,Low,Vol.,Change %,Return
2020-10-09,8.45,8.45,8.45,8.45,9000.0,-0.35,-0.35377358490567
2020-11-18,8.0,8.0,8.0,8.0,20.0,0.0,0.0
2020-11-20,7.98,7.98,7.98,7.98,60.0,-0.25,-0.24999999999999467
2020-11-25,7.82,7.98,7.98,7.82,30.0,0.13,0.1280409731114096
2020-11-26,7.8,7.8,7.8,7.8,500.0,-0.26,-0.2557544757033292
2020-11-30,7.8,7.8,7.8,7.8,820.0,0.0,0.0
2020-12-03,7.8,7.8,7.8,7.8,170.0,0.0,0.0
2020-12-04,7.77,7.77,7.77,7.77,300.0,-0.38,-0.38461538461538325
2020-12-09,7.76,7.76,7.76,7.76,1000.0,0.0,0.0
2020-12-10,7.76,7.77,7.77,7.76,2570.0,0.0,0.0
2020-12-11,7.76,7.76,7.76,7.76,100.0,0.0,0.0
2020-12-23,7.49,7.47,7.49,7.47,1780.0,0.27,0.2677376171352108
2020-12-25,7.6,7.6,7.6,7.6,50.0,0.0,0.0
2021-01-11,8.19,8.19,8.19,8.19,10.0,0.0,0.0
2021-01-12,8.19,8.19,8.19,8.19,30.0,0.0,0.0
2021-01-20,8.19,7.91,8.19,7.91,4550.0,0.0,0.0
2021-01-25,8.27,8.27,8.27,8.27,10.0,0.0,0.0
2021-01-26,8.27,8.27,8.27,8.27,10.0,0.0,0.0
2021-02-01,8.19,8.19,8.19,8.19,0.0,0.0,0.0
2021-02-03,8.0,8.0,8.0,8.0,1110.0,0.0,0.0
2021-02-15,8.19,8.19,8.19,8.19,20.0,0.0,0.0
2021-03-11,8.59,8.59,8.59,8.59,1050.0,0.0,0.0
2021-03-15,8.58,8.58,8.58,8.58,1910.0,-0.12,-0.11641443538998875
2021-03-16,8.58,8.58,8.58,8.58,8100.0,0.0,0.0
2021-03-17,8.59,8.59,8.59,8.59,50.0,0.12,0.11655011655011815
2021-03-18,8.59,8.59,8.59,8.59,210.0,0.0,0.0
2021-03-23,8.5,8.5,8.5,8.5,40.0,0.0,0.0
2021-03-25,8.33,8.33,8.33,8.33,190.0,0.0,0.0
