Date,Price,Open,High,Low,Vol.,Change %,Return
2020-09-28,119.0,119.0,119.0,119.0,100.0,-0.74,-0.7423471515555891
2020-09-29,119.0,119.0,119.0,119.0,220.0,0.0,0.0
2020-10-02,117.0,117.0,117.0,117.0,50.0,-1.68,-1.6806722689075682
2020-10-05,120.0,120.0,120.0,120.0,100.0,2.56,2.564102564102555
2020-10-06,122.5,122.5,122.5,122.5,230.0,2.08,2.083333333333326
2020-10-08,128.0,128.0,128.0,128.0,10.0,1.67,1.6679904686258906
2020-10-09,126.0,126.0,126.0,126.0,200.0,-1.56,-1.5625
2020-10-12,128.8,129.0,129.0,128.8,100.0,2.22,2.2222222222222365
2020-11-04,118.5,122.05,122.05,118.5,10.0,0.0,0.0
2020-11-05,118.5,118.5,118.5,118.5,130.0,0.0,0.0
2020-11-11,117.0,117.0,117.0,117.0,260.0,1.74,1.7391304347825987
2020-11-17,134.9,134.9,134.9,134.9,130.0,0.0,0.0
2020-11-18,135.0,135.0,135.0,135.0,120.0,0.07,0.0741289844329085
2020-11-19,133.99,133.99,133.99,133.99,200.0,-0.75,-0.7481481481481422
2020-11-20,133.99,133.99,133.99,133.99,200.0,0.0,0.0
2020-11-23,131.21,133.94,133.94,131.21,110.0,-2.07,-2.074781700126871
2020-11-24,130.98,130.98,130.98,130.98,0.0,-0.18,-0.17529151741484394
2020-11-25,134.0,134.0,134.0,134.0,10.0,2.31,2.3056955260345235
2020-11-27,125.0,125.0,125.0,125.0,260.0,-2.34,-2.34375
2020-12-01,124.0,124.0,124.0,124.0,130.0,-0.8,-0.8000000000000007
2020-12-02,121.0,121.0,121.0,121.0,60.0,-2.42,-2.4193548387096753
2020-12-03,122.0,122.0,122.0,122.0,400.0,0.83,0.8264462809917328
2020-12-07,122.0,122.0,122.0,122.0,50.0,0.0,0.0
2020-12-08,123.0,123.0,123.0,123.0,10.0,0.82,0.8196721311475308
2020-12-10,123.0,123.0,123.0,123.0,100.0,0.0,0.0
2020-12-14,123.0,123.0,123.0,123.0,10.0,2.5,2.499999999999991
2020-12-16,122.05,118.5,122.05,118.5,310.0,-0.77,-0.7723577235772328
2020-12-17,123.0,123.0,123.0,123.0,300.0,0.78,0.778369520688238
2020-12-22,120.0,123.0,123.0,120.0,130.0,-2.34,-2.34375
2020-12-23,120.0,120.0,120.0,120.0,0.0,0.0,0.0
2020-12-24,118.51,118.51,118.51,118.51,50.0,-1.24,-1.2416666666666631
2020-12-25,119.9,118.55,119.9,118.55,80.0,1.17,1.1728968019576458
2020-12-28,123.0,123.0,123.0,123.0,350.0,2.59,2.5854879065888126
2020-12-29,126.0,126.0,126.0,126.0,10.0,2.44,2.4390243902439046
2020-12-31,122.98,119.99,122.98,119.99,560.0,0.62,0.621829487808867
2021-01-05,118.0,119.3,119.3,118.0,260.0,-1.09,-1.0896898575020963
2021-01-08,112.0,112.0,112.0,112.0,70.0,0.0,0.0
2021-01-11,111.99,111.99,111.99,111.99,100.0,-0.01,-0.008928571428579168
2021-01-12,111.99,111.99,111.99,111.99,350.0,0.0,0.0
2021-01-13,111.99,111.99,111.99,111.99,1530.0,0.0,0.0
2021-01-15,111.99,111.99,111.99,111.99,150.0,0.0,0.0
2021-01-18,111.0,111.0,111.0,111.0,210.0,-0.88,-0.8840075006697035
2021-01-19,111.0,111.0,111.0,111.0,3990.0,0.0,0.0
2021-01-20,111.0,111.0,111.0,111.0,1590.0,0.0,0.0
2021-02-02,108.51,108.0,108.51,108.0,5560.0,-2.0,-1.996026011560692
