Date,Price,Open,High,Low,Vol.,Change %,Return
2020-09-22,5.44,5.52,5.52,5.37,31450.0,-0.73,-0.7299270072992692
2020-09-23,5.55,5.42,5.55,5.42,22220.0,1.97,2.0220588235293935
2020-09-24,5.45,5.55,5.55,5.42,10150.0,-1.75,-1.8018018018017945
2020-09-29,5.9,5.89,5.96,5.86,23920.0,0.71,0.6825938566553003
2020-10-02,5.44,5.38,5.68,5.36,11600.0,-1.51,-1.4492753623188248
2020-10-06,5.72,5.73,5.73,5.62,8090.0,2.23,2.1428571428571352
2020-10-07,5.69,5.73,5.88,5.62,10990.0,-0.61,-0.5244755244755095
2020-10-08,5.73,5.8,5.94,5.67,56550.0,0.73,0.7029876977152849
2020-10-09,5.68,5.71,5.75,5.67,37870.0,-0.88,-0.8726003490401535
2020-10-13,5.91,5.91,5.91,5.83,1440.0,1.3,1.1986301369863117
2020-10-14,5.86,5.89,5.89,5.75,1160.0,-0.86,-0.8460236886632777
2020-10-16,5.92,5.88,5.95,5.86,27010.0,1.01,1.0238907849829282
2020-10-19,5.84,5.92,5.92,5.8,4059.9999999999995,-1.43,-1.3513513513513487
2020-10-20,5.94,5.91,6.01,5.91,49580.0,1.74,1.7123287671233056
2020-10-21,5.91,5.8,5.92,5.8,14380.0,-0.43,-0.5050505050505083
2020-10-22,5.88,5.75,5.9,5.75,4750.0,-0.57,-0.5076142131979711
2020-10-23,5.84,5.76,5.92,5.76,4019.9999999999995,-0.72,-0.6802721088435382
2020-10-26,5.82,5.84,5.84,5.75,5780.0,-0.29,-0.3424657534246478
2020-10-27,5.75,5.71,5.75,5.67,1640.0,-1.16,-1.2027491408934776
2020-10-28,5.74,5.79,5.79,5.62,14200.0,-0.29,-0.17391304347825765
2020-10-30,5.64,5.75,5.75,5.64,3200.0,-1.62,-1.7421602787456525
2020-11-02,5.62,5.5,5.63,5.5,7310.0,-0.45,-0.35460992907800915
2020-11-03,5.69,5.63,5.69,5.53,8000.0,1.36,1.2455516014235002
2020-11-04,5.59,5.69,5.69,5.53,8020.0,-1.78,-1.7574692442882345
2020-11-05,5.6,5.66,5.66,5.59,4850.0,0.15,0.17889087656528524
2020-11-06,5.69,5.69,5.69,5.69,560.0,1.66,1.6071428571428736
2020-11-09,5.63,5.67,5.67,5.53,2640.0,-1.19,-1.0544815465729385
2020-11-10,5.53,5.63,5.63,5.53,6350.0,-1.65,-1.7761989342806372
2020-11-11,5.67,5.54,5.7,5.54,28900.0,2.45,2.5316455696202445
2020-11-12,5.62,5.71,5.71,5.62,4720.0,-0.9,-0.8818342151675429
2020-11-13,5.69,5.71,5.75,5.67,15880.0,1.2,1.2455516014235002
2020-11-16,5.67,5.75,5.75,5.67,12870.0,-0.3,-0.35149384885765356
2020-11-17,5.8,5.74,5.81,5.67,19230.0,2.24,2.2927689594356204
2020-11-18,5.77,5.85,5.85,5.77,6790.0,-0.44,-0.5172413793103514
2020-11-20,5.99,6.17,6.3,5.99,18250.0,-0.28,-0.33277870216305017
2020-11-23,5.9,6.08,6.08,5.9,7820.0,-1.55,-1.5025041736226985
2020-11-24,5.89,5.9,5.97,5.8,3450.0,-0.14,-0.16949152542373724
2020-11-25,5.95,5.95,5.95,5.8,3600.0,1.01,1.018675721561979
2020-11-26,5.97,5.8,5.97,5.8,6610.0,0.28,0.3361344537815114
2020-11-27,5.86,5.8,6.14,5.8,48660.0,-1.84,-1.8425460636515845
2020-11-30,6.01,6.02,6.02,5.86,1810.0,2.6,2.5597269624573205
2020-12-02,5.86,5.91,5.91,5.8,10880.0,0.0,0.0
2020-12-03,5.84,5.93,5.93,5.75,5340.0,-0.29,-0.34129692832765013
2020-12-04,5.84,5.99,5.99,5.81,6410.0,0.0,0.0
2020-12-07,5.75,5.76,5.76,5.69,3360.0,-1.45,-1.5410958904109595
2020-12-08,5.63,5.75,5.75,5.58,5790.0,-2.21,-2.086956521739136
2020-12-09,5.75,5.75,5.76,5.75,3190.0,2.26,2.131438721136769
2020-12-10,5.88,5.84,5.91,5.76,20790.0,2.21,2.2608695652173827
2020-12-14,5.75,5.84,5.84,5.75,1920.0,0.44,0.3490401396160525
2020-12-15,5.71,5.71,5.75,5.71,940.0,-0.74,-0.6956521739130417
