Date,Price,Open,High,Low,Vol.,Change %,Return
2020-09-28,9.7,9.7,9.7,9.7,10.0,0.0,0.0
2020-10-01,9.7,9.72,9.72,9.7,160.0,0.0,0.0
2020-10-09,9.7,9.7,9.7,9.7,0.0,0.0,0.0
2020-10-22,9.45,9.45,9.45,9.45,40.0,-2.58,-2.577319587628868
2020-10-27,9.45,9.19,9.45,9.19,30.0,0.0,0.0
2020-10-28,9.7,9.42,9.7,9.42,560.0,2.65,2.645502645502651
2020-10-30,9.99,9.41,9.99,9.41,110.0,2.99,2.989690721649496
2020-11-09,10.28,10.28,10.28,10.28,40.0,2.9,2.902902902902893
2020-11-12,10.28,9.82,10.28,9.82,40.0,0.0,0.0
2020-12-01,10.56,10.56,10.56,10.56,40.0,2.72,2.723735408560324
2020-12-08,9.7,9.74,9.74,9.7,200.0,-3.0,-3.0000000000000027
2020-12-11,9.96,9.68,9.97,9.67,350.0,2.89,2.892561983471076
2020-12-14,9.97,9.95,9.97,9.67,280.0,0.1,0.10040160642570406
2020-12-17,11.3,11.31,11.31,11.0,930.0,2.82,2.82074613284804
2020-12-18,11.3,11.3,11.3,11.3,200.0,0.0,0.0
2020-12-21,11.5,11.6,11.63,11.5,620.0,1.77,1.7699115044247815
2020-12-22,11.6,11.8,11.84,11.6,850.0,0.87,0.8695652173912993
2020-12-23,11.65,11.08,11.65,11.08,750.0,0.43,0.4310344827586299
2020-12-24,11.31,11.31,11.31,11.31,150.0,-2.92,-2.9184549356223166
2020-12-25,11.13,11.64,11.64,11.13,120.0,-1.59,-1.591511936339518
2021-01-04,11.0,11.0,11.0,10.8,110.0,-1.17,-1.1680143755615546
2021-01-06,10.67,10.67,10.67,10.67,100.0,-3.0,-3.0000000000000027
2021-01-13,10.99,10.98,10.99,10.98,20.0,3.0,2.9990627928772273
2021-01-15,11.0,10.99,11.0,10.99,50.0,0.09,0.09099181073703999
2021-01-28,10.98,10.98,10.98,10.98,1030.0,-0.18,-0.181818181818183
2021-02-01,10.66,10.66,10.66,10.66,260.0,-2.91,-2.914389799635708
2021-02-02,10.35,10.36,10.36,10.35,70.0,-2.91,-2.908067542213888
2021-02-03,10.04,10.04,10.04,10.04,50.0,-3.0,-2.995169082125604
2021-02-08,10.04,10.04,10.04,10.04,20.0,0.0,0.0
2021-02-09,10.04,10.04,10.04,10.04,160.0,0.0,0.0
2021-02-16,9.74,9.74,9.74,9.74,40.0,-2.99,-2.9880478087649265
2021-02-23,9.74,9.74,9.74,9.74,10.0,0.0,0.0
2021-03-01,9.45,9.45,9.45,9.45,130.0,-2.98,-2.977412731006168
2021-03-05,9.03,9.03,9.03,9.03,330.0,-2.9,-2.903225806451626
2021-03-09,8.76,8.9,8.9,8.76,1050.0,-2.99,-2.9900332225913595
2021-03-17,8.77,8.77,8.77,8.77,400.0,0.11,0.11415525114155667
2021-03-18,8.87,8.86,8.87,8.86,450.0,1.14,1.1402508551881407
2021-03-19,8.87,8.88,8.88,8.87,140.0,0.0,0.0
2021-03-22,9.13,8.88,9.13,8.87,150.0,2.93,2.9312288613303483
2021-03-25,9.4,9.15,9.4,9.15,130.0,2.96,2.957283680175249
2021-03-26,9.15,9.16,9.16,9.15,200.0,-2.66,-2.659574468085102
2021-03-29,9.15,9.15,9.15,9.15,0.0,0.0,0.0
2021-03-30,9.15,9.15,9.15,9.15,7780.0,0.0,0.0
2021-03-31,9.0,9.15,9.15,8.89,700.0,-1.64,-1.6393442622950838
2021-04-01,8.89,8.9,8.9,8.89,1920.0,-1.22,-1.2222222222222134
2021-04-02,8.88,8.88,8.88,8.88,0.0,-0.11,-0.11248593925758943
2021-04-05,9.14,9.1,9.14,9.1,550.0,2.93,2.9279279279279313
2021-04-06,9.17,9.17,9.17,9.17,30.0,0.33,0.3282275711159688
2021-04-07,9.26,9.17,9.26,9.17,30.0,0.98,0.9814612868047856
2021-04-08,9.34,9.34,9.34,9.34,10.0,0.86,0.8639308855291628
2021-04-12,9.33,9.34,9.34,9.33,500.0,-0.11,-0.10706638115631772
2021-04-13,9.34,9.34,9.34,9.34,40.0,0.11,0.1071811361200492
2021-04-16,9.44,9.41,9.44,9.41,3900.0,1.07,1.070663811563155
2021-04-19,9.72,9.45,9.72,9.45,300.0,2.97,2.9661016949152685
2021-04-20,10.01,10.0,10.01,10.0,1100.0,2.98,2.9835390946501894
2021-04-21,10.31,10.31,10.31,10.31,100.0,3.0,2.9970029970030065
2021-04-22,10.4,10.4,10.4,10.4,150.0,0.87,0.8729388942773975
2021-04-23,10.25,10.25,10.25,10.25,500.0,-1.44,-1.4423076923076983
2021-04-26,10.02,10.02,10.02,10.02,300.0,-2.24,-2.2439024390243922
2021-04-27,10.3,10.3,10.3,10.3,550.0,2.79,2.794411177644718
2021-04-29,11.23,11.18,11.23,11.18,2670.0,2.93,2.933088909257564
2021-04-30,11.56,11.23,11.56,11.23,770.0,2.94,2.9385574354407806
2021-05-03,11.7,11.7,11.7,11.7,10.0,1.21,1.2110726643598468
2021-05-04,11.8,11.79,11.8,11.79,40.0,0.85,0.8547008547008739
2021-05-05,12.15,11.79,12.15,11.56,1670.0,2.97,2.9661016949152463
2021-05-07,11.9,11.9,12.0,11.9,500.0,-2.06,-2.0576131687242816
2021-05-10,11.89,11.85,11.89,11.85,170.0,-0.08,-0.08403361344537785
2021-05-11,11.88,11.89,11.89,11.71,220.0,-0.08,-0.0841042893187538
2021-05-17,12.01,11.8,12.23,11.79,1150.0,1.09,1.094276094276081
2021-05-19,12.25,12.2,12.25,12.2,160.0,2.0,1.9983347210657865
2021-05-20,12.25,12.25,12.25,12.25,300.0,0.0,0.0
2021-05-21,12.25,12.25,12.25,12.25,700.0,0.0,0.0
2021-05-24,12.1,12.24,12.24,12.1,390.0,-1.22,-1.224489795918371
2021-05-25,12.24,11.81,12.24,11.8,210.0,1.16,1.1570247933884392
2021-05-26,12.26,12.2,12.26,12.2,390.0,0.16,0.16339869281045694
2021-05-27,12.2,12.2,12.2,12.2,400.0,-0.49,-0.4893964110929905
