Date,Price,Open,High,Low,Vol.,Change %,Return
2020-09-22,8.87,8.8,8.87,8.74,67900.0,-0.11,-0.11261261261262812
2020-09-23,8.8,8.79,8.87,8.75,16560.0,-0.79,-0.7891770011273835
2020-09-24,8.75,8.8,8.8,8.7,7640.0,-0.57,-0.5681818181818232
2020-09-25,8.75,8.78,8.86,8.68,23140.0,0.0,0.0
2020-09-28,8.7,8.76,8.84,8.7,15170.0,-0.57,-0.5714285714285783
2020-09-29,8.6,8.79,8.79,8.59,6950.0,-1.15,-1.1494252873563204
2020-10-01,8.35,8.6,8.6,8.35,90.0,-0.6,-0.5952380952381042
2020-10-02,8.18,7.98,8.34,7.98,22570.0,-2.04,-2.035928143712573
2020-10-08,8.51,8.77,8.77,8.51,12950.0,-1.73,-1.7321016166281789
2020-10-09,8.5,8.59,8.59,8.32,1220.0,-0.12,-0.1175088131609825
2020-10-12,8.45,8.46,8.46,8.38,1420.0,-0.59,-0.5882352941176561
2020-10-13,8.44,8.3,8.44,8.3,3090.0,-0.12,-0.11834319526626835
2020-10-14,8.45,8.44,8.46,8.44,1050.0,0.12,0.11848341232227888
2020-10-16,8.5,8.5,8.74,8.5,10350.0,0.59,0.591715976331364
2020-10-19,8.5,8.5,8.55,8.46,5540.0,0.0,0.0
2020-10-20,8.48,8.35,8.5,8.35,3290.0,-0.24,-0.23529411764705577
2020-10-21,8.42,8.35,8.44,8.35,3920.0,-0.71,-0.7075471698113289
2020-10-22,8.4,8.41,8.48,8.37,1620.0,-0.24,-0.23752969121139111
2020-10-23,8.45,8.35,8.45,8.32,3370.0,0.6,0.5952380952380931
2020-10-26,8.35,8.35,8.4,8.25,1950.0,-1.18,-1.1834319526627168
2020-10-27,8.28,8.28,8.35,8.28,6370.0,-0.84,-0.8383233532934131
2020-10-28,8.27,8.38,8.38,8.13,1120.0,-0.12,-0.12077294685990392
2020-10-30,8.15,8.1,8.15,8.0,17530.0,-1.45,-1.4510278113663788
2020-11-02,8.0,8.0,8.2,7.91,22580.0,-1.84,-1.8404907975460127
2020-11-03,8.16,8.0,8.22,7.91,11890.0,2.0,2.0000000000000018
2020-11-04,8.24,8.16,8.24,8.1,790.0,0.98,0.9803921568627416
2020-11-05,8.24,8.2,8.24,8.2,2050.0,0.0,0.0
2020-11-06,8.24,8.23,8.24,8.04,1340.0,0.0,0.0
2020-11-10,8.18,8.23,8.23,8.1,2810.0,1.49,1.4888337468982549
2020-11-11,8.25,8.11,8.25,8.11,5320.0,0.86,0.8557457212714059
2020-11-12,8.18,8.13,8.35,8.13,11730.0,-0.85,-0.848484848484854
2020-11-13,8.17,8.22,8.34,8.17,1830.0,-0.12,-0.12224938875304847
2020-11-16,8.19,8.17,8.29,8.17,3700.0,0.24,0.244798041615657
2020-11-17,8.2,8.2,8.25,8.19,3420.0,0.12,0.12210012210012167
2020-11-19,8.54,8.6,8.6,8.38,8180.0,1.07,1.0650887573964374
2020-11-20,8.5,8.45,8.5,8.3,6730.0,-0.47,-0.4683840749414414
2020-11-23,8.33,8.58,8.58,8.33,2210.0,-2.0,-2.0000000000000018
2020-11-24,8.32,8.34,8.34,8.2,330.0,-0.12,-0.12004801920768582
2020-11-25,8.25,8.21,8.32,8.21,4300.0,-0.84,-0.8413461538461564
2020-11-26,8.25,8.21,8.25,8.2,3610.0,0.0,0.0
2020-12-02,8.3,8.4,8.4,8.2,2410.0,-1.19,-1.1904761904761862
2020-12-03,8.28,8.34,8.34,8.2,6190.0,-0.24,-0.2409638554217053
2020-12-04,8.28,8.28,8.28,8.17,3630.0,0.0,0.0
2020-12-07,8.1,8.21,8.21,8.1,8950.0,-2.17,-2.1739130434782594
2020-12-09,8.16,8.25,8.25,8.12,2260.0,-1.69,-1.6867469879518149
2020-12-10,8.25,8.2,8.44,8.2,8500.0,1.1,1.1029411764705843
2020-12-11,8.33,8.25,8.42,8.2,4580.0,0.97,0.9696969696969759
2020-12-14,8.32,8.25,8.32,8.1,1730.0,-0.12,-0.12004801920768582
2020-12-15,8.24,8.09,8.25,8.05,2080.0,-0.96,-0.9615384615384581
2020-12-16,8.32,8.3,8.32,8.09,2380.0,0.97,0.9708737864077666
2020-12-17,8.3,8.08,8.3,8.08,5620.0,-0.24,-0.24038461538461453
2020-12-18,8.3,8.15,8.3,8.11,8590.0,0.0,0.0
2020-12-21,8.25,8.15,8.3,8.15,4540.0,-0.6,-0.6024096385542244
2020-12-22,8.15,8.15,8.25,8.15,5520.0,-1.21,-1.2121212121212088
2020-12-23,8.3,8.15,8.3,8.14,5470.0,1.84,1.8404907975460238
2020-12-24,8.3,8.15,8.3,8.15,7480.0,0.0,0.0
2020-12-25,8.17,8.15,8.34,8.15,8780.0,-1.57,-1.5662650602409678
2020-12-28,8.2,8.17,8.41,8.17,3260.0,0.37,0.3671970624234966
2020-12-29,8.26,8.4,8.49,8.2,19330.0,0.73,0.7317073170731714
2020-12-31,8.4,8.44,8.5,8.33,8430.0,-0.47,-0.4739336492890933
2021-01-04,8.29,8.3,8.4,8.21,22630.0,-1.31,-1.309523809523827
2021-01-05,8.2,8.28,8.28,8.19,33030.0,-1.09,-1.0856453558504175
2021-01-06,8.2,8.16,8.24,8.16,7470.0,0.0,0.0
2021-01-07,8.19,8.17,8.2,8.15,5250.0,-0.12,-0.12195121951219523
2021-01-08,8.3,8.19,8.38,8.19,3220.0,1.34,1.3431013431013605
2021-01-11,8.32,8.37,8.37,8.16,1680.0,0.24,0.24096385542167198
2021-01-12,8.35,8.37,8.37,8.2,730.0,0.36,0.36057692307691624
2021-01-13,8.36,8.4,8.4,8.16,1270.0,0.12,0.11976047904191933
2021-01-15,8.33,8.35,8.35,8.33,310.0,-0.36,-0.3588516746411363
2021-01-18,8.17,8.18,8.35,8.17,4440.0,-1.92,-1.9207683073229287
2021-01-19,8.33,8.24,8.33,8.2,2550.0,1.96,1.9583843329253448
2021-01-20,8.3,8.32,8.32,8.2,2230.0,-0.36,-0.36014405762304635
2021-01-21,8.21,8.3,8.3,8.2,4320.0,-1.08,-1.0843373493975905
2021-01-22,8.3,8.21,8.31,8.21,7280.0,1.1,1.0962241169305775
2021-01-25,8.3,8.25,8.3,8.22,5500.0,0.0,0.0
2021-01-26,8.3,8.3,8.35,8.26,3980.0,0.0,0.0
2021-01-27,8.23,8.35,8.35,8.23,520.0,-0.84,-0.8433734939759074
2021-01-28,8.3,8.29,8.37,8.29,6270.0,0.85,0.8505467800729027
2021-01-29,8.27,8.3,8.3,8.25,6810.0,-0.36,-0.3614457831325413
2021-02-01,8.27,8.3,8.3,8.27,9770.0,0.0,0.0
2021-02-02,8.4,8.31,8.49,8.31,61760.0,1.57,1.5719467956469169
2021-02-03,8.4,8.45,8.45,8.34,27070.0,0.0,0.0
2021-02-04,8.32,8.37,8.37,8.25,10720.0,-0.95,-0.952380952380949
2021-02-08,8.49,8.47,8.53,8.47,14760.0,-0.7,-0.7017543859649145
2021-02-09,8.54,8.49,8.56,8.49,9760.0,0.59,0.5889281507655886
2021-02-12,8.9,8.96,9.0,8.82,23710.0,-1.11,-1.1111111111111072
2021-02-15,8.92,8.8,8.98,8.8,12670.0,0.22,0.22471910112358273
2021-02-16,9.09,8.92,9.14,8.92,26970.0,1.91,1.905829596412545
2021-02-17,9.08,9.12,9.12,8.95,3680.0,-0.11,-0.11001100110010764
2021-02-18,9.07,9.09,9.09,8.85,6250.0,-0.11,-0.11013215859030367
2021-02-19,8.98,9.0,9.0,8.82,7840.0,-0.99,-0.9922822491730932
2021-02-22,8.98,8.82,8.98,8.82,7910.0,0.0,0.0
2021-02-23,8.99,8.9,8.99,8.89,20380.0,0.11,0.11135857461024301
2021-02-24,8.9,8.98,8.98,8.9,5990.0,-1.0,-1.0011123470522798
2021-02-25,8.8,8.99,8.99,8.8,11690.0,-1.12,-1.1235955056179692
2021-02-26,8.81,8.8,8.88,8.7,11520.0,0.11,0.11363636363637131
2021-03-01,8.97,8.99,8.99,8.8,6270.0,1.82,1.8161180476730987
2021-03-02,8.94,8.96,8.96,8.9,2610.0,-0.33,-0.33444816053512794
2021-03-03,8.95,8.85,8.95,8.85,19250.0,0.11,0.11185682326622093
2021-03-04,8.92,8.95,8.97,8.89,36600.0,-0.34,-0.3351955307262511
2021-03-05,8.9,8.95,8.95,8.9,31330.0,-0.22,-0.22421524663677195
2021-03-08,8.94,8.95,8.95,8.8,13730.0,0.45,0.44943820224718767
2021-03-09,8.94,8.94,8.95,8.9,7450.0,0.0,0.0
2021-03-10,8.94,8.95,8.95,8.8,2860.0,0.0,0.0
2021-03-11,8.93,8.9,8.95,8.68,29040.0,-0.11,-0.11185682326622093
2021-03-12,8.92,8.94,8.94,8.8,5400.0,-0.11,-0.11198208286673506
2021-03-15,8.86,8.91,8.91,8.8,1160.0,-0.67,-0.6726457399103158
2021-03-16,8.8,8.93,8.93,8.75,21880.0,-0.68,-0.6772009029345272
2021-03-18,9.04,9.01,9.14,8.95,24280.0,0.56,0.5561735261401468
2021-03-19,8.9,9.04,9.04,8.8,9920.0,-1.55,-1.5486725663716672
2021-03-22,8.98,8.9,9.09,8.9,20940.0,0.9,0.8988764044943753
2021-03-23,8.79,8.98,8.98,8.75,3740.0,-2.12,-2.1158129175946727
2021-03-24,8.65,8.75,8.8,8.6,7770.0,-1.59,-1.5927189988623303
2021-03-25,8.76,8.81,8.81,8.55,1670.0,1.27,1.2716763005780285
2021-03-26,8.72,8.6,8.76,8.6,7100.0,-0.46,-0.45662100456620447
2021-03-29,8.68,8.7,8.72,8.61,4320.0,-0.46,-0.4587155963302836
2021-03-30,8.63,8.68,8.68,8.55,12770.0,-0.58,-0.5760368663594306
2021-03-31,8.6,8.6,8.6,8.51,5920.0,-0.35,-0.34762456546930665
2021-04-02,8.48,8.36,8.6,8.21,10480.0,1.31,1.31421744324971
2021-04-05,8.47,8.48,8.6,8.41,5250.0,-0.12,-0.1179245283018826
2021-04-06,8.35,8.41,8.41,8.3,10650.0,-1.42,-1.416765053128699
2021-04-07,8.35,8.3,8.35,8.21,1450.0,0.0,0.0
2021-04-08,8.3,8.3,8.3,8.24,1730.0,-0.6,-0.5988023952095634
2021-04-12,8.2,8.23,8.23,8.12,7680.0,-1.2,-1.2048192771084487
2021-04-13,8.25,8.2,8.25,8.2,7730.0,0.61,0.6097560975609762
2021-04-14,8.25,8.25,8.25,8.2,1920.0,0.0,0.0
2021-04-15,8.13,8.25,8.28,8.13,800.0,-1.45,-1.4545454545454417
2021-04-16,8.23,8.13,8.25,8.1,9590.0,1.23,1.2300123001230068
2021-04-19,8.29,8.23,8.29,8.01,360.0,0.73,0.7290400972053357
2021-04-20,8.29,8.3,8.33,8.06,1510.0,0.0,0.0
2021-04-21,8.29,8.29,8.29,8.15,2320.0,0.0,0.0
