Date,Price,Open,High,Low,Vol.,Change %,Return
2020-09-22,10.31,10.3,10.44,10.25,4800.0,0.1,0.0970873786407811
2020-09-23,10.31,10.49,10.49,10.21,2840.0,0.0,0.0
2020-09-24,10.3,10.31,10.46,10.25,10540.0,-0.1,-0.09699321047526022
2020-09-25,10.21,10.25,10.3,10.2,5490.0,-0.87,-0.8737864077669855
2020-09-28,10.18,10.21,10.21,10.01,6520.0,-0.29,-0.2938295788442846
2020-09-29,10.35,10.18,10.35,10.0,4740.0,1.67,1.6699410609037235
2020-09-30,10.3,10.39,10.39,10.3,590.0,-0.48,-0.48309178743960457
2020-10-01,10.06,10.06,10.07,9.76,15060.0,-2.33,-2.3300970873786464
2020-10-02,9.99,10.0,10.0,9.82,2860.0,-0.7,-0.6958250497017926
2020-10-05,10.19,10.0,10.19,10.0,5310.0,2.0,2.0020020020020013
2020-10-06,10.45,10.19,10.45,10.17,15810.0,2.55,2.5515210991167825
2020-10-07,10.4,10.45,10.45,10.15,100.0,-0.48,-0.4784688995215225
2020-10-08,10.45,10.33,10.5,10.13,7770.0,0.48,0.48076923076922906
2020-10-09,10.4,10.4,10.4,10.29,3890.0,-0.48,-0.4784688995215225
2020-10-12,10.4,10.4,10.4,10.4,840.0,0.0,0.0
2020-10-13,10.35,10.25,10.39,10.25,11800.0,-0.48,-0.48076923076924016
2020-10-16,10.21,10.21,10.21,10.16,1580.0,-1.35,-1.352657004830904
2020-10-20,10.49,10.49,10.49,10.18,1490.0,0.0,0.0
2020-10-21,10.35,10.25,10.6,10.25,7540.0,-1.33,-1.3346043851287015
2020-10-22,10.63,10.5,10.63,10.5,13500.0,2.71,2.705314009661852
2020-10-23,10.66,10.66,10.8,10.66,19070.0,0.28,0.2822201317027151
2020-10-26,10.6,10.73,10.73,10.45,4430.0,-0.56,-0.5628517823639823
2020-10-27,10.58,10.4,10.59,10.35,1840.0,-0.19,-0.18867924528301883
2020-10-28,10.48,10.36,10.48,10.35,1230.0,-0.95,-0.9451795841209809
2020-10-30,10.4,10.64,10.64,10.4,1910.0,-0.76,-0.7633587786259555
2020-11-02,10.5,10.18,10.5,10.18,3100.0,0.96,0.9615384615384581
2020-11-03,10.6,10.6,10.65,10.5,8610.0,0.95,0.952380952380949
2020-11-05,10.9,10.95,10.95,10.65,7640.0,-0.09,-0.09165902841429263
2020-11-09,10.36,10.45,10.5,10.36,1570.0,-1.33,-1.333333333333342
2020-11-10,10.34,10.21,10.45,10.2,20390.0,-0.19,-0.19305019305019266
2020-11-11,10.34,10.44,10.44,10.25,4200.0,0.0,0.0
2020-11-12,10.29,10.38,10.38,10.11,1920.0,-0.48,-0.4835589941972973
2020-11-13,10.23,10.2,10.25,10.15,4590.0,-0.58,-0.5830903790087327
2020-11-16,10.11,10.2,10.25,10.1,1710.0,-1.17,-1.1730205278592476
2020-11-17,10.2,10.11,10.2,10.08,6260.0,0.89,0.8902077151335286
2020-11-18,10.1,10.28,10.28,10.1,9620.0,-0.98,-0.9803921568627416
2020-11-19,10.07,10.28,10.29,10.01,125020.0,-0.3,-0.2970297029702862
2020-11-20,10.07,10.04,10.07,10.0,1750.0,0.0,0.0
2020-11-23,9.97,9.99,10.06,9.97,5620.0,-0.99,-0.9930486593843102
2020-11-24,9.95,10.0,10.07,9.95,1460.0,-0.2,-0.20060180541626726
2020-11-25,9.95,9.95,10.0,9.95,3550.0,0.0,0.0
2020-11-26,9.95,9.95,9.95,9.9,5430.0,0.0,0.0
2020-11-27,9.9,9.95,9.95,9.9,1010.0,-0.5,-0.5025125628140614
2020-11-30,9.9,9.7,9.9,9.66,50550.0,0.0,0.0
2020-12-01,9.89,9.9,9.9,9.8,1440.0,-0.1,-0.10101010101010166
2020-12-02,9.75,9.7,9.89,9.7,6200.0,-1.42,-1.4155712841253831
2020-12-03,9.75,9.89,9.89,9.7,3890.0,0.0,0.0
2020-12-04,9.75,9.72,9.89,9.72,4150.0,0.0,0.0
2020-12-07,9.73,9.73,9.84,9.71,5450.0,-0.21,-0.20512820512820218
2020-12-08,9.65,9.9,9.9,9.61,36900.0,-0.82,-0.8221993833504637
2020-12-09,9.6,9.52,9.6,9.51,10890.0,-0.52,-0.5181347150259086
2020-12-10,9.55,9.52,9.6,9.52,6390.0,-0.52,-0.5208333333333259
2020-12-11,9.59,9.6,9.6,9.52,900.0,0.42,0.41884816753925413
2020-12-14,9.6,9.77,9.87,9.6,70.0,0.1,0.10427528675702735
2020-12-15,9.6,9.6,9.6,9.55,6050.0,0.0,0.0
2020-12-16,9.6,9.56,9.6,9.52,6190.0,0.0,0.0
2020-12-17,9.59,9.51,9.59,9.5,6800.0,-0.1,-0.10416666666666075
2020-12-18,9.59,9.59,9.59,9.53,3220.0,0.0,0.0
2020-12-21,9.52,9.51,9.6,9.51,5430.0,-0.73,-0.7299270072992692
2020-12-22,9.52,9.6,9.6,9.51,9080.0,0.0,0.0
2020-12-23,9.6,9.6,9.79,9.52,49050.0,0.84,0.8403361344537785
2020-12-24,9.6,9.79,9.79,9.6,33720.0,0.0,0.0
2020-12-25,9.84,9.6,9.9,9.6,4910.0,2.5,2.5000000000000133
2020-12-28,9.65,9.84,9.84,9.61,1810.0,-1.93,-1.9308943089430874
2020-12-29,9.8,9.8,9.8,9.6,1420.0,1.55,1.5544041450777257
2020-12-30,9.75,9.8,9.8,9.7,2780.0,-0.51,-0.5102040816326592
2020-12-31,9.75,9.75,9.75,9.6,7000.0,0.0,0.0
