date,AETEC_xgboost_forecast,AMV_xgboost_forecast,ARTES_xgboost_forecast,BHL_xgboost_forecast,BH_xgboost_forecast,BNA_xgboost_forecast,BS_xgboost_forecast,BTEI_xgboost_forecast,CC_xgboost_forecast,CELL_xgboost_forecast,CIL_xgboost_forecast,CITY_xgboost_forecast,DH_xgboost_forecast,ECYCL_xgboost_forecast,GIF_xgboost_forecast,HANL_xgboost_forecast,ICF_xgboost_forecast,LNDOR_xgboost_forecast,LSTR_xgboost_forecast,MIP_xgboost_forecast,MNP_xgboost_forecast,MPBS_xgboost_forecast,NAKL_xgboost_forecast,NBL_xgboost_forecast,OTH_xgboost_forecast,PLAST_xgboost_forecast,SAH_xgboost_forecast,SAMAA_xgboost_forecast,SERVI_xgboost_forecast,SIPHA_xgboost_forecast,SITS_xgboost_forecast,SMD_xgboost_forecast,SOPAT_xgboost_forecast,SOTE_xgboost_forecast,SPDI_xgboost_forecast,STAR_xgboost_forecast,STIP_xgboost_forecast,STVR_xgboost_forecast,TINV_xgboost_forecast,TJL_xgboost_forecast,TLNET_xgboost_forecast,TLS_xgboost_forecast,TRE_xgboost_forecast,UMED_xgboost_forecast,WIFAK_xgboost_forecast
0,0.016988486,-0.0011031617,-0.0010460608,-0.06585269,0.02128247,0.011244347,-0.03066735,-0.007528377,-0.0015046648,-0.0021220585,0.035774987,0.0010438758,-0.003246648,0.0040536867,-0.002953614,0.00080833887,0.0024354118,-0.014949966,-0.019317195,-0.046560433,0.0071726213,-0.0014859906,-0.00045429266,-0.009748296,-0.0029731083,0.035662703,-0.00047495324,0.0053602643,-0.0069796653,0.003525351,-0.0025582477,-0.0031806622,-0.0025837205,0.0018559336,0.0136456005,0.0072002187,-0.09709318,-0.0029320687,-0.007840283,-0.0045042117,-0.040905032,0.021573758,-0.00014808601,-0.0015971324,-0.0007767204
1,0.027622588,-0.00330693,-0.0035971778,0.019860929,-0.00834948,0.00095903955,-0.0034138204,0.0047112503,-0.011401902,-0.0041333954,0.0013071914,0.0010487757,0.002356885,0.0017781581,0.005108286,-0.0004566914,-0.008159838,-0.0067191133,-0.0078626005,0.0017078485,0.0101707345,-0.008926603,-0.00045429266,-0.0059601045,-0.001284326,0.014297598,0.0040254463,0.00013900778,-0.009440032,0.0006591737,-0.0071994485,0.0023494232,-0.004845085,0.024431808,-0.005238858,-0.008603138,-0.019235196,0.005959295,-0.04513074,0.002818725,0.010855341,0.005207819,-0.004215152,-0.0030439298,0.012270365
2,0.027569467,-0.0010948195,-0.004870783,0.015950466,0.011502847,0.006831539,0.0025136622,0.00034619286,0.008065648,-0.003915808,-0.0012594805,0.004824703,0.01180644,-0.005356319,-0.008096418,0.00080833887,0.0010321222,-0.01906675,-0.040074565,0.041037254,-0.0035709664,-0.004669318,-1.7954688e-05,0.003067568,-0.0015947497,-0.013733137,-0.0029098098,0.0025487314,0.013851665,0.0013489394,-0.0034107517,0.008125145,-0.0036407453,-0.007160292,-0.0019988536,0.10144836,0.008783869,0.0010352597,0.0012752757,-0.011197693,0.0073956414,-0.0028130847,-0.0035093438,0.01144244,0.0007909208
3,-0.0065881107,-0.0008328576,-0.00031147109,0.011190711,0.0048299963,-4.135003e-05,0.006807588,-0.0004739466,-0.007577476,0.0021580409,0.0010433882,0.010595626,-0.015120184,0.0067926385,0.017723512,-0.0005728983,-0.007296743,-0.014194644,-0.018932717,0.033742193,-0.0068209004,-0.013787072,5.315644e-05,0.005868421,0.0061245696,-0.0012901243,-0.004840593,0.0011703002,0.14199278,-0.008139296,-0.17402801,0.038088195,0.004240486,-7.2060952e-06,0.018880527,-0.008591386,0.0228031,0.017064182,-0.019462228,-0.0010127148,0.01262672,-0.006180952,-0.0078061633,0.0009137732,0.0008781713
4,0.054944374,-0.002053533,-0.0064773425,-0.0033663164,0.002735982,-0.003588306,0.008668485,0.0034662788,0.001472369,-0.006521924,-0.013025324,0.0017170047,-0.0007532281,0.0016788468,-0.002538647,0.00080833887,0.0014450717,-0.0018090369,-0.1615742,-0.023146508,0.0028176152,-0.0007716117,5.315644e-05,0.0036151079,0.004199362,0.0036834064,0.00038616007,-0.0043910146,0.03716456,0.009648634,0.020825157,0.016161406,0.0036779214,-0.0031124153,-0.0026012077,-0.005081504,-0.009654779,0.0032338502,0.008901851,-0.017629337,0.0013793084,0.007247304,-0.016897725,0.008548009,0.0010572423
5,0.019015662,-0.001373669,-0.003543822,0.017033402,-0.0021680081,-0.027129637,-0.0148222875,0.000590576,-0.0016804021,-0.0024397532,0.019286143,0.004055292,-0.002058452,0.012953021,-0.004112066,-0.0004566914,0.00563832,0.00031598218,0.015673373,-0.041043516,-0.0048787226,-0.0053786384,-0.00038318156,0.004392767,-0.0017168028,-0.027040182,0.00045910952,0.007818605,-0.014134664,-0.0037517794,-0.015937323,-0.013774213,0.008603657,-0.014830646,0.017183917,-0.027891453,-0.001503019,0.004898275,-0.016660461,0.0019915155,0.014493557,0.005186807,-0.009468713,-0.00083747157,-3.8526057e-05
6,0.020237444,-0.00095031527,-0.0009780196,-0.010673622,0.001523955,-0.0037317155,-0.0025829608,-0.0007756897,-0.00065109745,-0.0023274051,-0.0022735056,0.0053982534,-0.008495385,-0.0028251803,-0.006134704,0.00080833887,0.0026896559,0.004181512,0.0033726937,-0.06946006,-0.008835752,0.025100825,-0.00045429266,0.0006320985,-0.0026576167,0.03322737,0.0019305088,-0.0029487729,-0.006641686,0.008702479,-0.0054716966,0.038649477,0.0053953817,0.0012228613,0.00071197137,0.009480588,0.016081288,0.0033051101,-0.0103575755,0.0071336897,-0.0051415022,-0.0008828875,-0.0015139236,-0.001109383,0.003998079
7,0.020045873,-0.0028019652,-0.021807197,0.014229139,0.0053856713,-0.0012350451,0.005462939,0.0034726686,0.017534561,-0.005794394,0.030436236,0.0021177626,-0.0021727807,-0.0021486708,-0.0047808075,-0.0004566914,0.013064191,-0.006300015,-0.008889873,-0.066272795,-0.004863602,-0.0054902104,-1.7954688e-05,0.0012543971,-0.003298083,0.000659209,-0.00518425,-0.010238028,-0.029346967,-0.013534731,0.06730601,0.037503105,0.0173633,-0.007526238,-0.0066553303,-0.0020511204,-0.015422162,-0.0065915273,-0.00085933815,0.007940505,-0.0053322217,-0.0022459954,-0.0062142694,0.009578841,-0.00045388905
8,-0.012566032,-0.0014226488,0.010137873,-0.017015941,-0.000570645,-0.028391697,-0.00021237884,-0.0008198782,0.0025030687,0.007164454,-0.0073745637,-0.002083013,-0.0014940887,-0.0029282428,0.0012776648,0.00080833887,-0.0017108847,-0.003698999,0.010437048,-0.024579028,-0.008936101,-0.019112438,5.315644e-05,-0.0008763348,0.005788647,-0.012221641,-0.006079086,-0.0054833866,-0.032515872,0.013427875,-0.0828135,0.021386841,0.008177938,-0.008083093,0.019627616,-0.017823434,0.009866453,0.0036057218,-0.037347253,0.012000127,0.009445869,0.0063903937,0.0047034984,0.008903338,0.0030372583
9,0.03914276,-0.0014818556,-0.007644105,-4.756177e-05,0.018111348,0.0060785282,-0.0070422287,-0.0009997337,0.0044538933,-0.0058795004,0.04513011,0.003515044,0.001946738,0.0008679811,-0.0057294723,-0.0004566914,0.00016782132,0.00022983018,0.007492434,0.0049977545,-0.012298443,0.009840014,5.315644e-05,-0.0008825125,-0.004412296,0.011822416,-0.0029080869,-0.018115027,0.039595984,1.3214661e-05,-0.005298299,-0.016983597,0.0029977271,-0.0072963894,-0.0040349467,0.0122555625,-0.0035984253,0.00054460444,0.11744698,0.010007241,0.0045771915,0.024896543,0.0048669153,0.0073950877,-0.0012478281
10,0.00661351,-0.0028019652,0.00060647324,-0.0011586902,-0.00014798768,0.008562075,0.0013181318,0.0022831063,-0.002340509,-0.0038671058,-0.0030164453,0.010184877,0.015830308,-0.00074429705,-0.0033859615,0.00080833887,-0.0020478205,-0.0093758255,0.0020964404,-0.06646646,-0.009887316,-0.004857851,-0.00038318156,0.0032233582,-0.0017484254,0.00944618,-0.0015099954,-0.0033801359,-0.016898692,0.0037619066,-0.04548118,0.0038655994,-0.0026539764,0.0077157277,0.016902508,-0.018447021,-0.026942734,-0.004237214,0.014390512,-0.0015598255,-0.0021168422,0.0005753602,0.006599518,-0.0077659576,0.0005267825
11,0.005733676,-0.0014226488,0.014904885,0.0022435915,0.009591984,-0.017735552,0.003103426,-0.000112392256,-0.00042883225,0.007997341,0.04058963,0.0048247115,-0.009613413,-0.006302959,-0.0057294723,-0.0004566914,0.008441449,-0.0069751414,-0.018184686,0.0568089,-0.020111002,0.024686903,-0.00045429266,-0.00276114,-0.0005041426,-0.00035339574,-0.002539691,-0.0076558706,-0.004586258,-0.008048902,0.017363477,0.007294284,-0.0008573014,0.0070168036,0.017954154,0.0042458186,0.04471725,-0.00893449,0.012001753,-0.004723631,0.004330041,-0.052074034,0.011847987,-0.016846858,0.006353662
12,-0.010467056,-0.0014818556,-0.005090525,-0.0043996763,0.0010332642,0.006856239,-0.0101372935,-0.0009997337,0.004248158,-0.0027420595,-0.00082644395,0.0015929799,0.0025709777,0.0021539293,-0.0057294723,0.00080833887,-0.0036579554,-0.0073169004,-0.023881033,-0.074852265,-0.004742688,0.013316684,-1.7954688e-05,0.00040709044,-0.009092251,-0.0020090379,-0.002868463,0.017725227,-0.012781748,0.025091624,0.045299474,0.016839186,0.024869794,-0.0018700567,-0.008804195,-0.004020463,-0.030352699,-0.0024987215,-0.009535385,-0.005092744,-0.0068763765,-0.0038357445,-0.004855791,-0.022889014,0.00030724562
13,0.0023623572,-0.0028019652,-0.0033657677,-0.015145577,-0.010351055,-9.472782e-05,-0.0042681755,0.0032908295,0.0019017009,-0.0031177644,0.04404211,0.006535705,-0.0030834188,-0.003515876,-0.0027271966,-0.0004566914,-0.00017422452,-0.009186921,-0.022818185,-0.030266423,-0.006631833,0.0094507225,5.315644e-05,0.022303782,0.00021790466,0.00501133,9.27527e-05,0.0062365485,-0.03430478,0.0010790394,0.005026609,0.0018707876,0.0009974752,0.013262684,0.006061958,-0.0059656496,0.0143953245,-0.0018639988,-0.015505984,-0.0055248365,0.0074447566,0.010724831,0.0066543855,-0.001633006,-0.00012370896
14,0.0061581344,-0.0014226488,-0.0007763826,-0.037352454,-0.017288936,-0.004745495,0.0057457495,-0.0010388686,-0.0013691586,0.0056529287,0.03995552,0.010912972,-0.003683818,0.011856667,-0.0057294723,0.00080833887,-0.013159642,-0.010486929,-0.023318473,0.07088785,0.016795395,-0.018137118,5.315644e-05,0.011957579,-0.0038808126,0.0024641487,-0.008145757,-0.0011946042,0.03531024,-0.0013521457,-0.019431645,-0.030136388,0.005527521,-0.008783148,-0.0073937825,-0.0071601365,-0.019654602,-0.0021718314,0.006284781,0.0012186852,-0.009292217,-0.011311334,0.0029013064,-0.005165571,0.01019835
