"Date","Price","Open","High","Low","Vol.","Change %"
"09/21/2023","38.70","39.00","39.00","38.20","1.92K","-1.25%"
"09/20/2023","39.19","39.00","39.29","39.00","4.86K","-0.25%"
"09/19/2023","39.29","39.03","39.29","39.00","7.20K","0.00%"
"09/18/2023","39.29","39.10","39.38","39.10","2.42K","0.49%"
"09/15/2023","39.10","39.40","39.40","39.10","7.66K","-0.76%"
"09/14/2023","39.40","39.43","39.43","39.21","13.57K","0.03%"
"09/13/2023","39.39","39.40","39.43","39.30","5.51K","-0.03%"
"09/12/2023","39.40","39.54","39.54","39.40","35.15K","-0.25%"
"09/11/2023","39.50","39.54","39.54","39.40","3.09K","-0.10%"
"09/08/2023","39.54","39.59","39.59","39.30","6.88K","-0.03%"
"09/07/2023","39.55","39.65","39.65","39.40","5.57K","-0.25%"
"09/06/2023","39.65","39.80","39.80","39.56","6.18K","-0.13%"
"09/05/2023","39.70","39.80","39.80","39.50","7.84K","0.25%"
"09/04/2023","39.60","39.39","39.80","39.39","10.05K","0.53%"
"09/01/2023","39.39","39.50","39.50","39.20","10.03K","0.20%"
"08/31/2023","39.31","39.60","39.60","39.20","7.96K","0.03%"
"08/30/2023","39.30","39.40","39.59","39.30","10.85K","-0.25%"
"08/29/2023","39.40","39.30","39.40","39.00","10.49K","0.51%"
"08/28/2023","39.20","39.01","39.30","38.80","5.34K","0.00%"
"08/25/2023","39.20","39.45","39.45","39.00","6.88K","-0.63%"
"08/24/2023","39.45","39.45","39.45","39.30","0.73K","0.00%"
"08/23/2023","39.45","39.50","39.80","39.30","11.63K","-0.13%"
"08/22/2023","39.50","39.50","40.00","39.40","4.78K","0.25%"
"08/21/2023","39.40","38.40","40.10","38.40","10.30K","3.68%"
"08/18/2023","38.00","37.20","38.00","37.20","6.38K","1.60%"
"08/17/2023","37.40","37.00","37.40","37.00","22.05K","1.08%"
"08/16/2023","37.00","37.10","37.10","36.80","5.86K","0.54%"
"08/15/2023","36.80","36.80","37.00","36.30","25.05K","0.00%"
"08/14/2023","36.80","36.30","36.80","35.98","16.22K","1.38%"
"08/11/2023","36.30","35.12","36.70","35.12","12.16K","3.45%"
"08/10/2023","35.09","32.00","35.09","32.00","2.78M","5.98%"
"08/09/2023","33.11","33.98","33.98","33.11","0.21K","-2.56%"
"08/08/2023","33.98","33.50","34.00","33.31","8.85K","2.04%"
"08/07/2023","33.30","33.50","33.50","33.29","4.24K","0.03%"
"08/04/2023","33.29","33.50","33.50","33.29","11.13K","-0.63%"
"08/03/2023","33.50","33.50","33.50","33.50","0.66K","0.00%"
"08/02/2023","33.50","33.35","33.50","33.35","4.16K","0.60%"
"08/01/2023","33.30","33.30","33.30","33.30","15.37K","-0.30%"
"07/31/2023","33.40","33.40","33.40","33.40","0.38K","0.00%"
"07/28/2023","33.40","33.50","33.50","33.20","4.12K","-0.30%"
"07/27/2023","33.50","33.45","33.50","33.41","1.43K","0.00%"
"07/26/2023","33.50","33.50","33.50","33.50","1.30K","0.00%"
"07/24/2023","33.50","33.50","34.00","33.50","1.44K","0.00%"
"07/21/2023","33.50","33.50","33.70","33.50","0.43K","0.00%"
"07/20/2023","33.50","33.50","33.70","33.50","0.45K","-0.15%"
"07/18/2023","33.55","33.59","33.70","33.55","2.23K","-0.09%"
"07/17/2023","33.58","33.60","33.90","33.58","1.17K","-0.03%"
"07/14/2023","33.59","33.59","33.90","33.59","0.24K","0.27%"
"07/13/2023","33.50","33.60","33.60","33.50","1.54K","-0.30%"
"07/12/2023","33.60","33.60","33.60","33.50","2.21K","0.00%"
"07/11/2023","33.60","33.60","33.85","33.60","1.09K","0.00%"
"07/10/2023","33.60","33.80","33.80","33.58","1.68K","0.00%"
"07/07/2023","33.60","33.90","33.90","33.60","1.16K","0.00%"
"07/06/2023","33.60","33.66","33.66","33.55","1.48K","-0.15%"
"07/05/2023","33.65","33.65","33.95","33.65","0.44K","0.00%"
"07/04/2023","33.65","33.65","33.65","33.65","1.03K","0.00%"
"07/03/2023","33.65","33.71","33.80","33.65","2.08K","0.00%"
"06/30/2023","33.65","33.70","33.70","33.65","0.46K","-0.44%"
"06/27/2023","33.80","33.85","33.85","33.75","1.14K","0.00%"
"06/26/2023","33.80","33.90","33.90","33.80","0.78K","-0.44%"
