"Date","Price","Open","High","Low","Vol.","Change %"
"09/11/2023","30.00","30.00","30.00","30.00","0.04K","0.00%"
"09/08/2023","30.00","30.00","30.00","30.00","0.01K","0.00%"
"09/06/2023","30.00","30.00","30.00","30.00","0.01K","-7.12%"
"08/28/2023","32.30","32.30","32.30","32.30","0.05K","-4.21%"
"08/24/2023","33.72","33.72","33.72","33.72","0.01K","0.00%"
"07/26/2023","33.72","33.72","33.72","33.72","0.03K","8.99%"
"05/18/2023","30.94","30.94","30.94","30.94","0.04K","-12.85%"
"02/16/2023","35.50","35.50","35.50","35.50","0.01K","0.00%"
"02/06/2023","35.50","35.50","35.50","35.50","0.01K","4.41%"
"01/13/2023","34.00","34.00","34.00","34.00","0.06K","0.00%"
"01/11/2023","34.00","34.00","34.00","34.00","0.04K","0.00%"
"01/10/2023","34.00","34.00","34.00","34.00","0.02K","-2.86%"
"01/02/2023","35.00","35.00","35.00","35.00","0.05K","-1.49%"
"12/30/2022","35.53","35.53","35.53","35.53","0.55K","4.50%"
"12/29/2022","34.00","34.00","34.00","34.00","0.04K","-3.95%"
"12/26/2022","35.40","35.40","35.40","35.40","0.00K","0.37%"
"12/23/2022","35.27","35.27","35.27","35.27","0.09K","-0.23%"
"12/21/2022","35.35","35.35","35.35","35.35","0.08K","4.49%"
"12/19/2022","33.83","33.83","33.83","33.83","0.10K","-4.49%"
"12/15/2022","35.42","35.42","35.42","35.42","0.14K","-0.20%"
"12/13/2022","35.49","35.49","35.49","35.49","0.05K","1.40%"
"12/12/2022","35.00","35.00","35.00","35.00","0.04K","4.48%"
"12/09/2022","33.50","33.50","33.50","33.50","0.06K","-5.61%"
"12/07/2022","35.49","35.49","35.49","35.49","0.27K","1.40%"
"12/05/2022","35.00","35.00","35.00","35.00","0.05K","4.48%"
"11/30/2022","33.50","33.50","33.50","33.50","0.33K","0.00%"
"11/25/2022","33.50","33.50","33.50","33.50","0.18K","3.08%"
"11/24/2022","32.50","32.50","32.50","32.50","0.01K","4.40%"
"11/23/2022","31.13","31.13","31.13","31.13","0.04K","9.19%"
"11/10/2022","28.51","28.51","28.51","28.51","0.01K","-3.36%"
"10/20/2022","29.50","29.50","29.50","29.50","0.01K","0.00%"
"10/18/2022","29.50","29.50","29.50","29.50","0.09K","-0.03%"
"10/17/2022","29.51","29.51","29.51","29.51","0.02K","0.03%"
"10/03/2022","29.50","29.50","29.50","29.50","0.09K","0.00%"
"09/23/2022","29.50","29.50","29.50","29.50","0.02K","-3.91%"
"09/22/2022","30.70","30.70","30.70","30.70","0.03K","-4.06%"
"09/21/2022","32.00","32.00","32.00","32.00","0.03K","-4.48%"
"09/19/2022","33.50","33.50","33.50","33.50","0.03K","-1.47%"
"09/15/2022","34.00","34.00","34.00","34.00","0.03K","-2.83%"
"09/14/2022","34.99","34.99","34.99","34.99","0.02K","3.28%"
"08/26/2022","33.88","33.88","33.88","33.88","0.01K","1.13%"
"08/23/2022","33.50","33.50","33.50","33.50","0.01K","0.00%"
"08/18/2022","33.50","33.50","33.50","33.50","0.01K","0.00%"
"08/16/2022","33.50","33.50","33.50","33.50","0.00K","3.43%"
"08/04/2022","32.39","32.39","32.39","32.39","0.00K","4.48%"
"07/27/2022","31.00","31.00","31.00","31.00","0.02K","-4.26%"
"07/05/2022","32.38","32.38","32.38","32.38","0.04K","-4.48%"
"06/28/2022","33.90","33.90","33.90","33.90","0.08K","-0.03%"
"06/14/2022","33.91","33.91","33.91","33.91","0.03K","-4.48%"
"06/08/2022","35.50","35.50","35.50","35.50","0.13K","1.43%"
"05/24/2022","35.00","35.00","35.00","35.00","0.15K","-1.27%"
"05/20/2022","35.45","35.45","35.45","35.45","0.06K","0.00%"
"05/19/2022","35.45","35.45","35.45","35.45","0.02K","-0.14%"
"05/18/2022","35.50","35.50","35.50","35.50","0.04K","0.00%"
"05/17/2022","35.50","35.50","35.50","35.50","0.05K","0.00%"
"05/13/2022","35.50","35.50","35.50","35.50","0.09K","0.00%"
"05/12/2022","35.50","35.50","35.50","35.50","0.03K","0.00%"
"05/11/2022","35.50","35.50","35.50","35.50","0.06K","0.00%"
"05/06/2022","35.50","35.50","35.50","35.50","0.25K","3.26%"
"04/26/2022","34.38","34.38","34.38","34.38","0.05K","-4.50%"
"04/19/2022","36.00","36.00","36.00","36.00","0.02K","-1.37%"
"04/06/2022","36.50","36.50","36.50","36.50","0.04K","0.00%"
"04/05/2022","36.50","36.50","36.50","36.50","0.01K","0.00%"
"02/18/2022","36.50","36.50","36.50","36.50","0.06K","-10.12%"
"02/10/2022","40.61","40.61","40.61","40.61","0.01K","0.00%"
"02/08/2022","40.61","40.61","40.61","40.61","0.01K","0.00%"
"02/07/2022","40.61","40.61","40.61","40.61","0.00K","0.00%"
"01/19/2022","40.61","40.61","40.61","40.61","0.02K","-6.00%"
"01/06/2022","43.20","43.20","43.20","43.20","0.05K","-0.02%"
"01/05/2022","43.21","43.21","43.21","43.21","0.11K","4.15%"
"01/04/2022","41.49","41.49","41.49","41.49","0.02K","0.00%"
"12/31/2021","41.49","41.49","41.49","41.49","0.20K","9.18%"
"12/29/2021","38.00","38.00","38.00","38.00","0.20K","0.00%"
"12/16/2021","38.00","38.00","38.00","38.00","0.01K","0.00%"
"12/15/2021","38.00","38.00","38.00","38.00","0.02K","0.00%"
"12/14/2021","38.00","38.00","38.00","38.00","0.03K","0.00%"
"12/03/2021","38.00","38.00","38.00","38.00","0.08K","0.00%"
"11/29/2021","38.00","38.00","38.00","38.00","0.05K","2.70%"
"11/26/2021","37.00","37.00","37.00","37.00","0.07K","0.00%"
"11/25/2021","37.00","37.00","37.00","37.00","0.07K","2.78%"
"11/19/2021","36.00","36.00","36.00","36.00","0.09K","0.00%"
"11/16/2021","36.00","36.00","36.00","36.00","0.14K","0.00%"
"11/15/2021","36.00","36.00","36.00","36.00","0.03K","0.00%"
"11/12/2021","36.00","36.00","36.00","36.00","0.00K","0.00%"
"11/05/2021","36.00","36.00","36.00","36.00","0.16K","-2.70%"
"11/04/2021","37.00","37.00","37.00","37.00","0.08K","2.78%"
"11/02/2021","36.00","36.00","36.00","36.00","0.39K","0.00%"
"10/29/2021","36.00","36.00","36.00","36.00","0.08K","0.00%"
"10/28/2021","36.00","36.00","36.00","36.00","0.11K","0.00%"
"10/21/2021","36.00","36.00","36.00","36.00","0.06K","-0.83%"
"10/14/2021","36.30","36.30","36.30","36.30","0.04K","0.00%"
"10/13/2021","36.30","36.30","36.30","36.30","0.17K","0.00%"
"10/12/2021","36.30","36.30","36.30","36.30","0.04K","0.97%"
"10/08/2021","35.95","35.95","35.95","35.95","0.01K","-0.14%"
"10/07/2021","36.00","36.00","36.00","36.00","0.41K","-4.26%"
"10/04/2021","37.60","37.60","37.60","37.60","0.00K","0.00%"
"10/01/2021","37.60","37.60","37.60","37.60","0.10K","0.00%"
"09/28/2021","37.60","37.60","37.60","37.60","0.35K","-3.59%"
"09/27/2021","39.00","39.00","39.00","39.00","0.03K","-0.51%"
"09/24/2021","39.20","39.20","39.20","39.20","0.03K","-0.76%"
"09/22/2021","39.50","39.50","39.50","39.50","0.03K","-3.66%"
"09/15/2021","41.00","41.00","41.00","41.00","0.02K","-0.07%"
"08/11/2021","41.03","41.03","41.03","41.03","0.06K","0.00%"
"08/06/2021","41.03","41.03","41.03","41.03","0.01K","0.00%"
"08/05/2021","41.03","41.03","41.03","41.03","0.01K","0.00%"
"08/03/2021","41.03","41.03","41.03","41.03","0.05K","-10.10%"
"03/09/2021","45.64","45.64","45.64","45.64","0.03K","0.00%"
"03/05/2021","45.64","45.64","45.64","45.64","0.01K","-4.50%"
"01/28/2021","47.79","47.79","47.79","47.79","0.07K","-0.02%"
"12/28/2020","47.80","47.80","47.80","47.80","0.03K","0.00%"
"12/25/2020","47.80","47.80","47.80","47.80","0.03K","0.00%"
"12/24/2020","47.80","47.80","47.80","47.80","0.08K","0.00%"
"12/23/2020","47.80","47.80","47.80","47.80","0.04K","0.29%"
"12/22/2020","47.66","47.66","47.66","47.66","0.07K","4.49%"
"12/21/2020","45.61","44.29","45.61","42.97","0.07K","-4.58%"
"12/17/2020","47.80","47.80","47.80","47.80","0.07K","0.00%"
"12/14/2020","47.80","47.80","47.80","47.80","0.03K","0.00%"
"12/10/2020","47.80","47.80","47.80","47.80","0.03K","-0.42%"
"12/09/2020","48.00","48.00","48.00","48.00","0.04K","0.00%"
"12/08/2020","48.00","48.00","48.00","48.00","0.05K","2.35%"
"12/07/2020","46.90","46.90","46.90","46.90","0.05K","-0.19%"
"12/01/2020","46.99","46.99","46.99","46.99","0.05K","-0.02%"
"11/30/2020","47.00","47.00","47.00","47.00","0.00K","5.50%"
"11/26/2020","44.55","44.55","44.55","44.55","0.03K","2.98%"
"11/20/2020","43.26","42.00","43.26","42.00","0.16K","1.15%"
"11/18/2020","42.77","42.77","42.77","42.77","0.01K","2.89%"
"11/17/2020","41.57","41.57","41.57","41.57","0.10K","12.44%"
"11/12/2020","36.97","36.97","36.97","36.97","0.04K","7.63%"
"11/05/2020","34.35","34.35","34.35","34.35","0.01K","3.12%"
"10/28/2020","33.31","33.31","33.31","33.31","0.01K","0.03%"
"10/27/2020","33.30","32.40","33.30","32.40","0.03K","0.00%"
"10/26/2020","33.30","33.30","33.30","33.30","0.18K","-0.09%"
"10/22/2020","33.33","33.33","33.33","33.33","0.13K","0.00%"
"10/21/2020","33.33","33.33","33.33","33.33","0.20K","0.00%"
"10/16/2020","33.33","33.33","33.33","33.33","0.02K","-2.74%"
