"Date","Price","Open","High","Low","Vol.","Change %"
"09/20/2023","5.80","5.80","5.80","5.80","0.29K","0.00%"
"09/19/2023","5.80","5.75","5.85","5.70","1.90K","0.00%"
"09/18/2023","5.80","5.90","5.90","5.80","4.15K","-1.69%"
"09/15/2023","5.90","5.85","5.90","5.85","0.02K","0.00%"
"09/14/2023","5.90","5.85","5.90","5.82","7.22K","-0.84%"
"09/13/2023","5.95","5.85","5.95","5.80","4.72K","-0.67%"
"09/12/2023","5.99","5.96","5.99","5.85","4.79K","0.00%"
"09/11/2023","5.99","5.92","6.00","5.90","5.17K","-0.83%"
"09/08/2023","6.04","5.95","6.05","5.95","2.69K","-0.98%"
"09/07/2023","6.10","5.97","6.10","5.95","7.11K","-1.13%"
"09/06/2023","6.17","6.16","6.17","6.16","9.71K","-0.48%"
"09/04/2023","6.20","6.15","6.20","6.15","3.77K","-0.32%"
"09/01/2023","6.22","6.19","6.22","6.19","2.33K","-0.16%"
"08/31/2023","6.23","6.20","6.24","6.20","3.08K","0.81%"
"08/30/2023","6.18","6.05","6.18","6.00","4.10K","0.65%"
"08/29/2023","6.14","6.10","6.14","6.10","2.50K","0.00%"
"08/28/2023","6.14","6.00","6.14","5.90","2.38K","0.66%"
"08/25/2023","6.10","5.90","6.13","5.90","8.19K","3.21%"
"08/24/2023","5.91","5.90","5.95","5.90","7.52K","0.17%"
"08/23/2023","5.90","6.01","6.08","5.88","5.83K","-4.07%"
"08/22/2023","6.15","6.20","6.20","5.90","4.60K","-1.44%"
"08/21/2023","6.24","6.24","6.24","6.24","0.17K","0.00%"
"08/18/2023","6.24","6.27","6.27","6.24","1.86K","-13.81%"
"08/17/2023","7.24","7.30","7.30","7.01","21.87K","-0.82%"
"08/16/2023","7.30","7.29","7.30","7.25","10.88K","0.00%"
"08/15/2023","7.30","7.35","7.35","7.20","8.80K","-0.68%"
"08/14/2023","7.35","7.35","7.39","7.35","4.32K","-0.68%"
"08/11/2023","7.40","7.40","7.40","7.30","24.78K","0.00%"
"08/10/2023","7.40","7.35","7.49","7.31","17.62K","-1.20%"
"08/09/2023","7.49","7.40","7.49","7.40","8.19K","1.22%"
"08/08/2023","7.40","7.25","7.40","7.25","19.14K","2.07%"
"08/07/2023","7.25","7.22","7.25","7.21","9.28K","0.55%"
"08/04/2023","7.21","7.25","7.26","7.18","12.69K","-0.69%"
"08/03/2023","7.26","7.31","7.31","7.23","3.24K","-0.68%"
"08/02/2023","7.31","7.33","7.34","7.22","4.03K","0.00%"
"08/01/2023","7.31","7.25","7.35","7.20","22.54K","-0.95%"
"07/31/2023","7.38","7.70","7.70","7.34","69.77K","20.39%"
"07/24/2023","6.13","5.90","6.13","5.90","14.68K","5.87%"
"07/21/2023","5.79","5.60","5.79","5.60","8.38K","3.39%"
"07/20/2023","5.60","5.60","5.65","5.50","3.66K","0.00%"
"07/18/2023","5.60","5.55","5.69","5.54","7.36K","0.00%"
"07/14/2023","5.60","5.50","5.60","5.45","0.35K","1.82%"
"07/13/2023","5.50","5.41","5.50","5.41","0.08K","0.00%"
"07/12/2023","5.50","5.56","5.56","5.44","2.38K","-1.79%"
"07/10/2023","5.60","5.60","5.60","5.57","1.08K","0.00%"
"07/07/2023","5.60","5.56","5.65","5.56","2.74K","-0.88%"
"07/06/2023","5.65","5.62","5.65","5.60","0.28K","0.00%"
"07/05/2023","5.65","5.65","5.65","5.65","0.02K","-0.88%"
"07/03/2023","5.70","5.56","5.70","5.55","3.91K","2.52%"
"06/30/2023","5.56","5.56","5.56","5.56","0.03K","0.00%"
"06/27/2023","5.56","5.43","5.56","5.43","0.40K","0.00%"
"06/26/2023","5.56","5.56","5.56","5.56","0.30K","-0.54%"
"06/23/2023","5.59","5.42","5.60","5.42","8.00K","0.72%"
"06/22/2023","5.55","5.50","5.59","5.50","1.03K","-0.89%"
"06/21/2023","5.60","5.49","5.60","5.40","1.87K","1.82%"
"06/20/2023","5.50","5.60","5.65","5.50","2.14K","-1.79%"
"06/19/2023","5.60","5.61","5.61","5.60","0.54K","-1.75%"
"06/16/2023","5.70","5.61","5.70","5.60","2.09K","-0.87%"
"06/15/2023","5.75","5.67","5.75","5.67","3.11K","-0.52%"
"06/14/2023","5.78","5.60","5.78","5.60","1.19K","2.48%"
"06/13/2023","5.64","5.64","5.64","5.60","3.71K","0.00%"
"06/12/2023","5.64","5.60","5.64","5.60","7.30K","0.89%"
"06/09/2023","5.59","5.64","5.64","5.53","13.08K","0.36%"
"06/08/2023","5.57","5.50","5.69","5.45","1.52K","-0.54%"
"06/07/2023","5.60","5.75","5.75","5.60","10.74K","-3.11%"
"06/06/2023","5.78","5.71","5.80","5.70","2.31K","-0.34%"
"06/05/2023","5.80","5.80","5.80","5.50","0.33K","1.75%"
"06/02/2023","5.70","5.80","5.80","5.63","0.98K","-1.55%"
"06/01/2023","5.79","5.90","5.90","5.68","0.60K","0.52%"
"05/31/2023","5.76","5.50","5.77","5.50","15.68K","4.73%"
"05/30/2023","5.50","5.50","5.50","5.45","0.53K","0.00%"
"05/29/2023","5.50","5.50","5.50","5.42","0.27K","0.00%"
"05/26/2023","5.50","5.49","5.53","5.42","4.38K","0.00%"
"05/25/2023","5.50","5.51","5.55","5.50","1.41K","-0.18%"
"05/24/2023","5.51","5.51","5.59","5.50","3.48K","0.00%"
"05/23/2023","5.51","5.60","5.61","5.51","4.12K","-1.61%"
"05/22/2023","5.60","5.58","5.65","5.56","3.78K","-1.58%"
"05/19/2023","5.69","5.56","5.69","5.56","4.04K","0.53%"
"05/18/2023","5.66","5.65","5.66","5.55","10.68K","0.18%"
"05/17/2023","5.65","5.67","5.67","5.56","5.14K","0.89%"
"05/16/2023","5.60","5.69","5.70","5.60","6.36K","-1.41%"
"05/15/2023","5.68","5.73","5.73","5.59","6.21K","-0.35%"
"05/12/2023","5.70","5.60","5.75","5.58","12.62K","1.79%"
"05/11/2023","5.60","5.38","5.60","5.35","5.04K","4.09%"
"05/10/2023","5.38","5.35","5.38","5.35","4.11K","0.56%"
"05/09/2023","5.35","5.35","5.37","5.35","1.18K","-0.19%"
"05/08/2023","5.36","5.36","5.39","5.35","1.76K","1.90%"
"05/05/2023","5.26","5.24","5.31","5.22","5.60K","0.38%"
"05/04/2023","5.24","5.24","5.24","5.23","60.33K","2.75%"
"05/03/2023","5.10","5.10","5.21","5.05","4.97K","-0.97%"
"05/02/2023","5.15","5.10","5.20","5.10","0.58K","-0.96%"
"04/28/2023","5.20","5.02","5.24","5.02","0.97K","-0.38%"
"04/27/2023","5.22","5.15","5.22","5.02","5.48K","0.38%"
"04/26/2023","5.20","5.30","5.30","5.20","3.23K","-1.89%"
"04/25/2023","5.30","5.44","5.44","5.25","12.03K","-3.64%"
"04/24/2023","5.50","5.50","5.50","5.47","3.68K","-0.36%"
"04/20/2023","5.52","5.60","5.60","5.52","0.49K","1.28%"
"04/19/2023","5.45","5.50","5.50","5.45","1.13K","-0.91%"
"04/18/2023","5.50","5.50","5.50","5.45","1.85K","0.92%"
"04/17/2023","5.45","5.45","5.50","5.45","1.41K","0.93%"
"04/14/2023","5.40","5.40","5.40","5.40","0.25K","-1.82%"
"04/12/2023","5.50","5.50","5.50","5.50","0.00K","0.00%"
"04/11/2023","5.50","5.35","5.50","5.35","0.19K","0.18%"
"04/10/2023","5.49","5.35","5.49","5.35","0.47K","1.29%"
"04/07/2023","5.42","5.41","5.46","5.40","8.42K","-0.73%"
"04/06/2023","5.46","5.40","5.50","5.40","0.51K","1.11%"
"04/05/2023","5.40","5.18","5.40","5.18","9.90K","4.25%"
"04/04/2023","5.18","5.18","5.18","5.18","4.00K","0.00%"
"04/03/2023","5.18","5.19","5.19","5.18","6.50K","-0.38%"
"03/31/2023","5.20","5.21","5.21","5.20","0.90K","-0.19%"
"03/30/2023","5.21","5.22","5.22","5.21","2.34K","-0.76%"
"03/29/2023","5.25","5.25","5.25","5.25","0.16K","-0.38%"
"03/28/2023","5.27","5.01","5.27","5.01","3.95K","5.40%"
"03/27/2023","5.00","5.01","5.01","5.00","0.25K","-0.20%"
"03/24/2023","5.01","5.01","5.01","4.95","8.73K","0.00%"
"03/23/2023","5.01","5.01","5.01","5.01","0.01K","0.20%"
"03/22/2023","5.00","5.01","5.01","4.95","1.29K","-0.20%"
"03/21/2023","5.01","5.01","5.01","4.97","2.51K","0.20%"
"03/17/2023","5.00","5.01","5.01","4.97","1.34K","0.00%"
"03/16/2023","5.00","5.01","5.01","5.00","0.57K","0.00%"
"03/15/2023","5.00","5.00","5.01","5.00","3.51K","0.00%"
"03/14/2023","5.00","5.01","5.01","5.00","2.33K","0.00%"
