"Date","Price","Open","High","Low","Vol.","Change %"
"09/20/2023","0.85","0.86","0.86","0.84","15.01K","-1.16%"
"09/19/2023","0.86","0.86","0.86","0.85","8.53K","0.00%"
"09/18/2023","0.86","0.85","0.86","0.85","16.39K","1.18%"
"09/15/2023","0.85","0.85","0.85","0.84","28.71K","-1.16%"
"09/14/2023","0.86","0.85","0.86","0.84","31.96K","1.18%"
"09/13/2023","0.85","0.85","0.85","0.84","21.17K","0.00%"
"09/12/2023","0.85","0.88","0.88","0.84","71.63K","-2.30%"
"09/11/2023","0.87","0.89","0.89","0.86","30.06K","-2.25%"
"09/08/2023","0.89","0.89","0.89","0.87","19.32K","0.00%"
"09/07/2023","0.89","0.89","0.89","0.89","0.45K","0.00%"
"09/06/2023","0.89","0.90","0.90","0.89","5.93K","-2.20%"
"09/05/2023","0.91","0.91","0.91","0.90","11.42K","0.00%"
"09/04/2023","0.91","0.90","0.91","0.90","1.54K","1.11%"
"09/01/2023","0.90","0.91","0.91","0.90","14.56K","-1.10%"
"08/31/2023","0.91","0.91","0.91","0.90","18.16K","0.00%"
"08/30/2023","0.91","0.91","0.91","0.91","5.09K","1.11%"
"08/29/2023","0.90","0.90","0.91","0.89","85.22K","-1.10%"
"08/28/2023","0.91","0.91","0.91","0.90","44.77K","-1.09%"
"08/25/2023","0.92","0.92","0.92","0.91","2.28K","0.00%"
"08/24/2023","0.92","0.92","0.92","0.91","35.30K","0.00%"
"08/23/2023","0.92","0.92","0.92","0.91","12.84K","0.00%"
"08/22/2023","0.92","0.93","0.93","0.91","31.24K","-1.08%"
"08/21/2023","0.93","0.93","0.95","0.93","12.22K","0.00%"
"08/18/2023","0.93","0.93","0.94","0.90","179.58K","1.09%"
"08/17/2023","0.92","0.96","0.96","0.91","60.72K","-4.17%"
"08/16/2023","0.96","0.97","0.97","0.95","46.63K","-2.04%"
"08/15/2023","0.98","0.98","0.98","0.97","6.73K","1.03%"
"08/14/2023","0.97","1.00","1.00","0.97","23.23K","-2.02%"
"08/11/2023","0.99","0.96","0.99","0.96","33.31K","1.02%"
"08/10/2023","0.98","0.98","1.00","0.96","40.49K","-1.01%"
"08/09/2023","0.99","0.98","0.99","0.97","26.77K","1.02%"
"08/08/2023","0.98","1.05","1.05","0.97","63.25K","-4.85%"
"08/07/2023","1.03","1.01","1.06","1.01","4.60K","1.98%"
"08/04/2023","1.01","1.04","1.05","1.01","47.83K","-2.88%"
"08/03/2023","1.04","1.02","1.04","1.01","6.34K","0.00%"
"08/02/2023","1.04","1.04","1.04","1.04","0.01K","1.96%"
"08/01/2023","1.02","1.02","1.04","1.02","11.57K","0.00%"
"07/31/2023","1.02","1.05","1.05","1.02","4.14K","-2.86%"
"07/28/2023","1.05","1.05","1.05","1.05","0.23K","0.00%"
"07/27/2023","1.05","1.05","1.05","1.02","7.89K","0.00%"
"07/26/2023","1.05","1.03","1.05","1.03","4.38K","0.00%"
"07/24/2023","1.05","1.03","1.05","1.03","2.52K","0.00%"
"07/21/2023","1.05","1.05","1.05","1.05","1.50K","0.00%"
"07/20/2023","1.05","1.03","1.05","1.03","6.10K","0.00%"
"07/18/2023","1.05","1.02","1.05","1.02","5.18K","0.00%"
"07/17/2023","1.05","1.03","1.05","1.03","6.97K","-0.94%"
"07/14/2023","1.06","1.05","1.06","1.03","13.21K","0.95%"
"07/13/2023","1.05","1.07","1.07","1.05","3.11K","-1.87%"
"07/12/2023","1.07","1.07","1.08","1.05","19.01K","0.94%"
"07/11/2023","1.06","1.06","1.06","1.04","8.17K","0.95%"
"07/10/2023","1.05","1.05","1.08","1.04","4.54K","-1.87%"
"07/07/2023","1.07","1.07","1.08","1.05","9.34K","0.00%"
"07/06/2023","1.07","1.05","1.08","1.05","10.68K","-0.93%"
"07/05/2023","1.08","1.07","1.08","1.07","8.01K","0.93%"
