"Date","Price","Open","High","Low","Vol.","Change %"
"09/08/2023","47.40","47.40","47.40","47.40","0.06K","0.00%"
"09/06/2023","47.40","47.40","47.40","47.40","0.15K","0.00%"
"08/29/2023","47.40","47.40","47.40","47.40","0.02K","0.85%"
"08/28/2023","47.00","47.00","47.00","47.00","0.00K","0.00%"
"08/25/2023","47.00","47.00","47.00","47.00","0.08K","0.00%"
"08/24/2023","47.00","47.00","47.00","47.00","0.01K","0.00%"
"08/22/2023","47.00","47.00","47.00","47.00","0.00K","4.44%"
"08/21/2023","45.00","45.00","45.00","45.00","2.00K","-4.23%"
"08/15/2023","46.99","46.99","46.99","46.99","0.04K","-0.70%"
"08/10/2023","47.32","47.32","47.32","47.32","0.01K","4.48%"
"07/20/2023","45.29","45.29","45.29","45.29","0.40K","-4.49%"
"07/03/2023","47.42","47.42","47.42","47.42","0.02K","0.00%"
"06/20/2023","47.42","47.42","47.42","47.42","0.01K","0.00%"
"06/14/2023","47.42","47.42","47.42","47.42","0.00K","0.00%"
"06/09/2023","47.42","47.42","47.42","47.42","0.02K","0.00%"
"05/31/2023","47.42","47.42","47.42","47.42","0.01K","0.00%"
"05/25/2023","47.42","47.42","47.42","47.42","0.02K","0.00%"
"05/22/2023","47.42","47.42","47.42","47.42","0.01K","0.00%"
"05/19/2023","47.42","47.42","47.42","47.42","0.33K","0.02%"
"05/18/2023","47.41","47.41","47.41","47.41","0.02K","-0.02%"
"05/11/2023","47.42","47.42","47.42","47.42","0.03K","0.00%"
"05/03/2023","47.42","47.42","47.42","47.42","0.01K","0.00%"
"04/24/2023","47.42","47.42","47.42","47.42","0.05K","0.00%"
"04/11/2023","47.42","47.42","47.42","47.42","0.20K","0.00%"
"04/10/2023","47.42","47.42","47.42","47.42","0.00K","0.00%"
"04/06/2023","47.42","47.42","47.42","47.42","0.01K","0.00%"
"04/05/2023","47.42","47.42","47.42","47.42","0.01K","0.00%"
"04/04/2023","47.42","47.42","47.42","47.42","0.23K","0.00%"
"04/03/2023","47.42","47.42","47.42","47.42","0.04K","0.47%"
"03/31/2023","47.20","47.20","47.20","47.20","0.00K","0.00%"
"03/30/2023","47.20","47.20","47.20","47.20","0.04K","-0.46%"
"03/23/2023","47.42","47.42","47.42","47.42","0.30K","0.00%"
"03/21/2023","47.42","47.42","47.42","47.42","0.20K","0.00%"
"03/14/2023","47.42","47.42","47.42","47.42","0.10K","0.00%"
"03/07/2023","47.42","47.42","47.42","47.42","0.20K","0.00%"
"03/03/2023","47.42","47.42","47.42","47.42","0.70K","0.04%"
"03/02/2023","47.40","47.40","47.40","47.40","0.70K","0.00%"
"02/28/2023","47.40","47.40","47.40","47.40","0.10K","0.00%"
"02/24/2023","47.40","47.40","47.40","47.40","0.10K","-0.04%"
"02/15/2023","47.42","47.42","47.42","47.42","0.50K","0.04%"
"02/10/2023","47.40","47.40","47.40","47.40","0.00K","0.00%"
"02/08/2023","47.40","47.40","47.40","47.40","0.11K","-0.04%"
"01/30/2023","47.42","47.42","47.42","47.42","0.00K","-4.49%"
