"Date","Price","Open","High","Low","Vol.","Change %"
"09/21/2023","3.800","3.900","3.900","3.800","4.54K","-3.06%"
"09/20/2023","3.920","3.910","3.920","3.890","4.97K","0.26%"
"09/19/2023","3.910","3.920","3.930","3.900","1.71K","-0.51%"
"09/18/2023","3.930","3.930","3.930","3.910","3.18K","0.26%"
"09/15/2023","3.920","3.900","3.920","3.900","0.32K","-0.25%"
"09/14/2023","3.930","3.930","3.940","3.900","3.36K","0.00%"
"09/13/2023","3.930","3.930","3.930","3.900","1.15K","0.00%"
"09/12/2023","3.930","3.910","3.930","3.900","4.21K","0.77%"
"09/11/2023","3.900","3.910","3.910","3.830","2.02K","1.30%"
"09/08/2023","3.850","3.940","3.940","3.850","2.68K","-2.28%"
"09/07/2023","3.940","3.850","3.940","3.830","6.35K","1.55%"
"09/06/2023","3.880","3.860","3.900","3.830","2.46K","-0.51%"
"09/05/2023","3.900","3.910","3.910","3.880","2.78K","0.00%"
"09/04/2023","3.900","3.850","3.910","3.840","18.57K","1.30%"
"09/01/2023","3.850","3.850","3.850","3.850","0.45K","0.00%"
"08/31/2023","3.850","3.850","3.860","3.800","0.65K","0.52%"
"08/30/2023","3.830","3.830","3.830","3.830","0.30K","0.00%"
"08/29/2023","3.830","3.760","3.840","3.760","1.97K","2.41%"
"08/28/2023","3.740","3.700","3.740","3.700","0.97K","1.08%"
"08/25/2023","3.700","3.700","3.700","3.700","1.45K","0.00%"
"08/24/2023","3.700","3.590","3.740","3.590","24.04K","2.78%"
"08/23/2023","3.600","3.690","3.690","3.590","0.72K","0.00%"
"08/22/2023","3.600","3.690","3.690","3.600","5.61K","-2.44%"
"08/21/2023","3.690","3.620","3.690","3.620","0.06K","0.00%"
"08/18/2023","3.690","3.650","3.700","3.640","0.22K","1.10%"
"08/17/2023","3.650","3.680","3.700","3.620","0.81K","-1.08%"
"08/16/2023","3.690","3.680","3.690","3.650","2.01K","-0.27%"
"08/15/2023","3.700","3.690","3.700","3.690","0.53K","0.27%"
"08/11/2023","3.690","3.770","3.770","3.650","0.34K","-0.81%"
"08/10/2023","3.720","3.800","3.800","3.580","10.06K","-2.11%"
"08/09/2023","3.800","3.670","3.800","3.670","1.00K","-1.04%"
"08/07/2023","3.840","3.840","3.840","3.840","0.01K","2.13%"
"08/04/2023","3.760","3.790","3.830","3.760","4.18K","-3.09%"
"08/01/2023","3.880","3.780","3.880","3.780","0.22K","0.00%"
"07/31/2023","3.880","3.800","3.880","3.800","2.46K","0.52%"
"07/28/2023","3.860","3.800","3.860","3.800","1.29K","1.58%"
"07/27/2023","3.800","3.760","3.870","3.760","5.35K","-2.56%"
"07/21/2023","3.900","3.900","3.900","3.900","0.02K","0.00%"
"07/18/2023","3.900","3.780","3.920","3.780","1.10K","-0.76%"
"07/14/2023","3.930","3.740","3.930","3.740","4.38K","-0.25%"
"07/13/2023","3.940","3.850","3.940","3.850","1.01K","0.00%"
"07/12/2023","3.940","3.930","3.940","3.930","0.15K","-0.51%"
"07/11/2023","3.960","4.000","4.000","3.900","1.04K","0.76%"
"07/10/2023","3.930","3.720","3.940","3.720","67.26K","5.65%"
"07/07/2023","3.720","3.730","3.730","3.720","41.56K","-0.27%"
"07/06/2023","3.730","3.730","3.730","3.710","34.80K","0.00%"
"07/05/2023","3.730","3.620","3.730","3.620","8.26K","3.61%"
"07/04/2023","3.600","3.560","3.600","3.560","5.26K","0.00%"
"07/03/2023","3.600","3.610","3.610","3.500","5.36K","-0.55%"
"06/30/2023","3.620","3.620","3.620","3.550","0.27K","1.97%"
"06/27/2023","3.550","3.550","3.550","3.510","3.16K","-1.11%"
"06/26/2023","3.590","3.580","3.600","3.580","0.80K","-0.55%"
"06/23/2023","3.610","3.600","3.610","3.580","2.19K","0.00%"
"06/22/2023","3.610","3.600","3.640","3.580","2.20K","-1.10%"
"06/21/2023","3.650","3.670","3.670","3.650","1.71K","-1.35%"
"06/20/2023","3.700","3.740","3.740","3.670","0.22K","-1.07%"
"06/19/2023","3.740","3.660","3.740","3.660","3.93K","-1.58%"
"06/15/2023","3.800","3.800","3.800","3.800","0.50K","-5.00%"
"06/14/2023","4.000","3.970","4.000","3.940","18.41K","1.78%"
"06/13/2023","3.930","3.970","3.970","3.930","3.08K","-1.75%"
"06/12/2023","4.000","3.970","4.000","3.970","7.37K","0.76%"
"06/09/2023","3.970","3.990","3.990","3.940","0.51K","0.76%"
"06/08/2023","3.940","3.920","3.950","3.920","1.18K","-0.25%"
"06/07/2023","3.950","3.910","3.950","3.910","0.50K","-0.25%"
"06/06/2023","3.960","3.950","3.980","3.900","7.01K","0.00%"
"06/05/2023","3.960","3.930","3.960","3.930","1.79K","0.00%"
"06/02/2023","3.960","3.970","3.980","3.930","3.31K","-0.50%"
"06/01/2023","3.980","3.990","3.990","3.930","5.05K","-0.25%"
"05/31/2023","3.990","3.920","3.990","3.920","3.25K","-0.25%"
"05/30/2023","4.000","3.930","4.000","3.920","3.91K","1.27%"
