"Date","Price","Open","High","Low","Vol.","Change %"
"09/21/2023","11.61","11.61","11.61","11.61","","-4.52%"
"09/19/2023","12.16","12.20","12.20","11.80","0.31K","-2.25%"
"09/18/2023","12.44","12.44","12.44","12.44","0.05K","0.00%"
"09/14/2023","12.44","12.44","12.44","12.44","0.01K","1.97%"
"09/13/2023","12.20","12.20","12.20","12.20","0.01K","-2.40%"
"09/12/2023","12.50","12.50","12.50","12.50","0.00K","4.17%"
"09/11/2023","12.00","12.29","12.29","12.00","4.32K","-2.83%"
"09/08/2023","12.35","12.32","12.35","12.32","0.20K","0.24%"
"09/07/2023","12.32","11.90","12.32","11.90","0.41K","-1.83%"
"09/06/2023","12.55","12.55","12.55","12.55","0.00K","-1.95%"
"09/04/2023","12.80","12.80","12.80","12.80","0.15K","0.00%"
"09/01/2023","12.80","12.74","12.80","12.74","0.00K","-1.46%"
"08/29/2023","12.99","12.99","12.99","12.99","0.01K","-0.08%"
"08/28/2023","13.00","13.00","13.00","13.00","0.05K","2.04%"
"08/25/2023","12.74","13.04","13.04","12.74","0.34K","-2.75%"
"08/24/2023","13.10","13.15","13.15","13.10","0.06K","-0.38%"
"08/23/2023","13.15","13.02","13.18","13.00","1.34K","-0.23%"
"08/22/2023","13.18","13.20","13.20","13.02","2.21K","-0.60%"
"08/18/2023","13.26","13.35","13.35","13.01","0.11K","0.45%"
"08/17/2023","13.20","13.20","13.20","13.20","1.24K","0.00%"
"08/16/2023","13.20","13.35","13.35","13.20","6.29K","-1.79%"
"08/15/2023","13.44","13.44","13.44","13.44","0.00K","0.37%"
"08/11/2023","13.39","13.00","13.39","13.00","0.18K","-0.45%"
"08/10/2023","13.45","13.45","13.45","13.45","0.01K","-0.37%"
"08/03/2023","13.50","13.53","13.53","13.50","4.72K","-2.24%"
"07/31/2023","13.81","13.81","13.81","13.81","0.00K","-0.07%"
"07/26/2023","13.82","13.54","13.82","13.53","0.62K","0.22%"
"07/24/2023","13.79","13.90","13.90","13.79","0.06K","0.00%"
"07/21/2023","13.79","13.79","13.79","13.79","0.01K","0.07%"
"07/20/2023","13.78","13.78","13.78","13.78","2.18K","-0.14%"
"07/14/2023","13.80","13.75","13.80","13.75","2.29K","0.36%"
"07/13/2023","13.75","13.74","13.80","13.74","100.02K","0.00%"
"07/11/2023","13.75","13.62","13.75","13.62","0.78K","0.15%"
"07/10/2023","13.73","13.52","13.73","13.52","0.58K","0.00%"
"07/07/2023","13.73","13.61","13.73","13.61","0.52K","0.88%"
"07/06/2023","13.61","13.61","13.75","13.61","1.52K","-1.02%"
"07/04/2023","13.75","13.51","13.75","13.51","0.57K","0.00%"
"07/03/2023","13.75","13.56","13.75","13.56","0.18K","0.36%"
"06/27/2023","13.70","13.48","13.70","13.48","0.05K","0.00%"
"06/26/2023","13.70","13.52","13.78","13.52","6.13K","-0.58%"
"06/22/2023","13.78","13.52","13.78","13.52","0.20K","0.00%"
"06/21/2023","13.78","13.70","13.78","13.70","0.13K","-0.43%"
"06/19/2023","13.84","13.84","13.84","13.84","0.14K","-0.07%"
"06/16/2023","13.85","13.43","13.85","13.43","1.93K","1.09%"
"06/15/2023","13.70","13.42","13.70","13.42","1.64K","-1.01%"
"06/14/2023","13.84","13.78","13.84","13.78","0.05K","-0.07%"
"06/13/2023","13.85","13.42","13.85","13.42","0.86K","3.20%"
"06/12/2023","13.42","13.85","13.85","13.42","0.20K","-2.04%"
"06/09/2023","13.70","13.70","13.70","13.70","0.07K","0.00%"
"06/08/2023","13.70","13.32","13.70","13.32","2.68K","0.00%"
"06/06/2023","13.70","13.70","13.70","13.70","0.07K","-1.44%"
"06/05/2023","13.90","13.25","13.90","13.25","0.20K","-0.36%"
"06/02/2023","13.95","13.25","13.95","13.25","5.44K","4.49%"
"06/01/2023","13.35","13.22","13.35","13.22","1.02K","0.98%"
"05/31/2023","13.22","13.40","13.40","13.20","6.58K","-1.64%"
"05/30/2023","13.44","13.40","13.44","13.40","0.31K","0.00%"
"05/29/2023","13.44","13.40","13.44","13.30","1.24K","0.30%"
"05/26/2023","13.40","13.41","13.41","13.40","1.00M","0.00%"
"05/25/2023","13.40","13.41","13.41","13.18","2.58K","-0.07%"
"05/24/2023","13.41","13.14","13.41","13.14","2.01K","0.07%"
"05/23/2023","13.40","13.11","13.40","13.11","0.67K","0.00%"
"05/22/2023","13.40","13.10","13.40","13.10","1.15K","-0.30%"
"05/19/2023","13.44","13.45","13.45","13.00","3.97K","2.28%"
"05/18/2023","13.14","12.91","13.40","12.90","1.67K","0.00%"
"05/17/2023","13.14","13.00","13.14","12.60","3.91K","1.08%"
"05/16/2023","13.00","13.10","13.10","13.00","0.10K","-0.99%"
"05/15/2023","13.13","13.14","13.14","12.76","0.52K","-0.08%"
"05/12/2023","13.14","13.42","13.42","12.92","6.26K","-2.16%"
"05/11/2023","13.43","13.43","13.43","13.43","0.17K","-3.73%"
"05/10/2023","13.95","14.00","14.00","13.95","0.12K","-2.99%"
"05/09/2023","14.38","14.00","14.38","14.00","13.68K","2.71%"
"05/08/2023","14.00","14.29","14.29","13.94","30.14K","-2.03%"
"05/05/2023","14.29","14.30","14.30","13.92","30.70K","2.07%"
"05/04/2023","14.00","13.90","14.28","13.90","19.50K","-0.14%"
"05/03/2023","14.02","13.70","14.02","13.70","1.99K","-0.07%"
"05/02/2023","14.03","13.70","14.03","13.40","9.70K","-0.36%"
"04/28/2023","14.08","14.09","14.13","13.90","40.75K","-0.78%"
"04/27/2023","14.19","13.99","14.30","13.90","72.02K","1.36%"
"04/26/2023","14.00","14.00","14.00","14.00","1.01K","0.00%"
"04/25/2023","14.00","13.70","14.00","13.70","3.60K","1.82%"
"04/24/2023","13.75","13.65","13.75","13.63","3.21K","0.00%"
"04/20/2023","13.75","13.30","14.00","13.30","0.94K","3.70%"
"04/19/2023","13.26","14.00","14.00","13.26","0.40K","-3.21%"
"04/18/2023","13.70","13.10","13.80","13.10","1.09K","2.62%"
"04/17/2023","13.35","13.30","13.35","13.00","1.76K","-1.11%"
"04/14/2023","13.50","13.67","13.67","13.50","1.61K","-1.46%"
"04/13/2023","13.70","13.60","13.72","13.50","2.32K","-0.22%"
"04/11/2023","13.73","13.85","14.00","13.73","0.57K","-1.93%"
"04/10/2023","14.00","14.00","14.00","14.00","0.05K","-0.92%"
"04/07/2023","14.13","14.00","14.13","14.00","145.11K","-0.63%"
"04/06/2023","14.22","14.21","14.22","14.21","0.04K","0.00%"
"04/05/2023","14.22","14.22","14.22","14.10","4.62K","0.00%"
"04/04/2023","14.22","13.90","14.48","13.90","7.62K","2.30%"
"04/03/2023","13.90","14.09","14.09","13.90","2.37K","-0.64%"
"03/31/2023","13.99","13.00","13.99","13.00","8.89K","5.98%"
"03/29/2023","13.20","12.91","13.25","12.91","9.17K","5.60%"
"03/28/2023","12.50","12.50","12.50","12.50","1.49K","-3.40%"
"03/24/2023","12.94","12.94","12.94","12.94","0.63K","-0.08%"
"03/23/2023","12.95","12.75","12.95","12.75","2.03K","0.00%"
"03/22/2023","12.95","12.75","12.95","12.75","0.30K","1.57%"
"03/21/2023","12.75","12.75","12.75","12.75","0.39K","-1.92%"
"03/16/2023","13.00","13.00","13.00","13.00","0.26K","0.00%"
"03/15/2023","13.00","13.39","13.40","13.00","0.42K","-2.99%"
"03/14/2023","13.40","13.39","13.40","13.39","0.18K","-0.59%"
"03/13/2023","13.48","13.48","13.48","13.48","0.01K","-0.15%"
"03/08/2023","13.50","13.50","13.50","13.50","0.01K","0.00%"
"03/07/2023","13.50","13.50","13.50","13.50","0.23K","-0.52%"
"03/06/2023","13.57","13.57","13.57","13.57","0.36K","-0.15%"
"03/03/2023","13.59","13.60","13.60","13.59","1.28K","-1.02%"
"03/01/2023","13.73","13.78","13.78","13.73","0.55K","-0.44%"
"02/27/2023","13.79","13.79","13.79","13.79","0.28K","-0.07%"
"02/23/2023","13.80","13.50","13.95","13.50","10.36K","-1.08%"
"02/22/2023","13.95","13.94","13.95","13.94","0.84K","0.43%"
"02/21/2023","13.89","13.90","13.90","13.89","0.40K","-0.07%"
"02/20/2023","13.90","13.95","13.95","13.89","1.39K","-0.14%"
"02/17/2023","13.92","13.80","13.92","13.60","2.05K","0.14%"
"02/16/2023","13.90","13.87","13.90","13.80","4.79K","0.07%"
"02/15/2023","13.89","13.40","13.89","13.40","0.26K","-0.07%"
"02/14/2023","13.90","13.92","13.92","13.90","1.55K","0.07%"
"02/13/2023","13.89","13.92","13.92","13.89","0.79K","-0.29%"
"02/10/2023","13.93","13.94","13.94","13.93","1.08K","0.65%"
"02/09/2023","13.84","13.84","13.84","13.84","0.15K","0.00%"
"02/08/2023","13.84","13.84","13.84","13.84","0.04K","-0.79%"
"02/07/2023","13.95","13.99","13.99","13.84","1.22K","-0.36%"
"02/06/2023","14.00","13.81","14.00","13.81","1.13K","0.07%"
"02/03/2023","13.99","13.99","13.99","13.99","0.44K","-0.07%"
"02/02/2023","14.00","13.92","14.00","13.92","1.49K","0.57%"
"02/01/2023","13.92","14.09","14.09","13.91","0.99K","-1.83%"
"01/31/2023","14.18","14.20","14.20","14.18","0.65K","3.20%"
"01/30/2023","13.74","14.38","14.38","13.74","3.34K","-4.45%"
"01/27/2023","14.38","14.38","14.38","14.08","0.80K","0.00%"
"01/26/2023","14.38","14.40","14.40","14.37","0.12K","-0.42%"
"01/25/2023","14.44","14.44","14.44","14.16","1.34K","0.00%"
"01/24/2023","14.44","14.25","14.50","14.25","0.71K","1.33%"
"01/23/2023","14.25","14.59","14.59","14.25","1.36K","-1.72%"
"01/20/2023","14.50","14.59","14.59","14.30","1.40K","1.97%"
"01/19/2023","14.22","14.50","14.50","14.22","0.84K","-1.93%"
"01/18/2023","14.50","14.49","14.59","14.30","2.60K","0.00%"
"01/17/2023","14.50","14.89","14.89","14.48","5.19K","-2.62%"
"01/16/2023","14.89","14.60","14.90","14.60","9.66K","1.99%"
"01/13/2023","14.60","14.50","14.60","14.20","8.27K","0.69%"
"01/12/2023","14.50","14.03","14.50","14.01","2.55K","1.75%"
"01/11/2023","14.25","14.25","14.25","14.00","1.24K","-1.59%"
"01/10/2023","14.48","14.25","14.50","14.25","8.83K","1.61%"
"01/09/2023","14.25","14.49","14.49","14.20","1.56K","-1.45%"
"01/06/2023","14.46","14.50","14.50","14.45","0.92K","-0.21%"
"01/05/2023","14.49","13.99","14.49","13.99","3.35K","3.65%"
"01/04/2023","13.98","14.24","14.24","13.98","1.50K","-0.14%"
