"Date","Price","Open","High","Low","Vol.","Change %"
"08/29/2023","48.75","48.75","48.75","48.75","0.13K","0.00%"
"08/09/2023","48.75","48.75","48.75","48.75","0.01K","0.00%"
"08/08/2023","48.75","48.75","48.75","48.75","0.18K","0.00%"
"06/16/2023","48.75","48.75","48.75","48.75","0.06K","0.00%"
"06/09/2023","48.75","48.75","48.75","48.75","0.02K","0.00%"
"05/15/2023","48.75","48.75","48.75","48.75","0.53K","-2.50%"
"04/24/2023","50.00","50.00","50.00","50.00","0.02K","0.00%"
"03/29/2023","50.00","50.00","50.00","50.00","0.01K","0.00%"
"03/03/2023","50.00","50.00","50.00","50.00","0.00K","-0.02%"
"02/07/2023","50.01","50.01","50.01","50.01","0.03K","0.02%"
"01/30/2023","50.00","50.00","50.00","50.00","0.02K","0.00%"
"01/23/2023","50.00","50.00","50.00","50.00","0.83K","0.00%"
"01/18/2023","50.00","50.00","50.00","50.00","0.20K","0.00%"
"01/11/2023","50.00","50.00","50.00","50.00","0.45K","0.00%"
"01/10/2023","50.00","50.00","50.00","50.00","0.03K","0.00%"
"12/28/2022","50.00","50.00","50.00","50.00","0.02K","0.00%"
"12/27/2022","50.00","50.00","50.00","50.00","0.00K","-0.02%"
"12/14/2022","50.01","50.01","50.01","50.01","1.00K","0.02%"
"11/03/2022","50.00","50.00","50.00","50.00","0.04K","0.00%"
"11/01/2022","50.00","50.00","50.00","50.00","0.02K","0.00%"
"10/19/2022","50.00","50.00","50.00","50.00","0.20K","2.04%"
"10/17/2022","49.00","49.00","49.00","49.00","0.10K","0.00%"
"10/14/2022","49.00","49.00","49.00","49.00","0.03K","0.00%"
"10/07/2022","49.00","49.00","49.00","49.00","0.01K","0.00%"
"10/06/2022","49.00","49.00","49.00","49.00","0.01K","0.00%"
"09/30/2022","49.00","49.00","49.00","49.00","0.01K","0.00%"
"09/23/2022","49.00","49.00","49.00","49.00","0.01K","0.00%"
"09/19/2022","49.00","49.00","49.00","49.00","1.06K","0.00%"
"09/16/2022","49.00","49.00","49.00","49.00","0.01K","1.03%"
"09/02/2022","48.50","48.50","48.50","48.50","0.05K","0.00%"
"09/01/2022","48.50","48.50","48.50","48.50","0.01K","0.00%"
"08/24/2022","48.50","48.50","48.50","48.50","0.01K","0.00%"
"08/22/2022","48.50","48.50","48.50","48.50","0.03K","0.00%"
"08/16/2022","48.50","48.50","48.50","48.50","0.01K","0.00%"
