"Date","Price","Open","High","Low","Vol.","Change %"
"09/21/2023","2.900","2.900","2.900","2.900","","-6.45%"
"09/20/2023","3.100","3.100","3.100","3.100","0.69K","-0.96%"
"09/19/2023","3.130","3.090","3.130","3.090","0.42K","4.33%"
"09/18/2023","3.000","3.000","3.000","3.000","1.20K","0.67%"
"09/15/2023","2.980","2.970","2.980","2.970","1.49K","1.02%"
"09/14/2023","2.950","2.950","2.950","2.950","0.03K","5.36%"
"09/12/2023","2.800","2.800","2.800","2.800","0.02K","0.00%"
"09/08/2023","2.800","2.800","2.800","2.800","0.40K","0.00%"
"09/07/2023","2.800","2.800","2.800","2.800","0.10K","0.00%"
"09/06/2023","2.800","2.800","2.800","2.800","0.03K","0.00%"
"09/05/2023","2.800","2.800","2.800","2.800","0.20K","-3.45%"
"08/30/2023","2.900","2.800","2.900","2.800","1.07K","3.57%"
"08/29/2023","2.800","2.810","2.810","2.800","2.03K","-0.36%"
"08/28/2023","2.810","2.850","2.850","2.810","0.05K","-3.10%"
"08/24/2023","2.900","2.900","2.900","2.900","0.01K","-2.68%"
"08/15/2023","2.980","2.800","2.980","2.800","0.41K","1.36%"
"08/14/2023","2.940","2.820","2.940","2.820","1.07K","4.26%"
"08/11/2023","2.820","2.800","2.820","2.800","2.59K","0.00%"
"08/09/2023","2.820","2.800","2.820","2.780","3.46K","0.71%"
"08/04/2023","2.800","2.800","2.800","2.800","0.49K","0.00%"
"08/03/2023","2.800","2.800","2.800","2.800","4.49K","0.00%"
"08/01/2023","2.800","2.800","2.800","2.800","0.02K","0.00%"
"07/31/2023","2.800","2.730","2.800","2.730","17.94K","2.56%"
"07/28/2023","2.730","2.510","2.730","2.510","0.99K","2.63%"
"07/21/2023","2.660","2.660","2.660","2.660","0.02K","-0.37%"
"07/17/2023","2.670","2.670","2.670","2.670","0.02K","-0.37%"
"07/06/2023","2.680","2.680","2.680","2.680","0.00K","1.13%"
"07/04/2023","2.650","2.600","2.650","2.500","17.01K","3.11%"
"07/03/2023","2.570","2.570","2.570","2.570","3.00K","-5.86%"
"06/30/2023","2.730","2.570","2.730","2.570","1.01K","0.00%"
"06/23/2023","2.730","2.730","2.730","2.730","0.00K","-0.36%"
"06/22/2023","2.740","2.540","2.740","2.540","1.30K","1.48%"
"06/20/2023","2.700","2.700","2.700","2.700","0.00K","0.00%"
"06/19/2023","2.700","2.700","2.700","2.700","0.00K","7.57%"
"06/15/2023","2.510","2.570","2.570","2.510","0.05K","-0.40%"
"06/14/2023","2.520","2.520","2.520","2.520","0.40K","0.00%"
"06/13/2023","2.520","2.520","2.520","2.520","0.02K","-4.55%"
"06/08/2023","2.640","2.650","2.650","2.640","1.68K","0.00%"
"06/07/2023","2.640","2.640","2.640","2.640","1.76K","0.00%"
"06/06/2023","2.640","2.750","2.750","2.640","0.13K","-4.00%"
"06/05/2023","2.750","2.750","2.750","2.750","0.60K","0.00%"
"06/02/2023","2.750","2.750","2.750","2.750","0.02K","0.00%"
"06/01/2023","2.750","2.750","2.750","2.750","0.03K","0.00%"
"05/31/2023","2.750","2.750","2.750","2.750","0.01K","2.61%"
"05/30/2023","2.680","2.530","2.680","2.530","0.06K","5.93%"
"05/29/2023","2.530","2.750","2.750","2.530","1.01K","-3.07%"
"05/26/2023","2.610","2.750","2.750","2.610","0.15K","0.38%"
"05/25/2023","2.600","2.730","2.730","2.600","10.84K","-4.76%"
"05/24/2023","2.730","2.890","2.890","2.730","0.08K","-5.86%"
"05/23/2023","2.900","2.900","2.900","2.900","0.17K","0.00%"
"05/17/2023","2.900","2.910","2.910","2.900","0.07K","1.40%"
"05/16/2023","2.860","2.750","2.860","2.750","0.13K","4.00%"
"05/15/2023","2.750","2.900","2.900","2.750","3.26K","-5.17%"
"05/12/2023","2.900","2.910","2.910","2.900","13.70K","-0.34%"
"05/11/2023","2.910","2.910","2.910","2.910","0.00K","1.75%"
"05/10/2023","2.860","2.860","2.860","2.860","0.01K","-5.61%"
"05/08/2023","3.030","3.030","3.030","3.030","6.54K","0.00%"
"05/05/2023","3.030","3.030","3.100","3.000","24.45K","0.00%"
"05/04/2023","3.030","2.990","3.030","2.990","52.88K","2.71%"
"05/03/2023","2.950","2.900","3.000","2.850","54.29K","3.87%"
"05/02/2023","2.840","2.580","2.840","2.580","8.12K","5.97%"
"04/28/2023","2.680","2.400","2.680","2.400","0.04K","5.10%"
"04/27/2023","2.550","2.550","2.550","2.550","3.43K","-1.92%"
"04/26/2023","2.600","2.600","2.600","2.600","0.01K","0.00%"
"04/25/2023","2.600","2.600","2.600","2.600","0.22K","-3.70%"
"04/24/2023","2.700","2.700","2.700","2.700","0.02K","-9.70%"
"04/20/2023","2.990","2.980","2.990","2.980","0.02K","0.34%"
"04/18/2023","2.980","2.980","2.980","2.980","0.00K","-0.33%"
"04/17/2023","2.990","2.990","2.990","2.990","0.00K","0.00%"
"04/14/2023","2.990","2.990","3.000","2.990","0.03K","3.10%"
"04/13/2023","2.900","2.900","2.900","2.900","0.01K","-0.68%"
"04/12/2023","2.920","2.780","2.920","2.640","138.01K","5.04%"
"04/11/2023","2.780","2.700","2.780","2.700","12.77K","5.70%"
"04/10/2023","2.630","2.560","2.630","2.530","6.37K","5.62%"
"04/07/2023","2.490","2.400","2.490","2.400","11.09K","5.96%"
"04/06/2023","2.350","2.350","2.350","2.350","5.20K","0.00%"
"04/05/2023","2.350","2.350","2.350","2.350","0.91K","0.00%"
"04/04/2023","2.350","2.350","2.350","2.350","1.63K","0.00%"
"03/31/2023","2.350","2.360","2.360","2.350","1.91K","0.00%"
"03/30/2023","2.350","2.440","2.440","2.350","8.70K","-5.24%"
"03/22/2023","2.480","2.480","2.480","2.480","0.00K","2.90%"
"03/21/2023","2.410","2.370","2.410","2.230","8.09K","1.69%"
"03/15/2023","2.370","2.370","2.370","2.370","0.09K","0.85%"
"03/14/2023","2.350","2.360","2.360","2.350","3.07K","-5.62%"
"03/13/2023","2.490","2.360","2.490","2.350","2.02K","-0.40%"
"03/10/2023","2.500","2.480","2.600","2.370","2.66K","0.81%"
"03/08/2023","2.480","2.480","2.480","2.480","0.02K","1.64%"
"03/07/2023","2.440","2.440","2.440","2.440","0.19K","-5.79%"
"03/06/2023","2.590","2.350","2.600","2.350","0.32K","3.60%"
"03/02/2023","2.500","2.500","2.500","2.500","0.00K","-3.85%"
"03/01/2023","2.600","2.610","2.610","2.600","0.25K","2.36%"
"02/28/2023","2.540","2.420","2.540","2.420","3.95K","5.83%"
"02/27/2023","2.400","2.290","2.400","2.290","0.28K","5.73%"
"02/24/2023","2.270","2.270","2.270","2.150","1.03K","-0.44%"
"02/23/2023","2.280","2.280","2.280","2.280","0.01K","0.00%"
"02/22/2023","2.280","2.220","2.280","2.220","2.82K","0.88%"
"02/21/2023","2.260","2.260","2.260","2.260","0.10K","0.89%"
"02/20/2023","2.240","2.240","2.240","2.070","0.01K","1.82%"
"02/17/2023","2.200","2.200","2.200","2.150","0.09K","0.00%"
"02/16/2023","2.200","2.070","2.200","2.070","2.00K","0.00%"
"02/15/2023","2.200","2.130","2.200","2.130","2.29K","-2.65%"
"02/14/2023","2.260","2.260","2.260","2.260","0.00K","0.00%"
"02/13/2023","2.260","2.260","2.260","2.260","0.01K","0.00%"
"02/10/2023","2.260","2.180","2.260","2.180","0.50K","4.15%"
"02/09/2023","2.170","2.170","2.170","2.170","0.00K","0.46%"
"02/07/2023","2.160","2.130","2.170","2.130","0.67K","-0.92%"
"02/06/2023","2.180","2.080","2.180","2.080","0.03K","0.00%"
"02/03/2023","2.180","2.110","2.180","2.110","1.78K","2.83%"
"02/02/2023","2.120","2.130","2.130","2.070","2.52K","2.42%"
"02/01/2023","2.070","2.070","2.070","2.070","5.57K","-3.27%"
"01/31/2023","2.140","2.140","2.140","2.140","0.00K","1.90%"
"01/27/2023","2.100","2.010","2.100","2.010","1.02K","0.48%"
"01/25/2023","2.090","2.090","2.170","2.090","0.02K","1.95%"
"01/24/2023","2.050","2.040","2.050","2.040","1.11K","-5.96%"
"01/20/2023","2.180","2.180","2.180","2.180","0.02K","2.83%"
"01/19/2023","2.120","2.120","2.120","2.120","0.00K","6.00%"
"01/18/2023","2.000","2.140","2.140","2.000","0.46K","-5.66%"
"01/17/2023","2.120","2.070","2.120","2.070","0.75K","-1.40%"
"01/16/2023","2.150","2.150","2.150","2.150","0.01K","0.00%"
"01/12/2023","2.150","2.180","2.180","1.980","0.07K","2.87%"
"01/11/2023","2.090","2.130","2.190","1.990","0.09K","0.00%"
"01/10/2023","2.090","2.090","2.090","2.090","0.01K","5.56%"
"01/09/2023","1.980","2.150","2.150","1.980","2.01K","-4.35%"
"01/06/2023","2.070","1.980","2.070","1.980","1.73K","1.97%"
"01/05/2023","2.030","2.030","2.030","2.030","2.97K","-1.93%"
"01/04/2023","2.070","1.980","2.070","1.980","0.59K","0.00%"
"01/03/2023","2.070","1.980","2.070","1.980","4.52K","-1.43%"
"01/02/2023","2.100","2.160","2.170","2.100","0.07K","2.44%"
"12/30/2022","2.050","2.040","2.050","2.040","2.38K","3.02%"
"12/29/2022","1.990","1.990","1.990","1.990","0.07K","4.19%"
"12/28/2022","1.910","1.950","1.950","1.910","4.51K","0.00%"
"12/27/2022","1.910","1.910","1.910","1.910","4.49K","0.00%"
"12/26/2022","1.910","2.000","2.000","1.910","0.87K","-0.52%"
"12/23/2022","1.920","1.920","1.920","1.920","0.04K","-4.00%"
"12/22/2022","2.000","2.000","2.000","2.000","0.20K","0.00%"
"12/20/2022","2.000","2.000","2.000","2.000","0.03K","0.00%"
"12/19/2022","2.000","2.000","2.000","2.000","1.62K","0.00%"
"12/14/2022","2.000","2.000","2.000","2.000","0.03K","1.01%"
"12/13/2022","1.980","2.000","2.000","1.980","0.36K","0.00%"
"12/12/2022","1.980","1.980","1.980","1.980","0.10K","-0.50%"
"12/09/2022","1.990","1.990","1.990","1.990","0.02K","4.19%"
"12/08/2022","1.910","1.910","1.910","1.910","1.32K","-4.02%"
"12/07/2022","1.990","1.990","1.990","1.990","0.02K","0.51%"
"12/06/2022","1.980","1.980","1.980","1.980","1.27K","-3.88%"
"12/05/2022","2.060","2.060","2.060","2.060","0.02K","4.04%"
"12/02/2022","1.980","2.160","2.160","1.980","4.01K","-4.35%"
"12/01/2022","2.070","2.240","2.240","2.070","4.48K","-4.17%"
"11/30/2022","2.160","2.160","2.160","2.160","0.04K","4.35%"
"11/29/2022","2.070","2.140","2.140","2.070","0.07K","0.98%"
"11/28/2022","2.050","2.050","2.050","2.050","0.01K","4.06%"
"11/25/2022","1.970","1.970","1.970","1.970","12.26K","-4.37%"
"11/24/2022","2.060","2.240","2.240","2.060","3.44K","-4.19%"
"11/23/2022","2.150","2.150","2.150","2.150","6.46K","-12.60%"
