"Date","Price","Open","High","Low","Vol.","Change %"
"09/21/2023","90.00","92.98","92.98","90.00","5.31K","-3.22%"
"09/20/2023","92.99","92.70","93.00","92.50","36.35K","-0.01%"
"09/19/2023","93.00","93.30","93.30","93.00","5.73K","-0.27%"
"09/18/2023","93.25","93.40","93.40","93.15","5.25K","-0.20%"
"09/15/2023","93.44","93.44","93.45","93.30","0.37K","-0.01%"
"09/14/2023","93.45","93.30","93.45","93.10","11.38K","0.00%"
"09/13/2023","93.45","93.48","93.49","93.05","2.51K","-0.03%"
"09/12/2023","93.48","93.00","93.48","93.00","26.45K","0.14%"
"09/11/2023","93.35","93.20","93.35","93.00","6.83K","-0.11%"
"09/08/2023","93.45","93.12","93.45","93.00","1.51K","0.00%"
"09/07/2023","93.45","93.50","93.50","93.00","3.41K","-0.11%"
"09/06/2023","93.55","93.68","93.68","93.00","2.06K","-0.14%"
"09/05/2023","93.68","93.70","93.70","93.00","1.96K","-0.02%"
"09/04/2023","93.70","94.00","94.00","93.00","3.12K","0.75%"
"09/01/2023","93.00","93.75","93.75","92.70","3.08K","0.27%"
"08/31/2023","92.75","93.79","93.79","92.75","2.06K","-0.27%"
"08/30/2023","93.00","93.00","93.77","93.00","2.35K","0.22%"
"08/29/2023","92.80","93.00","93.79","92.80","4.18K","-0.20%"
"08/28/2023","92.99","93.00","93.00","92.50","1.34K","3.32%"
"08/25/2023","90.00","93.99","93.99","90.00","2.09K","-4.25%"
"08/24/2023","93.99","93.70","93.99","93.70","2.10K","0.31%"
"08/23/2023","93.70","93.79","93.80","93.20","1.47K","-0.11%"
"08/22/2023","93.80","93.80","94.00","93.75","2.18K","0.00%"
"08/21/2023","93.80","94.10","94.50","93.80","34.90K","-0.32%"
