"Date","Price","Open","High","Low","Vol.","Change %"
"09/21/2023","7.39","7.20","7.39","7.20","0.56K","0.00%"
"09/20/2023","7.39","7.30","7.39","7.25","2.59K","-0.54%"
"09/19/2023","7.43","7.48","7.48","7.10","16.62K","1.92%"
"09/18/2023","7.29","7.50","7.50","7.29","10.88K","-3.32%"
"09/15/2023","7.54","7.56","7.56","7.40","0.50K","-0.40%"
"09/14/2023","7.57","7.60","7.60","7.50","2.73K","-0.39%"
"09/13/2023","7.60","7.60","7.60","7.45","0.36K","0.00%"
"09/12/2023","7.60","7.58","7.60","7.47","4.66K","0.00%"
"09/11/2023","7.60","7.55","7.64","7.55","1.60K","-0.91%"
"09/08/2023","7.67","7.40","7.70","7.40","5.23K","3.79%"
"09/07/2023","7.39","7.20","7.48","7.20","23.03K","1.37%"
"09/06/2023","7.29","7.39","7.39","7.21","28.02K","-1.35%"
"09/05/2023","7.39","7.59","7.59","7.33","14.31K","-1.20%"
"09/04/2023","7.48","7.58","7.62","7.45","25.89K","-2.09%"
"09/01/2023","7.64","7.60","7.64","7.58","10.47K","0.00%"
"08/31/2023","7.64","7.61","7.65","7.56","12.37K","-0.13%"
"08/30/2023","7.65","7.61","7.65","7.60","12.59K","-0.52%"
"08/29/2023","7.69","7.70","7.70","7.66","13.67K","-0.13%"
"08/28/2023","7.70","7.69","7.70","7.66","4.17K","0.00%"
"08/25/2023","7.70","7.70","7.70","7.69","17.55K","0.13%"
"08/24/2023","7.69","7.69","7.70","7.68","24.17K","0.00%"
"08/23/2023","7.69","7.69","7.69","7.65","0.52K","-0.13%"
"08/22/2023","7.70","7.74","7.74","7.65","36.39K","-0.52%"
"08/21/2023","7.74","7.70","7.75","7.70","4.16K","0.52%"
"08/18/2023","7.70","7.75","7.75","7.69","0.88K","0.92%"
"08/17/2023","7.63","7.60","7.77","7.60","8.45K","-0.26%"
"08/16/2023","7.65","7.68","7.68","7.60","18.38K","-0.26%"
"08/15/2023","7.67","7.70","7.70","7.67","15.69K","-0.26%"
"08/14/2023","7.69","7.70","7.72","7.68","6.26K","-0.39%"
"08/11/2023","7.72","7.68","7.78","7.68","18.27K","-0.39%"
"08/10/2023","7.75","7.72","7.76","7.72","13.98K","-0.13%"
"08/09/2023","7.76","7.78","7.78","7.71","22.48K","-0.13%"
"08/08/2023","7.77","7.71","7.78","7.71","7.07K","-0.13%"
"08/07/2023","7.78","7.78","7.78","7.71","3.56K","0.00%"
"08/04/2023","7.78","7.71","7.78","7.71","13.18K","-0.13%"
"08/03/2023","7.79","7.76","7.80","7.70","25.27K","-0.13%"
"08/02/2023","7.80","7.72","7.80","7.72","7.42K","0.39%"
"08/01/2023","7.77","7.80","7.80","7.76","22.60K","-0.38%"
"07/31/2023","7.80","7.79","7.80","7.77","15.82K","0.13%"
"07/28/2023","7.79","7.79","7.79","7.77","11.64K","0.00%"
"07/27/2023","7.79","7.79","7.79","7.78","24.97K","0.00%"
"07/26/2023","7.79","7.80","7.80","7.77","16.31K","-0.13%"
"07/24/2023","7.80","7.79","7.80","7.79","27.19K","0.00%"
"07/21/2023","7.80","7.82","7.82","7.76","4.48K","-0.26%"
"07/20/2023","7.82","7.88","7.88","7.75","8.82K","-0.89%"
"07/18/2023","7.89","7.94","7.94","7.89","7.24K","-0.63%"
"07/17/2023","7.94","7.75","7.94","7.75","15.80K","2.45%"
"07/14/2023","7.75","7.85","7.85","7.70","5.21K","-0.13%"
"07/13/2023","7.76","7.84","7.85","7.76","3.84K","-1.15%"
"07/12/2023","7.85","7.70","7.98","7.70","4.65K","-8.19%"
"07/11/2023","8.55","8.49","8.59","8.49","33.97K","0.59%"
"07/10/2023","8.50","8.50","8.50","8.45","16.98K","0.59%"
"07/07/2023","8.45","8.48","8.50","8.45","13.80K","-0.35%"
"07/06/2023","8.48","8.49","8.50","8.45","21.67K","-0.12%"
