"Date","Price","Open","High","Low","Vol.","Change %"
"09/21/2023","41.80","43.80","43.80","41.80","12.83K","-4.57%"
"09/20/2023","43.80","43.80","43.90","43.80","3.12K","-0.45%"
"09/19/2023","44.00","44.50","44.51","44.00","1.26K","-2.22%"
"09/18/2023","45.00","45.00","45.29","44.94","30.14K","-0.64%"
"09/15/2023","45.29","45.40","45.40","45.00","2.91K","-0.22%"
"09/14/2023","45.39","45.01","45.39","45.01","0.54K","-0.02%"
"09/13/2023","45.40","45.20","45.40","45.00","0.15K","-0.07%"
"09/12/2023","45.43","45.85","45.85","45.00","3.91K","-0.92%"
"09/11/2023","45.85","45.90","45.90","45.50","5.25K","-0.11%"
"09/08/2023","45.90","45.55","45.90","45.55","1.32K","0.33%"
"09/07/2023","45.75","45.79","45.79","45.60","0.40K","-0.09%"
"09/06/2023","45.79","45.85","45.90","45.53","1.24K","-0.02%"
"09/05/2023","45.80","46.00","46.00","45.80","1.33K","-0.65%"
"09/04/2023","46.10","46.40","46.49","46.00","0.58K","-0.54%"
"09/01/2023","46.35","46.40","46.40","46.35","0.90K","-0.11%"
"08/31/2023","46.40","46.20","46.40","46.20","0.06K","0.00%"
"08/30/2023","46.40","46.39","46.40","46.00","0.68K","0.02%"
"08/29/2023","46.39","46.50","46.58","45.74","1.92K","-0.45%"
"08/28/2023","46.60","46.90","46.90","46.00","0.53K","1.30%"
"08/25/2023","46.00","46.50","46.50","46.00","2.03K","-1.27%"
"08/24/2023","46.59","46.60","46.80","46.00","0.25K","1.28%"
"08/23/2023","46.00","45.76","46.00","45.75","2.39K","-1.27%"
"08/22/2023","46.59","46.20","46.59","46.00","2.10K","0.19%"
"08/21/2023","46.50","46.80","46.80","46.05","2.91K","-0.64%"
"08/18/2023","46.80","46.50","46.80","46.40","54.75K","0.39%"
"08/17/2023","46.62","46.35","46.62","46.35","0.23K","0.80%"
"08/16/2023","46.25","46.34","46.34","46.23","0.98K","-0.19%"
"08/15/2023","46.34","46.22","46.40","46.22","0.17K","0.19%"
"08/14/2023","46.25","46.25","46.25","46.05","0.32K","-0.11%"
"08/11/2023","46.30","46.50","46.50","46.10","0.30K","-0.43%"
"08/10/2023","46.50","46.52","46.52","46.20","0.70K","0.00%"
"08/09/2023","46.50","46.62","46.62","46.00","0.20K","-0.26%"
"08/08/2023","46.62","46.89","46.89","46.50","1.19K","-0.60%"
"08/07/2023","46.90","46.52","46.98","46.50","6.09K","0.64%"
"08/04/2023","46.60","46.85","46.85","46.50","2.30K","-0.43%"
"08/03/2023","46.80","47.10","47.10","46.60","2.76K","-0.62%"
"08/02/2023","47.09","46.90","47.09","46.90","0.00K","0.41%"
"08/01/2023","46.90","46.90","47.09","46.90","1.55K","-0.21%"
"07/31/2023","47.00","47.50","47.50","47.00","0.36K","0.21%"
"07/28/2023","46.90","47.00","47.00","46.90","6.48K","0.00%"
"07/27/2023","46.90","46.95","46.95","46.80","7.80K","0.00%"
"07/26/2023","46.90","47.10","47.57","46.90","56.19K","-0.42%"
"07/24/2023","47.10","47.00","47.10","46.99","19.91K","0.21%"
"07/21/2023","47.00","47.00","47.35","46.50","24.52K","0.21%"
"07/20/2023","46.90","47.00","47.30","46.65","1.51K","0.21%"
"07/18/2023","46.80","46.90","46.90","46.48","1.95K","-0.43%"
"07/17/2023","47.00","46.85","47.00","46.80","1.96K","0.00%"
"07/14/2023","47.00","46.90","47.00","46.90","0.59K","-0.42%"
"07/13/2023","47.20","47.20","47.20","46.90","0.99K","-0.32%"
"07/12/2023","47.35","47.40","47.40","47.00","0.77K","0.11%"
"07/11/2023","47.30","46.90","47.50","46.90","1.32K","0.85%"
"07/10/2023","46.90","46.47","46.90","46.47","5.48K","0.93%"
"07/07/2023","46.47","46.40","46.47","46.30","1.23K","-0.02%"
"07/06/2023","46.48","46.39","46.48","46.20","2.30K","0.19%"
"07/05/2023","46.39","46.40","46.40","46.10","0.75K","-0.06%"
"07/04/2023","46.42","46.43","46.48","46.10","3.56K","-0.02%"
"07/03/2023","46.43","46.20","46.43","46.00","2.27K","-0.04%"
"06/30/2023","46.45","46.45","46.45","46.01","4.31K","-0.09%"
"06/27/2023","46.49","46.45","46.50","46.00","2.16K","0.09%"
"06/26/2023","46.45","46.50","46.50","45.50","0.81K","0.98%"
"06/23/2023","46.00","46.01","46.35","45.69","5.75K","0.00%"
"06/22/2023","46.00","46.34","46.34","45.70","21.68K","-0.84%"
"06/21/2023","46.39","45.00","46.39","45.00","4.54K","3.16%"
"06/20/2023","44.97","44.08","44.97","44.08","46.56K","2.04%"
"06/19/2023","44.07","44.50","44.50","44.07","0.06K","-1.28%"
"06/16/2023","44.64","44.42","44.65","44.10","18.23K","0.59%"
"06/15/2023","44.38","44.33","44.40","44.00","0.99K","0.09%"
"06/14/2023","44.34","44.38","44.43","44.00","1.28K","0.00%"
"06/13/2023","44.34","44.00","44.35","43.95","1.09K","0.89%"
"06/12/2023","43.95","43.50","44.40","43.50","1.46K","-0.11%"
"06/09/2023","44.00","44.00","44.42","43.50","4.43K","-0.95%"
"06/08/2023","44.42","44.49","44.50","44.05","0.82K","-0.63%"
