"Date","Price","Open","High","Low","Vol.","Change %"
"09/21/2023","5.10","5.20","5.20","5.10","269.55K","-1.92%"
"09/20/2023","5.20","5.20","5.23","5.20","112.10K","0.00%"
"09/19/2023","5.20","5.20","5.21","5.20","156.00K","0.00%"
"09/18/2023","5.20","5.24","5.24","5.20","280.88K","-0.76%"
"09/15/2023","5.24","5.25","5.25","5.21","28.68K","-0.19%"
"09/14/2023","5.25","5.24","5.25","5.20","5.94K","0.00%"
"09/13/2023","5.25","5.20","5.25","5.20","9.72K","0.19%"
"09/12/2023","5.24","5.23","5.24","5.20","20.92K","-0.19%"
"09/11/2023","5.25","5.20","5.25","5.20","8.55K","-0.38%"
"09/08/2023","5.27","5.20","5.27","5.20","7.69K","0.57%"
"09/07/2023","5.24","5.24","5.24","5.20","10.56K","-1.13%"
"09/05/2023","5.30","5.30","5.30","5.30","1.96K","-0.38%"
"09/04/2023","5.32","5.32","5.32","5.30","1.87K","0.00%"
"09/01/2023","5.32","5.24","5.33","5.24","11.80K","1.53%"
"08/31/2023","5.24","5.13","5.24","5.13","1.39K","2.14%"
"08/30/2023","5.13","5.12","5.13","5.12","12.19K","0.20%"
"08/29/2023","5.12","5.20","5.20","5.10","13.11K","0.00%"
"08/28/2023","5.12","5.12","5.12","5.11","6.90K","-0.39%"
"08/25/2023","5.14","5.14","5.14","5.13","1.16K","0.00%"
"08/24/2023","5.14","5.10","5.14","5.10","3.28K","0.98%"
"08/23/2023","5.09","5.13","5.13","5.09","6.67K","0.00%"
"08/22/2023","5.09","5.10","5.10","5.08","4.96K","-0.78%"
"08/21/2023","5.13","5.10","5.13","5.10","6.19K","0.59%"
"08/18/2023","5.10","5.14","5.14","5.10","2.00K","0.00%"
"08/17/2023","5.10","5.11","5.11","5.10","11.97K","-0.20%"
"08/16/2023","5.11","5.11","5.11","5.11","0.35K","-0.78%"
"08/15/2023","5.15","5.15","5.15","5.15","0.96K","0.00%"
"08/14/2023","5.15","5.15","5.15","5.06","4.07K","0.00%"
"08/11/2023","5.15","5.18","5.18","5.05","52.36K","-0.58%"
"08/10/2023","5.18","5.22","5.22","5.18","1.87K","-1.33%"
"08/09/2023","5.25","5.30","5.30","5.25","0.04K","0.00%"
"08/08/2023","5.25","5.25","5.25","5.15","13.95K","0.00%"
"08/07/2023","5.25","5.25","5.25","5.25","1.03K","0.00%"
"08/04/2023","5.25","5.25","5.25","5.25","0.02K","-1.69%"
"08/03/2023","5.34","5.25","5.34","5.20","8.26K","1.71%"
"08/02/2023","5.25","5.34","5.34","5.25","6.18K","-1.69%"
"08/01/2023","5.34","5.35","5.35","5.34","6.52K","-0.74%"
"07/31/2023","5.38","5.34","5.40","5.34","9.02K","0.75%"
"07/28/2023","5.34","5.29","5.35","5.29","32.54K","1.14%"
"07/27/2023","5.28","5.27","5.28","5.25","30.38K","0.19%"
"07/26/2023","5.27","5.25","5.27","5.25","53.37K","0.38%"
"07/24/2023","5.25","5.25","5.25","5.25","2.35K","0.00%"
"07/21/2023","5.25","5.25","5.25","5.20","6.25K","0.00%"
"07/20/2023","5.25","5.25","5.28","5.25","5.51K","-0.57%"
"07/18/2023","5.28","5.20","5.28","5.20","7.81K","1.54%"
"07/17/2023","5.20","5.20","5.20","5.19","6.41K","0.00%"
