"Date","Price","Open","High","Low","Vol.","Change %"
"09/20/2023","13.70","13.71","13.71","13.27","7.50K","0.00%"
"09/19/2023","13.70","13.40","13.99","13.40","2.37K","2.32%"
"09/18/2023","13.39","13.40","13.40","13.32","7.37K","-0.07%"
"09/15/2023","13.40","13.46","13.46","13.40","5.17K","-0.59%"
"09/14/2023","13.48","13.49","13.49","13.41","3.17K","0.52%"
"09/13/2023","13.41","13.47","13.47","13.41","0.94K","-0.45%"
"09/12/2023","13.47","13.55","13.55","13.31","2.16K","-0.37%"
"09/11/2023","13.52","13.32","13.56","13.21","7.87K","1.65%"
"09/08/2023","13.30","13.33","13.33","13.13","7.63K","-0.37%"
"09/07/2023","13.35","13.11","13.35","13.10","9.55K","0.75%"
"09/06/2023","13.25","13.30","13.50","13.08","8.08K","-0.38%"
"09/05/2023","13.30","13.39","13.57","13.30","14.20K","-1.41%"
"09/04/2023","13.49","13.67","13.90","13.23","7.90K","-3.51%"
"09/01/2023","13.98","13.49","14.20","13.49","23.46K","-2.58%"
"08/31/2023","14.35","14.36","14.36","14.34","1.56K","-0.28%"
"08/30/2023","14.39","14.32","14.39","14.32","0.64K","0.49%"
"08/29/2023","14.32","14.59","14.59","14.31","1.96K","-1.17%"
"08/28/2023","14.49","14.55","14.55","14.35","5.19K","0.00%"
"08/25/2023","14.49","14.25","14.60","14.25","1.61K","0.00%"
"08/24/2023","14.49","14.30","14.80","14.20","9.58K","1.40%"
"08/23/2023","14.29","14.17","14.35","13.92","15.34K","2.14%"
"08/22/2023","13.99","13.62","14.16","13.62","14.57K","2.87%"
"08/21/2023","13.60","13.97","14.00","13.44","7.99K","-2.79%"
"08/18/2023","13.99","14.50","14.51","13.80","5.53K","-4.18%"
"08/17/2023","14.60","14.71","14.71","14.50","4.17K","-0.75%"
"08/16/2023","14.71","14.67","14.71","14.67","1.51K","0.00%"
"08/15/2023","14.71","14.73","14.73","14.70","0.68K","-0.14%"
"08/14/2023","14.73","14.60","14.73","14.60","0.53K","0.55%"
"08/11/2023","14.65","14.90","15.00","14.60","9.88K","-0.34%"
"08/10/2023","14.70","14.97","15.00","14.69","5.18K","-1.80%"
"08/09/2023","14.97","15.09","15.09","14.96","17.05K","-1.12%"
"08/08/2023","15.14","15.70","15.70","15.12","10.69K","-3.57%"
"08/07/2023","15.70","15.89","15.89","15.49","2.54K","-1.20%"
"08/04/2023","15.89","16.04","16.08","15.89","8.87K","-0.94%"
"08/03/2023","16.04","16.04","16.04","16.02","1.17K","0.00%"
"08/02/2023","16.04","16.08","16.10","16.04","20.93K","-0.37%"
"08/01/2023","16.10","16.02","16.17","16.02","2.13K","0.50%"
"07/31/2023","16.02","16.17","16.17","16.02","2.99K","-0.93%"
"07/28/2023","16.17","16.21","16.21","16.17","2.21K","-0.25%"
"07/27/2023","16.21","16.25","16.37","16.21","4.59K","-0.25%"
"07/26/2023","16.25","16.20","16.30","16.20","15.67K","-0.25%"
"07/24/2023","16.29","16.30","16.30","16.20","3.47K","-0.06%"
"07/21/2023","16.30","16.50","16.60","16.20","6.02K","-1.81%"
"07/20/2023","16.60","16.99","16.99","16.30","2.19K","-3.77%"
"07/18/2023","17.25","17.21","17.25","17.21","2.30K","0.23%"
"07/17/2023","17.21","17.20","17.21","17.19","0.64K","0.00%"
"07/14/2023","17.21","17.21","17.21","17.20","1.40K","0.00%"
"07/13/2023","17.21","17.15","17.21","17.13","2.55K","0.00%"
"07/12/2023","17.21","17.30","17.30","17.15","1.12K","-1.54%"
"07/11/2023","17.48","17.50","17.50","17.25","1.24K","-0.11%"
"07/10/2023","17.50","17.59","17.60","17.30","1.42K","-0.79%"
"07/07/2023","17.64","17.51","17.69","17.31","5.47K","-0.90%"
"07/06/2023","17.80","17.80","17.80","17.50","1.42K","-0.50%"
"07/05/2023","17.89","17.88","17.89","17.80","1.09K","-0.06%"
"07/04/2023","17.90","18.00","18.00","17.87","2.45K","-0.39%"
"07/03/2023","17.97","18.00","18.00","17.60","3.98K","0.39%"
"06/30/2023","17.90","17.37","18.30","17.37","10.97K","2.93%"
"06/27/2023","17.39","17.20","17.40","17.00","3.39K","1.10%"
"06/26/2023","17.20","16.97","17.20","16.96","4.39K","0.00%"
"06/23/2023","17.20","17.29","17.40","17.02","3.47K","-0.58%"
"06/22/2023","17.30","16.80","17.30","16.56","11.76K","2.67%"
"06/21/2023","16.85","17.00","17.00","16.66","12.50K","-1.00%"
"06/20/2023","17.02","17.32","17.40","17.01","11.30K","-2.18%"
"06/19/2023","17.40","17.50","17.75","17.32","4.30K","-0.57%"
"06/16/2023","17.50","17.51","17.51","17.34","7.89K","-1.69%"
"06/15/2023","17.80","17.68","17.87","17.50","13.93K","-0.50%"
"06/14/2023","17.89","17.59","17.94","17.59","3.65K","-0.22%"
"06/13/2023","17.93","18.00","18.00","17.90","6.34K","-0.39%"
"06/12/2023","18.00","18.00","18.02","17.88","3.49K","-0.55%"
"06/09/2023","18.10","18.01","18.10","18.01","3.19K","-0.49%"
"06/08/2023","18.19","18.00","18.28","18.00","7.09K","-0.55%"
"06/07/2023","18.29","18.00","18.29","17.90","14.56K","-0.60%"
"06/06/2023","18.40","18.58","18.80","18.22","5.35K","0.00%"
"06/05/2023","18.40","18.36","18.57","18.36","3.85K","0.22%"
"06/02/2023","18.36","18.36","18.50","18.30","9.66K","-0.49%"
"06/01/2023","18.45","18.50","18.50","18.22","2.98K","-0.70%"
"05/31/2023","18.58","18.08","18.73","18.06","5.01K","0.92%"
"05/30/2023","18.41","18.85","19.20","18.13","7.19K","-2.39%"
"05/29/2023","18.86","19.30","19.35","18.86","16.99K","-1.98%"
"05/26/2023","19.24","18.50","19.35","18.50","23.03K","4.40%"
"05/25/2023","18.43","17.45","18.49","17.41","20.80K","5.62%"
"05/24/2023","17.45","17.55","17.70","17.40","7.95K","-0.23%"
"05/23/2023","17.49","16.70","17.59","16.61","16.42K","5.36%"
"05/22/2023","16.60","16.60","16.70","16.41","4.20K","-0.30%"
"05/19/2023","16.65","16.60","16.65","16.40","11.16K","-0.30%"
"05/18/2023","16.70","16.33","16.79","16.31","5.99K","1.58%"
"05/17/2023","16.44","16.45","16.45","16.33","3.47K","0.24%"
"05/16/2023","16.40","16.40","16.45","16.40","5.05K","-0.30%"
"05/15/2023","16.45","16.50","16.50","16.40","6.68K","-0.30%"
"05/12/2023","16.50","16.47","16.50","16.45","11.06K","0.18%"
"05/11/2023","16.47","16.59","16.59","16.37","2.67K","-0.78%"
"05/10/2023","16.60","16.70","16.70","16.50","1.93K","0.00%"
"05/09/2023","16.60","16.75","16.85","16.52","9.43K","-1.43%"
"05/08/2023","16.84","16.80","16.84","16.71","3.80K","0.00%"
"05/05/2023","16.84","16.85","16.85","16.75","1.70K","-0.06%"
"05/04/2023","16.85","16.89","16.89","16.79","4.17K","-0.24%"
"05/03/2023","16.89","16.92","16.99","16.85","4.40K","-0.65%"
"05/02/2023","17.00","17.05","17.05","16.81","4.69K","0.06%"
"04/28/2023","16.99","17.00","17.00","16.81","6.63K","0.83%"
"04/27/2023","16.85","17.50","17.50","16.70","31.53K","-2.21%"
"04/26/2023","17.23","18.00","18.00","17.23","56.03K","-5.95%"
"04/25/2023","18.32","18.70","18.85","18.03","7.02K","-2.03%"
"04/24/2023","18.70","18.50","18.80","18.00","10.17K","-1.58%"
"04/20/2023","19.00","19.65","19.70","19.00","5.38K","-3.31%"
"04/19/2023","19.65","19.91","19.97","19.60","4.03K","-1.21%"
"04/18/2023","19.89","19.18","19.95","19.18","5.32K","4.63%"
"04/17/2023","19.01","18.78","19.17","18.60","6.05K","1.77%"
"04/14/2023","18.68","18.70","18.70","18.34","4.56K","0.05%"
"04/13/2023","18.67","18.42","19.02","18.42","10.85K","1.58%"
"04/12/2023","18.38","17.21","18.38","17.21","18.47K","6.00%"
"04/11/2023","17.34","17.70","17.70","17.02","14.61K","-2.14%"
"04/10/2023","17.72","18.48","18.48","17.71","19.95K","-4.53%"
"04/07/2023","18.56","19.20","19.21","18.56","20.67K","-3.33%"
"04/06/2023","19.20","19.54","19.54","19.01","7.75K","0.00%"
"04/05/2023","19.20","19.60","19.60","19.01","12.31K","-2.04%"
"04/04/2023","19.60","19.62","19.69","19.35","11.59K","-0.51%"
"04/03/2023","19.70","20.20","20.20","19.61","3.49K","-2.48%"
"03/31/2023","20.20","19.25","20.20","19.06","20.61K","2.33%"
"03/30/2023","19.74","20.99","20.99","19.74","23.21K","-6.00%"
"03/29/2023","21.00","21.42","21.42","21.00","30.13K","-2.10%"
"03/28/2023","21.45","21.85","21.85","21.15","17.81K","-2.05%"
"03/27/2023","21.90","21.20","22.00","21.00","4.82K","4.29%"
"03/24/2023","21.00","21.49","21.49","21.00","15.01K","-2.28%"
"03/23/2023","21.49","21.13","21.96","21.13","14.60K","-4.28%"
"03/22/2023","22.45","22.61","22.61","22.45","10.07K","-5.99%"
"03/21/2023","23.88","24.79","24.79","23.88","1.92K","-5.98%"
"03/17/2023","25.40","25.51","25.69","25.40","1.99K","-0.39%"
"03/16/2023","25.50","25.64","25.90","25.40","3.01K","-0.55%"
"03/15/2023","25.64","25.71","25.76","25.50","1.24K","-1.00%"
"03/14/2023","25.90","26.29","26.29","25.65","0.78K","0.78%"
"03/13/2023","25.70","25.91","25.91","25.65","3.36K","-1.04%"
"03/10/2023","25.97","26.00","26.00","25.82","1.03K","0.54%"
"03/09/2023","25.83","25.85","25.99","25.83","1.47K","-0.65%"
"03/08/2023","26.00","26.01","26.19","26.00","2.07K","-0.15%"
"03/07/2023","26.04","26.20","26.48","26.03","2.54K","-0.23%"
"03/06/2023","26.10","26.19","26.19","25.81","0.60K","0.00%"
"03/03/2023","26.10","26.20","26.20","26.05","1.98K","-0.34%"
"03/02/2023","26.19","26.00","26.29","25.65","1.63K","0.92%"
"03/01/2023","25.95","25.94","26.00","25.94","2.12K","0.00%"
