"Date","Price","Open","High","Low","Vol.","Change %"
"09/07/2023","0.53","0.53","0.53","0.53","0.01K","0.00%"
"07/05/2023","0.53","0.53","0.53","0.53","1.33K","-3.64%"
"07/04/2023","0.55","0.55","0.55","0.55","2.20K","1.85%"
"07/03/2023","0.54","0.54","0.54","0.54","2.49K","0.00%"
"06/30/2023","0.54","0.54","0.54","0.54","3.91K","3.85%"
"06/27/2023","0.52","0.52","0.52","0.52","20.95K","0.00%"
"06/26/2023","0.52","0.52","0.52","0.52","6.26K","1.96%"
"06/23/2023","0.51","0.51","0.51","0.51","22.91K","4.08%"
"06/21/2023","0.49","0.49","0.49","0.49","16.20K","4.26%"
"06/20/2023","0.47","0.47","0.47","0.47","3.00K","4.44%"
"06/19/2023","0.45","0.45","0.45","0.45","2.52K","4.65%"
"06/14/2023","0.43","0.43","0.43","0.43","2.43K","2.38%"
"06/13/2023","0.42","0.42","0.42","0.42","0.41K","-2.33%"
"06/12/2023","0.43","0.43","0.43","0.43","0.01K","2.38%"
"06/09/2023","0.42","0.42","0.42","0.42","7.48K","0.00%"
"06/07/2023","0.42","0.42","0.42","0.42","16.12K","5.00%"
"06/05/2023","0.40","0.40","0.40","0.40","0.94K","2.56%"
"06/02/2023","0.39","0.39","0.39","0.39","10.38K","-2.50%"
"05/31/2023","0.40","0.40","0.40","0.40","2.46K","0.00%"
"05/30/2023","0.40","0.40","0.40","0.40","0.00K","2.56%"
"05/29/2023","0.39","0.39","0.39","0.39","0.78K","-2.50%"
"05/25/2023","0.40","0.40","0.40","0.40","0.30K","0.00%"
"05/24/2023","0.40","0.40","0.40","0.40","0.53K","0.00%"
"05/22/2023","0.40","0.40","0.40","0.40","3.84K","2.56%"
"05/18/2023","0.39","0.39","0.39","0.39","2.00K","2.63%"
"05/15/2023","0.38","0.38","0.38","0.38","1.00K","-11.63%"
"05/03/2023","0.43","0.43","0.43","0.43","0.10K","-4.44%"
"04/18/2023","0.45","0.45","0.45","0.45","0.00K","2.27%"
