"Date","Price","Open","High","Low","Vol.","Change %"
"09/21/2023","4.99","4.99","4.99","4.99","","0.00%"
"09/20/2023","4.99","4.99","4.99","4.99","0.03K","-0.20%"
"09/14/2023","5.00","5.00","5.00","5.00","5.02K","4.17%"
"09/13/2023","4.80","4.80","4.80","4.80","2.00K","-4.00%"
"09/11/2023","5.00","5.00","5.00","5.00","0.03K","0.20%"
"09/07/2023","4.99","4.99","4.99","4.99","0.90K","-0.20%"
"09/04/2023","5.00","5.00","5.00","5.00","0.70K","0.00%"
"09/01/2023","5.00","5.00","5.00","5.00","1.82K","0.00%"
"08/31/2023","5.00","5.00","5.00","5.00","0.03K","1.21%"
"08/30/2023","4.94","4.94","4.94","4.94","0.01K","2.92%"
"08/29/2023","4.80","4.80","4.80","4.80","0.02K","-4.00%"
"08/25/2023","5.00","5.00","5.00","5.00","0.02K","0.00%"
"08/22/2023","5.00","5.00","5.00","5.00","0.02K","0.00%"
"08/08/2023","5.00","5.00","5.00","5.00","1.00K","4.17%"
"08/04/2023","4.80","4.80","4.80","4.80","0.04K","-1.84%"
"07/07/2023","4.89","4.89","4.89","4.89","0.05K","-0.20%"
"07/06/2023","4.90","4.90","4.90","4.90","20.00K","1.03%"
"06/27/2023","4.85","4.85","4.85","4.85","0.09K","-0.82%"
"06/16/2023","4.89","4.89","4.89","4.89","0.05K","3.82%"
"06/15/2023","4.71","4.71","4.71","4.71","0.10K","0.21%"
"06/14/2023","4.70","4.70","4.70","4.70","1.50K","0.00%"
"06/13/2023","4.70","4.70","4.70","4.70","2.00K","0.00%"
"06/12/2023","4.70","4.70","4.70","4.70","6.52K","0.00%"
"06/09/2023","4.70","4.70","4.70","4.70","9.02K","0.00%"
"06/06/2023","4.70","4.70","4.70","4.70","6.59K","0.00%"
"06/02/2023","4.70","4.70","4.70","4.70","6.30K","0.00%"
"06/01/2023","4.70","4.70","4.70","4.70","9.81K","0.00%"
"05/29/2023","4.70","4.70","4.70","4.70","0.10K","-3.69%"
"05/26/2023","4.88","4.88","4.88","4.88","0.05K","0.00%"
"05/25/2023","4.88","4.88","4.88","4.88","3.58K","0.00%"
"05/24/2023","4.88","4.90","4.90","4.88","2.90K","-0.41%"
"05/23/2023","4.90","4.90","4.90","4.90","0.03K","0.00%"
"05/19/2023","4.90","4.90","4.90","4.90","0.10K","1.03%"
"05/18/2023","4.85","4.85","4.85","4.85","1.37K","0.83%"
"05/16/2023","4.81","4.81","4.81","4.81","1.45K","0.00%"
"05/15/2023","4.81","4.81","4.81","4.81","0.07K","0.00%"
"05/12/2023","4.81","4.81","4.81","4.81","1.15K","0.00%"
"05/11/2023","4.81","4.81","4.81","4.81","4.72K","0.42%"
"05/10/2023","4.79","4.70","4.79","4.70","4.29K","1.91%"
"05/09/2023","4.70","4.70","4.70","4.70","0.05K","4.44%"
"05/08/2023","4.50","4.50","4.50","4.50","63.12K","-3.85%"
"05/05/2023","4.68","4.68","4.68","4.68","0.02K","1.30%"
"05/03/2023","4.62","4.62","4.62","4.62","0.40K","0.00%"
"05/02/2023","4.62","4.62","4.62","4.62","0.60K","0.00%"
"04/27/2023","4.62","4.62","4.62","4.62","0.45K","0.43%"
"04/25/2023","4.60","4.60","4.60","4.60","0.17K","0.00%"
"04/24/2023","4.60","4.60","4.60","4.60","21.52K","0.00%"
"04/20/2023","4.60","4.60","4.60","4.60","5.24K","2.22%"
"04/19/2023","4.50","4.50","4.50","4.50","1.27K","-1.96%"
"04/17/2023","4.59","4.59","4.59","4.59","0.52K","0.00%"
"04/14/2023","4.59","4.59","4.59","4.59","0.87K","0.00%"
"04/13/2023","4.59","4.59","4.59","4.59","2.05K","-0.22%"
"03/31/2023","4.60","4.60","4.60","4.60","0.03K","2.22%"
"03/29/2023","4.50","4.50","4.50","4.50","2.00K","0.00%"
"03/17/2023","4.50","4.50","4.50","4.50","11.08K","0.00%"
"03/15/2023","4.50","4.50","4.50","4.50","1.86K","0.00%"
"03/09/2023","4.50","4.50","4.50","4.50","0.34K","0.00%"
"03/01/2023","4.50","4.50","4.50","4.50","1.65K","0.00%"
"02/27/2023","4.50","4.50","4.50","4.50","5.00K","0.00%"
"02/14/2023","4.50","4.50","4.50","4.50","0.50K","1.12%"
"02/10/2023","4.45","4.45","4.45","4.45","0.31K","3.49%"
"02/08/2023","4.30","4.30","4.30","4.30","7.00K","1.18%"
"02/07/2023","4.25","4.25","4.25","4.25","400.03K","0.00%"
"02/03/2023","4.25","4.25","4.25","4.25","0.11K","2.41%"
"02/02/2023","4.15","4.15","4.15","4.15","0.22K","-3.49%"
"02/01/2023","4.30","4.30","4.30","4.30","1.61K","-4.44%"
"01/31/2023","4.50","4.50","4.50","4.50","0.25K","0.00%"
"01/24/2023","4.50","4.50","4.50","4.50","0.01K","0.00%"
"01/23/2023","4.50","4.50","4.50","4.50","3.35K","-2.17%"
"01/19/2023","4.60","4.60","4.60","4.60","0.02K","3.37%"
"01/16/2023","4.45","4.45","4.45","4.45","1.18K","1.14%"
"01/10/2023","4.40","4.40","4.40","4.40","0.09K","0.00%"
"01/09/2023","4.40","4.40","4.40","4.40","3.79K","0.00%"
"01/02/2023","4.40","4.40","4.40","4.40","0.06K","0.00%"
"12/30/2022","4.40","4.40","4.40","4.40","0.95K","0.46%"
"12/29/2022","4.38","4.38","4.38","4.38","2.60K","4.29%"
"12/27/2022","4.20","4.20","4.20","4.20","2.22K","0.00%"
"12/26/2022","4.20","4.20","4.20","4.20","0.68K","1.20%"
"12/23/2022","4.15","4.20","4.20","4.15","2.18K","-5.68%"
"12/19/2022","4.40","4.40","4.40","4.40","0.18K","0.00%"
"12/16/2022","4.40","4.40","4.40","4.40","0.20K","-1.57%"
"12/12/2022","4.47","4.47","4.47","4.47","5.10K","4.44%"
"12/08/2022","4.28","4.15","4.28","4.15","0.05K","2.88%"
"12/07/2022","4.16","4.28","4.28","4.16","0.01K","-2.80%"
"11/30/2022","4.28","4.28","4.28","4.28","0.05K","3.13%"
"11/29/2022","4.15","4.15","4.15","4.15","1.13K","-3.26%"
