"Date","Price","Open","High","Low","Vol.","Change %"
"09/20/2023","5.65","5.55","5.65","5.51","2.71K","-0.35%"
"09/19/2023","5.67","5.68","5.68","5.67","0.01K","2.35%"
"09/18/2023","5.54","5.68","5.68","5.54","2.90K","-2.81%"
"09/14/2023","5.70","5.70","5.70","5.70","0.00K","5.56%"
"09/13/2023","5.40","5.75","5.75","5.37","0.09K","-2.35%"
"09/12/2023","5.53","5.70","5.71","5.53","17.66K","-5.95%"
"09/11/2023","5.88","6.00","6.00","5.80","0.72K","-2.00%"
"09/08/2023","6.00","6.00","6.00","6.00","0.01K","0.00%"
"09/07/2023","6.00","6.00","6.10","6.00","1.11K","0.00%"
"09/06/2023","6.00","6.00","6.00","5.91","9.44K","0.00%"
"09/05/2023","6.00","5.90","6.00","5.90","0.05K","0.00%"
"09/04/2023","6.00","5.91","6.00","5.91","0.22K","1.52%"
"09/01/2023","5.91","6.00","6.00","5.91","0.15K","-1.50%"
"08/31/2023","6.00","6.10","6.10","6.00","0.08K","-1.96%"
"08/30/2023","6.12","6.00","6.12","6.00","0.20K","2.00%"
"08/29/2023","6.00","6.00","6.00","6.00","0.06K","0.00%"
"08/28/2023","6.00","5.95","6.00","5.92","0.20K","0.84%"
"08/25/2023","5.95","5.96","6.00","5.95","0.32K","-0.17%"
"08/24/2023","5.96","6.00","6.00","5.96","0.18K","-0.67%"
"08/23/2023","6.00","6.00","6.00","6.00","0.32K","-1.96%"
"08/22/2023","6.12","6.12","6.12","6.12","0.04K","0.00%"
"08/18/2023","6.12","6.12","6.12","6.12","0.01K","-0.16%"
"08/17/2023","6.13","6.01","6.15","5.95","0.48K","0.49%"
"08/16/2023","6.10","6.10","6.10","6.10","0.08K","-0.65%"
"08/15/2023","6.14","6.03","6.14","6.00","1.40K","-0.16%"
"08/11/2023","6.15","6.15","6.15","6.10","0.12K","0.00%"
"08/09/2023","6.15","6.15","6.15","6.15","0.05K","0.00%"
"08/08/2023","6.15","6.15","6.15","6.15","0.05K","0.00%"
"08/07/2023","6.15","6.15","6.15","6.15","0.02K","-0.65%"
"08/03/2023","6.19","6.19","6.19","6.19","3.68K","0.00%"
"08/02/2023","6.19","6.18","6.19","6.05","1.09K","0.00%"
"08/01/2023","6.19","6.19","6.19","6.19","0.09K","-0.16%"
"07/31/2023","6.20","6.01","6.20","6.01","0.25K","-0.64%"
"07/28/2023","6.24","6.23","6.24","6.23","0.23K","0.00%"
"07/27/2023","6.24","6.15","6.24","6.10","0.13K","1.46%"
"07/26/2023","6.15","6.25","6.25","6.15","0.08K","-1.60%"
"07/24/2023","6.25","6.25","6.25","6.25","0.02K","0.81%"
"07/21/2023","6.20","6.13","6.25","6.13","1.15K","1.14%"
"07/20/2023","6.13","6.15","6.15","6.13","0.69K","-0.16%"
"07/14/2023","6.14","6.13","6.14","6.13","7.10K","0.00%"
"07/12/2023","6.14","6.00","6.14","6.00","0.48K","2.33%"
"07/11/2023","6.00","6.00","6.15","6.00","1.17K","-3.23%"
"07/10/2023","6.20","6.10","6.20","6.10","0.47K","0.00%"
"07/07/2023","6.20","6.27","6.27","6.20","0.26K","-1.27%"
"07/06/2023","6.28","6.10","6.28","6.10","1.19K","-0.16%"
"07/05/2023","6.29","6.01","6.29","6.01","0.30K","4.83%"
"07/04/2023","6.00","6.27","6.27","6.00","0.21K","-4.46%"
"07/03/2023","6.28","5.95","6.28","5.95","1.28K","4.49%"
"06/30/2023","6.01","6.01","6.01","6.00","0.67K","-4.30%"
"06/27/2023","6.28","6.29","6.29","6.00","13.02K","-0.16%"
"06/26/2023","6.29","6.00","6.36","6.00","1.11K","-0.16%"
"06/23/2023","6.30","6.30","6.30","6.30","0.00K","2.77%"
"06/22/2023","6.13","6.13","6.13","5.95","10.96K","0.00%"
"06/21/2023","6.13","6.40","6.40","6.13","30.72K","-5.55%"
"06/20/2023","6.49","6.48","6.49","6.48","1.01K","0.00%"
"06/19/2023","6.49","6.49","6.49","6.49","0.52K","0.00%"
"06/16/2023","6.49","6.49","6.49","6.49","0.61K","0.46%"
"06/15/2023","6.46","6.40","6.46","6.37","1.50K","-0.31%"
"06/14/2023","6.48","6.40","6.48","6.40","0.08K","0.00%"
"06/13/2023","6.48","6.48","6.48","6.30","9.61K","-0.15%"
"06/12/2023","6.49","6.40","6.49","6.40","0.50K","1.41%"
"06/09/2023","6.40","6.26","6.40","6.26","0.50K","-1.54%"
"06/08/2023","6.50","6.50","6.50","6.50","0.14K","0.00%"
"06/07/2023","6.50","6.53","6.53","6.50","0.03K","-0.46%"
"06/06/2023","6.53","6.30","6.53","6.30","0.35K","-0.31%"
"06/05/2023","6.55","6.40","6.55","6.40","4.57K","2.34%"
"06/02/2023","6.40","6.40","6.40","6.30","3.78K","-1.54%"
"06/01/2023","6.50","6.50","6.55","6.40","2.24K","1.56%"
"05/31/2023","6.40","6.40","6.40","6.40","0.29K","0.00%"
"05/30/2023","6.40","6.36","6.59","6.35","17.29K","1.59%"
"05/29/2023","6.30","6.30","6.30","6.21","0.83K","1.45%"
"05/26/2023","6.21","6.20","6.30","6.20","13.85K","-0.80%"
"05/25/2023","6.26","6.26","6.27","6.20","1.66K","0.16%"
"05/24/2023","6.25","6.11","6.27","6.10","1.71K","0.81%"
"05/23/2023","6.20","5.88","6.20","5.88","6.46K","3.51%"
"05/22/2023","5.99","5.88","5.99","5.88","4.86K","-0.17%"
"05/19/2023","6.00","6.00","6.00","5.88","11.58K","0.00%"
"05/18/2023","6.00","6.04","6.04","5.85","22.59K","-3.54%"
"05/17/2023","6.22","6.14","6.24","6.10","34.84K","-4.01%"
"05/16/2023","6.48","6.48","6.48","6.48","5.82K","-5.95%"
"05/15/2023","6.89","6.89","6.89","6.89","0.10K","0.00%"
"05/12/2023","6.89","6.82","6.95","6.82","2.97K","-0.86%"
"05/11/2023","6.95","6.70","6.95","6.60","2.28K","3.89%"
"05/10/2023","6.69","6.69","6.69","6.60","0.18K","0.15%"
"05/09/2023","6.68","6.75","6.75","6.60","3.99K","-1.04%"
"05/08/2023","6.75","6.75","6.75","6.75","0.30K","-1.60%"
"05/05/2023","6.86","6.86","6.86","6.86","0.01K","2.24%"
"05/04/2023","6.71","6.85","6.85","6.70","5.12K","-2.04%"
"05/03/2023","6.85","6.90","6.90","6.77","4.01K","-0.72%"
"05/02/2023","6.90","6.90","6.90","6.90","0.20K","-1.43%"
"04/27/2023","7.00","6.90","7.00","6.80","8.00K","1.45%"
"04/26/2023","6.90","7.09","7.09","6.90","7.52K","-3.50%"
"04/25/2023","7.15","7.19","7.39","7.15","4.10K","-0.42%"
"04/24/2023","7.18","7.05","7.19","6.95","1.27K","4.06%"
"04/20/2023","6.90","6.70","7.10","6.70","26.62K","2.99%"
"04/19/2023","6.70","6.46","6.70","6.46","0.02K","-1.18%"
"04/18/2023","6.78","6.59","6.78","6.59","0.61K","1.19%"
"04/17/2023","6.70","6.69","6.70","6.59","0.04K","1.67%"
"04/14/2023","6.59","6.47","6.60","6.40","2.35K","-0.15%"
"04/13/2023","6.60","6.60","6.60","6.47","1.14K","0.00%"
"04/12/2023","6.60","6.50","6.60","6.50","1.25K","1.54%"
"04/11/2023","6.50","6.50","6.60","6.50","4.76K","-1.52%"
"04/10/2023","6.60","6.50","6.60","6.47","1.36K","0.00%"
"04/07/2023","6.60","6.69","6.69","6.50","29.88K","-1.49%"
"04/06/2023","6.70","6.70","6.70","6.70","0.06K","-1.33%"
"04/05/2023","6.79","6.70","6.79","6.70","0.08K","1.34%"
"04/04/2023","6.70","6.60","6.80","6.60","9.11K","1.52%"
"04/03/2023","6.60","6.72","6.72","6.60","0.25K","0.00%"
"03/31/2023","6.60","6.69","6.69","6.60","1.01K","1.54%"
"03/30/2023","6.50","6.51","6.60","6.50","1.79K","-1.52%"
"03/29/2023","6.60","6.51","6.60","6.51","0.02K","0.00%"
"03/28/2023","6.60","6.60","6.60","6.60","0.00K","-1.20%"
"03/27/2023","6.68","6.66","6.73","6.66","0.63K","-0.30%"
"03/24/2023","6.70","6.67","6.70","6.66","0.59K","0.60%"
"03/22/2023","6.66","6.58","6.66","6.58","2.24K","4.06%"
"03/16/2023","6.40","6.40","6.40","6.40","0.01K","0.00%"
"03/15/2023","6.40","6.30","6.40","6.30","0.03K","0.00%"
"03/14/2023","6.40","6.40","6.40","6.30","0.53K","0.47%"
"03/13/2023","6.37","6.40","6.40","6.37","0.53K","-1.09%"
"03/10/2023","6.44","6.37","6.45","6.37","0.59K","-0.16%"
"03/09/2023","6.45","6.37","6.45","6.37","0.01K","-0.77%"
"03/08/2023","6.50","6.40","6.50","6.37","3.11K","1.56%"
"03/07/2023","6.40","6.40","6.58","6.40","0.50K","-3.03%"
"03/06/2023","6.60","6.40","6.64","6.40","1.05K","2.80%"
"03/03/2023","6.42","6.59","6.69","6.42","0.62K","-2.73%"
"03/02/2023","6.60","6.66","6.75","6.35","3.84K","-0.90%"
"03/01/2023","6.66","6.35","6.68","6.33","0.06K","-0.45%"
"02/28/2023","6.69","6.58","6.69","6.26","3.22K","1.36%"
"02/27/2023","6.60","6.50","6.60","6.50","3.27K","1.54%"
"02/24/2023","6.50","6.50","6.60","6.50","0.54K","-1.52%"
"02/23/2023","6.60","6.70","6.70","6.50","6.01K","1.38%"
"02/22/2023","6.51","6.70","6.74","6.50","2.22K","-2.69%"
"02/21/2023","6.69","6.59","6.70","6.59","2.04K","1.52%"
"02/20/2023","6.59","6.50","6.60","6.50","0.28K","1.38%"
"02/17/2023","6.50","6.50","6.60","6.50","2.73K","0.00%"
"02/16/2023","6.50","6.40","6.55","6.40","4.10K","0.31%"
"02/15/2023","6.48","6.41","6.48","6.41","0.05K","0.93%"
"02/14/2023","6.42","6.43","6.48","6.40","0.40K","-0.93%"
"02/13/2023","6.48","6.48","6.48","6.47","0.79K","0.00%"
"02/10/2023","6.48","6.40","6.48","6.40","1.43K","0.00%"
