"Date","Price","Open","High","Low","Vol.","Change %"
"09/20/2023","0.340","0.340","0.340","0.340","1.03K","0.00%"
"09/19/2023","0.340","0.340","0.340","0.340","0.02K","-19.05%"
"09/04/2023","0.420","0.420","0.420","0.420","0.12K","-14.29%"
"06/30/2023","0.490","0.490","0.490","0.490","0.00K","4.26%"
"06/27/2023","0.470","0.470","0.470","0.470","0.10K","0.00%"
"06/26/2023","0.470","0.470","0.470","0.470","0.27K","6.82%"
"06/21/2023","0.440","0.440","0.440","0.440","0.18K","10.00%"
"06/15/2023","0.400","0.400","0.400","0.400","1.49K","-6.98%"
"06/01/2023","0.430","0.430","0.430","0.430","0.25K","0.00%"
"05/30/2023","0.430","0.430","0.430","0.430","0.13K","2.38%"
"05/29/2023","0.420","0.420","0.420","0.420","0.37K","-6.67%"
"05/25/2023","0.450","0.450","0.450","0.450","0.30K","7.14%"
"05/22/2023","0.420","0.420","0.420","0.420","2.26K","-14.29%"
"05/08/2023","0.490","0.490","0.490","0.490","0.38K","2.08%"
"05/05/2023","0.480","0.480","0.480","0.480","0.11K","0.00%"
"05/04/2023","0.480","0.480","0.480","0.480","0.00K","6.67%"
"04/28/2023","0.450","0.450","0.450","0.450","0.26K","0.00%"
"04/27/2023","0.450","0.450","0.450","0.450","0.04K","7.14%"
"04/24/2023","0.420","0.420","0.420","0.420","3.12K","-17.65%"
"04/05/2023","0.510","0.510","0.510","0.510","0.00K","10.87%"
"03/30/2023","0.460","0.460","0.460","0.460","0.13K","2.22%"
"03/28/2023","0.450","0.450","0.450","0.450","0.12K","2.27%"
"03/27/2023","0.440","0.440","0.440","0.440","0.11K","2.33%"
"03/24/2023","0.430","0.430","0.430","0.430","0.70K","-8.51%"
"03/10/2023","0.470","0.470","0.470","0.470","0.20K","2.17%"
"03/09/2023","0.460","0.460","0.460","0.460","0.34K","-2.13%"
"03/08/2023","0.470","0.470","0.470","0.470","0.19K","0.00%"
"03/07/2023","0.470","0.470","0.470","0.470","0.66K","-4.08%"
"03/02/2023","0.490","0.490","0.490","0.490","0.33K","-3.92%"
"03/01/2023","0.510","0.510","0.510","0.510","0.01K","4.08%"
"02/28/2023","0.490","0.490","0.490","0.490","0.53K","-2.00%"
"02/27/2023","0.500","0.500","0.500","0.500","0.53K","0.00%"
"02/24/2023","0.500","0.500","0.500","0.500","0.10K","4.17%"
"02/23/2023","0.480","0.480","0.480","0.480","0.20K","0.00%"
"02/22/2023","0.480","0.480","0.480","0.480","0.50K","-2.04%"
"02/21/2023","0.490","0.490","0.490","0.490","0.37K","-2.00%"
"02/20/2023","0.500","0.500","0.500","0.500","0.41K","-1.96%"
"02/17/2023","0.510","0.510","0.510","0.510","0.34K","0.00%"
"02/16/2023","0.510","0.510","0.510","0.510","1.06K","-16.39%"
"02/09/2023","0.610","0.610","0.610","0.610","0.70K","-3.17%"
"02/08/2023","0.630","0.630","0.630","0.630","0.79K","10.53%"
"02/03/2023","0.570","0.570","0.570","0.570","0.68K","7.55%"
"02/01/2023","0.530","0.530","0.530","0.530","2.02K","3.92%"
"01/31/2023","0.510","0.510","0.510","0.510","2.72K","6.25%"
"01/27/2023","0.480","0.480","0.480","0.480","5.58K","4.35%"
"01/26/2023","0.460","0.460","0.460","0.460","0.34K","2.22%"
"01/25/2023","0.450","0.450","0.450","0.450","0.34K","2.27%"
"01/24/2023","0.440","0.440","0.440","0.440","5.08K","2.33%"
"01/23/2023","0.430","0.430","0.430","0.430","0.30K","2.38%"
"01/20/2023","0.420","0.420","0.420","0.420","2.88K","2.44%"
"01/19/2023","0.410","0.410","0.410","0.410","1.00K","17.14%"
"01/11/2023","0.350","0.350","0.350","0.350","1.99K","9.38%"
"01/06/2023","0.320","0.320","0.320","0.320","3.52K","3.23%"
"01/05/2023","0.310","0.310","0.310","0.310","0.13K","3.33%"
"01/04/2023","0.300","0.300","0.300","0.300","1.50K","3.45%"
"01/02/2023","0.290","0.290","0.290","0.290","0.33K","0.00%"
"12/29/2022","0.290","0.290","0.290","0.290","1.20K","0.00%"
"12/28/2022","0.290","0.290","0.290","0.290","3.31K","11.54%"
"12/23/2022","0.260","0.260","0.260","0.260","0.33K","0.00%"
"12/15/2022","0.260","0.260","0.260","0.260","0.08K","0.00%"
"12/14/2022","0.260","0.260","0.260","0.260","0.92K","0.00%"
"12/13/2022","0.260","0.260","0.260","0.260","0.50K","-7.14%"
"12/06/2022","0.280","0.280","0.280","0.280","0.01K","0.00%"
"12/02/2022","0.280","0.280","0.280","0.280","0.50K","-3.45%"
"11/30/2022","0.290","0.290","0.290","0.290","1.20K","-3.33%"
