"Date","Price","Open","High","Low","Vol.","Change %"
"09/20/2023","7.28","7.10","7.28","7.10","2.61K","0.00%"
"09/19/2023","7.28","7.28","7.28","7.28","0.01K","-0.14%"
"09/18/2023","7.29","7.27","7.29","7.25","5.06K","-0.14%"
"09/14/2023","7.30","7.31","7.31","7.12","0.63K","0.27%"
"09/13/2023","7.28","7.28","7.28","7.28","0.30K","0.83%"
"09/12/2023","7.22","7.27","7.27","7.22","2.95K","-0.82%"
"09/11/2023","7.28","7.28","7.28","7.28","0.04K","0.00%"
"09/08/2023","7.28","7.30","7.30","7.22","0.91K","0.41%"
"09/07/2023","7.25","7.25","7.25","7.25","0.33K","-0.68%"
"09/06/2023","7.30","7.30","7.30","7.30","0.44K","0.00%"
"09/05/2023","7.30","7.33","7.33","7.20","1.17K","-1.08%"
"09/01/2023","7.38","7.38","7.38","7.38","0.00K","1.10%"
"08/31/2023","7.30","7.01","7.37","7.01","0.08K","-0.95%"
"08/30/2023","7.37","7.30","7.38","7.11","0.14K","0.96%"
"08/29/2023","7.30","7.38","7.38","7.30","2.72K","0.00%"
"08/28/2023","7.30","7.38","7.38","7.30","17.82K","0.00%"
"08/25/2023","7.30","7.38","7.38","7.30","10.00K","0.00%"
"08/24/2023","7.30","7.27","7.38","7.27","103.50K","0.27%"
"08/23/2023","7.28","7.29","7.29","7.28","0.05K","-0.14%"
"08/22/2023","7.29","7.00","7.29","7.00","0.30K","0.00%"
"08/18/2023","7.29","7.20","7.29","7.20","0.24K","1.25%"
"08/17/2023","7.20","7.21","7.21","7.20","3.09K","-1.37%"
"08/16/2023","7.30","7.30","7.30","7.30","0.68K","0.00%"
"08/15/2023","7.30","7.30","7.30","7.10","1.69K","1.39%"
"08/14/2023","7.20","7.45","7.45","7.20","5.18K","0.00%"
"08/11/2023","7.20","7.24","7.24","7.19","0.16K","-0.55%"
"08/10/2023","7.24","7.25","7.25","7.10","1.76K","-0.82%"
"08/09/2023","7.30","7.44","7.44","7.30","0.03K","-0.54%"
"08/07/2023","7.34","7.08","7.35","7.08","0.80K","-0.14%"
"08/04/2023","7.35","7.31","7.40","7.20","0.99K","-1.34%"
"08/03/2023","7.45","7.37","7.45","7.36","0.03K","-0.13%"
"07/31/2023","7.46","7.46","7.46","7.46","5.00K","0.40%"
"07/28/2023","7.43","7.46","7.46","7.33","3.11K","-0.40%"
"07/27/2023","7.46","7.40","7.46","7.40","4.52K","0.81%"
"07/26/2023","7.40","7.49","7.51","7.40","22.45K","-0.94%"
"07/24/2023","7.47","7.49","7.49","7.41","3.31K","-0.27%"
"07/21/2023","7.49","7.51","7.51","7.40","4.55K","1.22%"
"07/20/2023","7.40","7.41","7.41","7.40","2.99K","-0.13%"
"07/18/2023","7.41","7.30","7.50","7.30","2.07K","-2.37%"
"07/17/2023","7.59","7.44","7.59","7.44","4.17K","1.88%"
"07/13/2023","7.45","7.45","7.45","7.45","0.10K","0.00%"
"07/12/2023","7.45","7.40","7.45","7.40","2.02K","-0.13%"
"07/11/2023","7.46","7.48","7.48","7.46","0.12K","-0.27%"
"07/10/2023","7.48","7.58","7.59","7.48","4.42K","-0.13%"
"07/07/2023","7.49","7.49","7.59","7.49","1.02K","0.00%"
"07/06/2023","7.49","7.51","7.51","7.49","4.06K","-1.83%"
"07/05/2023","7.63","7.63","7.63","7.63","0.00K","0.53%"
