"Date","Price","Open","High","Low","Vol.","Change %"
"09/20/2023","3.69","3.69","3.69","3.67","1.31K","0.00%"
"09/19/2023","3.69","3.74","3.74","3.67","0.89K","-0.27%"
"09/18/2023","3.70","3.78","3.78","3.70","0.09K","-1.33%"
"09/15/2023","3.75","3.75","3.78","3.70","1.97K","-0.79%"
"09/14/2023","3.78","3.78","3.78","3.78","0.03K","0.00%"
"09/13/2023","3.78","3.78","3.78","3.78","0.02K","2.72%"
"09/12/2023","3.68","3.68","3.68","3.63","0.18K","0.00%"
"09/11/2023","3.68","3.70","3.70","3.61","14.19K","-0.54%"
"09/08/2023","3.70","3.70","3.70","3.62","0.27K","0.00%"
"09/07/2023","3.70","3.70","3.70","3.70","0.20K","0.00%"
"09/06/2023","3.70","3.74","3.74","3.70","8.59K","-0.54%"
"09/05/2023","3.72","3.74","3.74","3.70","5.58K","-0.53%"
"09/04/2023","3.74","3.70","3.77","3.70","2.81K","-0.80%"
"09/01/2023","3.77","3.76","3.77","3.76","0.05K","0.80%"
"08/31/2023","3.74","3.77","3.77","3.70","4.77K","0.00%"
"08/30/2023","3.74","3.78","3.78","3.71","2.06K","0.27%"
"08/29/2023","3.73","3.74","3.78","3.70","11.16K","0.00%"
"08/28/2023","3.73","3.73","3.77","3.73","35.38K","0.00%"
"08/25/2023","3.73","3.77","3.78","3.73","5.81K","-1.06%"
"08/24/2023","3.77","3.75","3.78","3.73","0.97K","1.34%"
"08/23/2023","3.72","3.69","3.78","3.69","26.98K","0.54%"
"08/22/2023","3.70","3.70","3.70","3.69","0.63K","-0.27%"
"08/21/2023","3.71","3.66","3.71","3.65","1.08K","0.00%"
"08/18/2023","3.71","3.60","3.72","3.50","104.50K","0.00%"
"08/17/2023","3.71","3.62","3.73","3.56","18.93K","2.20%"
"08/16/2023","3.63","3.75","3.75","3.56","25.54K","-3.20%"
"08/15/2023","3.75","3.78","3.78","3.70","3.81K","-0.79%"
"08/14/2023","3.78","3.77","3.78","3.77","2.20K","0.27%"
"08/11/2023","3.77","3.78","3.78","3.70","0.76K","0.53%"
"08/10/2023","3.75","3.75","3.75","3.66","0.36K","0.00%"
"08/09/2023","3.75","3.76","3.76","3.70","0.72K","1.35%"
"08/08/2023","3.70","3.76","3.76","3.70","1.63K","-1.60%"
"08/07/2023","3.76","3.65","3.76","3.65","1.07K","1.62%"
"08/04/2023","3.70","3.78","3.78","3.70","5.83K","-1.86%"
"08/03/2023","3.77","3.77","3.77","3.71","5.04K","0.00%"
"08/02/2023","3.77","3.78","3.80","3.77","0.55K","0.53%"
"08/01/2023","3.75","3.80","3.80","3.71","2.45K","-1.32%"
"07/31/2023","3.80","3.89","3.89","3.72","3.56K","-7.32%"
"07/28/2023","4.10","4.15","4.15","4.10","10.43K","-1.20%"
"07/27/2023","4.15","4.15","4.15","4.12","1.18K","0.00%"
"07/26/2023","4.15","4.16","4.16","4.10","5.25K","-0.24%"
"07/24/2023","4.16","4.18","4.18","4.16","0.20K","-0.48%"
"07/21/2023","4.18","4.19","4.19","4.16","0.81K","0.00%"
"07/20/2023","4.18","4.19","4.19","4.14","2.35K","-0.24%"
"07/18/2023","4.19","4.18","4.19","4.18","3.71K","0.24%"
"07/14/2023","4.18","4.17","4.18","4.15","4.11K","0.00%"
"07/13/2023","4.18","4.16","4.18","4.15","3.01K","0.00%"
"07/12/2023","4.18","4.18","4.18","4.16","0.64K","0.00%"
"07/11/2023","4.18","4.18","4.19","4.15","2.11K","0.00%"
"07/10/2023","4.18","4.19","4.19","4.16","1.71K","0.00%"
"07/07/2023","4.18","4.19","4.20","4.16","24.01K","-0.24%"
"07/06/2023","4.19","4.19","4.19","4.16","1.17K","0.00%"
"07/05/2023","4.19","4.20","4.20","4.15","5.10K","0.00%"
"07/04/2023","4.19","4.20","4.20","4.15","1.42K","0.00%"
"07/03/2023","4.19","4.20","4.20","4.14","1.33K","1.21%"
"06/30/2023","4.14","4.17","4.18","4.14","4.04K","-0.24%"
"06/27/2023","4.15","4.20","4.20","4.14","19.56K","0.00%"
"06/26/2023","4.15","4.19","4.19","4.14","19.95K","0.00%"
"06/23/2023","4.15","4.13","4.19","4.13","17.00K","0.00%"
"06/22/2023","4.15","4.20","4.20","4.12","13.71K","-0.48%"
"06/21/2023","4.17","4.18","4.18","4.14","4.10K","0.48%"
"06/20/2023","4.15","4.19","4.19","4.10","7.96K","-0.48%"
"06/19/2023","4.17","4.18","4.18","4.15","2.06K","-0.24%"
"06/16/2023","4.18","4.19","4.19","4.13","1.86K","0.48%"
"06/15/2023","4.16","4.19","4.19","4.11","10.71K","-0.72%"
"06/14/2023","4.19","4.20","4.20","4.15","2.47K","0.48%"
"06/13/2023","4.17","4.20","4.20","4.07","12.39K","0.00%"
"06/12/2023","4.17","4.18","4.18","4.08","13.03K","0.00%"
"06/09/2023","4.17","4.18","4.18","4.12","5.48K","0.72%"
"06/08/2023","4.14","4.19","4.19","4.11","2.67K","-0.96%"
"06/07/2023","4.18","4.19","4.19","4.10","2.82K","-0.24%"
"06/06/2023","4.19","4.20","4.20","4.16","6.24K","-0.24%"
"06/05/2023","4.20","4.20","4.25","4.18","2.31K","0.00%"
"06/02/2023","4.20","4.24","4.24","4.16","12.99K","0.48%"
"06/01/2023","4.18","4.26","4.26","4.17","4.62K","-0.48%"
"05/31/2023","4.20","4.26","4.26","4.17","9.59K","0.00%"
"05/30/2023","4.20","4.28","4.28","4.17","7.75K","-0.94%"
"05/29/2023","4.24","4.29","4.32","4.17","6.43K","-0.47%"
"05/26/2023","4.26","4.30","4.30","4.18","15.97K","1.67%"
"05/25/2023","4.19","4.19","4.25","4.16","21.47K","0.48%"
"05/24/2023","4.17","4.20","4.20","4.15","3.94K","0.00%"
"05/23/2023","4.17","4.20","4.20","4.16","11.54K","0.48%"
"05/22/2023","4.15","3.97","4.20","3.97","23.97K","4.53%"
"05/19/2023","3.97","3.85","3.97","3.85","55.16K","3.12%"
"05/18/2023","3.85","3.83","3.85","3.80","8.56K","0.52%"
"05/17/2023","3.83","3.85","3.85","3.82","48.38K","-0.52%"
"05/16/2023","3.85","3.85","3.85","3.81","11.53K","-1.28%"
"05/15/2023","3.90","3.86","3.90","3.82","7.92K","1.30%"
"05/12/2023","3.85","3.89","3.89","3.82","2.83K","-0.52%"
"05/11/2023","3.87","3.81","3.89","3.81","16.60K","-0.51%"
"05/10/2023","3.89","3.85","3.90","3.85","0.90K","-0.26%"
"05/09/2023","3.90","3.92","3.92","3.80","7.61K","0.00%"
"05/08/2023","3.90","3.92","3.92","3.88","2.93K","0.26%"
"05/05/2023","3.89","3.96","3.96","3.88","3.58K","-0.51%"
"05/04/2023","3.91","3.93","3.98","3.90","36.10K","-0.51%"
"05/03/2023","3.93","3.85","3.93","3.85","57.09K","1.55%"
"05/02/2023","3.87","3.75","3.88","3.72","53.64K","1.84%"
"04/28/2023","3.80","3.72","3.80","3.70","11.90K","0.26%"
