"Date","Price","Open","High","Low","Vol.","Change %"
"09/20/2023","12.61","13.20","13.38","12.61","142.10K","-3.00%"
"09/19/2023","13.00","13.24","13.39","13.00","99.84K","-0.76%"
"09/18/2023","13.10","13.48","13.48","13.10","42.70K","-1.06%"
"09/15/2023","13.24","13.65","14.00","13.24","56.52K","-3.00%"
"09/14/2023","13.65","14.09","14.09","13.65","51.07K","-1.09%"
"09/13/2023","13.80","14.15","14.19","13.72","18.10K","0.00%"
"09/12/2023","13.80","14.20","14.20","13.80","17.12K","-3.36%"
"09/11/2023","14.28","14.39","14.39","13.80","8.42K","-0.83%"
"09/08/2023","14.40","14.30","14.53","14.00","6.76K","-1.17%"
"09/07/2023","14.57","14.58","14.60","14.50","48.90K","-0.14%"
"09/06/2023","14.59","14.49","14.59","14.48","43.18K","1.04%"
"09/05/2023","14.44","13.80","14.44","13.72","85.38K","4.64%"
"09/04/2023","13.80","13.69","13.80","13.69","22.27K","0.80%"
"09/01/2023","13.69","13.68","13.70","13.61","7.87K","-0.80%"
"08/31/2023","13.80","13.80","13.80","13.75","5.49K","0.36%"
"08/30/2023","13.75","13.80","13.80","13.70","17.45K","0.00%"
"08/29/2023","13.75","13.75","14.00","13.75","8.64K","-0.36%"
"08/28/2023","13.80","14.00","14.00","13.80","12.87K","-1.43%"
"08/25/2023","14.00","14.00","14.00","13.80","7.35K","0.00%"
"08/24/2023","14.00","14.00","14.00","13.80","8.66K","0.00%"
"08/23/2023","14.00","13.95","14.00","13.80","15.26K","-0.71%"
"08/22/2023","14.10","14.30","14.30","14.00","4.03K","0.00%"
"08/21/2023","14.10","14.30","14.30","13.99","13.98K","-2.08%"
"08/18/2023","14.40","14.29","14.40","14.10","6.56K","-0.35%"
"08/17/2023","14.45","14.45","14.45","14.30","1.42K","1.76%"
"08/16/2023","14.20","14.50","14.50","14.20","33.99K","-1.39%"
"08/15/2023","14.40","14.50","14.60","14.30","20.71K","-0.69%"
"08/14/2023","14.50","14.45","14.50","14.44","1.98K","0.00%"
"08/11/2023","14.50","14.12","14.50","14.10","9.60K","0.00%"
"08/10/2023","14.50","14.30","14.50","14.12","5.13K","0.90%"
"08/09/2023","14.37","14.12","14.37","14.12","31.47K","-0.07%"
"08/08/2023","14.38","14.19","14.38","14.19","4.20K","1.84%"
"08/07/2023","14.12","14.01","14.12","14.01","2.19K","0.28%"
"08/04/2023","14.08","14.09","14.18","14.00","6.22K","-0.07%"
"08/03/2023","14.09","14.10","14.10","14.00","4.69K","-0.07%"
"08/02/2023","14.10","14.11","14.11","14.00","7.45K","-0.21%"
"08/01/2023","14.13","14.02","14.19","14.00","34.69K","-0.49%"
"07/31/2023","14.20","14.40","14.40","14.15","10.92K","-1.39%"
"07/28/2023","14.40","14.39","14.40","14.35","35.06K","0.00%"
"07/27/2023","14.40","14.50","14.51","14.21","46.78K","-0.69%"
"07/26/2023","14.50","14.49","14.50","14.49","5.15K","0.00%"
"07/24/2023","14.50","14.40","14.50","14.40","1.64K","0.69%"
"07/21/2023","14.40","14.39","14.40","14.39","0.97K","0.00%"
"07/20/2023","14.40","14.30","14.40","14.20","2.18K","0.70%"
"07/18/2023","14.30","14.35","14.35","14.20","1.01K","0.00%"
"07/17/2023","14.30","14.40","14.40","14.20","10.80K","0.70%"
"07/14/2023","14.20","14.20","14.40","14.20","30.29K","-1.39%"
"07/13/2023","14.40","14.40","14.50","14.40","1.72K","0.00%"
"07/12/2023","14.40","14.80","14.95","14.40","19.53K","-3.29%"
"07/11/2023","14.89","14.85","14.96","14.80","19.88K","0.61%"
"07/10/2023","14.80","14.80","14.95","14.72","5.67K","0.07%"
"07/07/2023","14.79","14.76","14.93","14.76","15.85K","0.20%"
"07/06/2023","14.76","14.72","14.77","14.65","26.13K","0.27%"
"07/05/2023","14.72","14.60","14.72","14.60","3.25K","0.00%"
"07/04/2023","14.72","14.60","14.72","14.53","9.13K","1.17%"
"07/03/2023","14.55","14.50","14.60","14.45","7.09K","0.00%"
"06/30/2023","14.55","14.64","14.64","14.50","4.50K","0.00%"
"06/27/2023","14.55","14.64","14.65","14.55","18.08K","-0.68%"
"06/26/2023","14.65","14.70","14.70","14.64","8.40K","-0.34%"
"06/23/2023","14.70","14.52","14.76","14.52","3.73K","0.68%"
"06/22/2023","14.60","14.51","14.60","14.41","9.66K","0.69%"
"06/21/2023","14.50","14.44","14.59","14.35","58.47K","0.76%"
"06/20/2023","14.39","14.23","14.43","14.20","15.16K","2.06%"
"06/19/2023","14.10","14.18","14.23","14.02","9.94K","-0.70%"
"06/16/2023","14.20","14.15","14.25","14.01","46.65K","0.07%"
"06/15/2023","14.19","14.23","14.23","13.98","3.77K","-0.28%"
"06/14/2023","14.23","14.19","14.23","14.06","5.26K","0.21%"
"06/13/2023","14.20","14.00","14.20","14.00","1.88K","0.00%"
"06/12/2023","14.20","14.00","14.24","13.97","18.81K","1.21%"
"06/09/2023","14.03","14.05","14.05","13.99","17.16K","0.29%"
"06/08/2023","13.99","14.24","14.24","13.97","16.54K","-0.78%"
"06/07/2023","14.10","14.25","14.25","14.10","23.52K","-1.40%"
"06/06/2023","14.30","14.29","14.46","14.28","4.52K","0.14%"
"06/05/2023","14.28","14.48","14.48","14.28","3.74K","0.00%"
"06/02/2023","14.28","14.11","14.45","14.11","18.32K","0.28%"
"06/01/2023","14.24","13.78","14.24","13.78","30.70K","3.34%"
"05/31/2023","13.78","14.29","14.29","13.78","4.37K","-5.10%"
"05/30/2023","14.52","14.50","14.66","14.40","26.36K","0.14%"
"05/29/2023","14.50","14.95","14.97","14.30","416.09K","-3.01%"
"05/26/2023","14.95","14.90","15.00","14.90","39.88K","1.01%"
"05/25/2023","14.80","14.19","14.90","14.19","60.58K","4.96%"
"05/24/2023","14.10","13.97","14.19","13.97","14.81K","0.14%"
"05/23/2023","14.08","13.86","14.14","13.86","25.32K","1.08%"
"05/22/2023","13.93","13.94","13.94","13.78","16.30K","1.09%"
"05/19/2023","13.78","13.79","13.95","13.71","12.80K","0.22%"
"05/18/2023","13.75","13.80","13.80","13.62","21.45K","-0.29%"
"05/17/2023","13.79","13.32","13.79","13.31","7.30K","2.53%"
"05/16/2023","13.45","13.29","13.45","13.26","10.16K","1.20%"
"05/15/2023","13.29","13.16","13.30","13.16","2.90K","0.30%"
"05/12/2023","13.25","13.30","13.35","13.20","13.95K","-0.38%"
"05/11/2023","13.30","12.77","13.40","12.77","7.31K","0.00%"
"05/10/2023","13.30","13.40","13.40","13.19","14.07K","-0.75%"
"05/09/2023","13.40","13.50","13.50","13.30","7.43K","-0.59%"
"05/08/2023","13.48","13.22","13.60","13.22","5.49K","-1.25%"
"05/05/2023","13.65","13.65","13.65","13.40","8.04K","-0.36%"
"05/04/2023","13.70","13.70","13.79","13.60","3.29K","-1.15%"
