"Date","Price","Open","High","Low","Vol.","Change %"
"09/20/2023","1.410","1.410","1.410","1.410","0.33K","0.00%"
"09/11/2023","1.410","1.410","1.410","1.410","0.09K","0.00%"
"09/08/2023","1.410","1.410","1.410","1.410","2.28K","4.44%"
"08/23/2023","1.350","1.350","1.350","1.350","0.10K","-4.26%"
"08/14/2023","1.410","1.410","1.410","1.410","0.11K","-0.70%"
"08/11/2023","1.420","1.420","1.420","1.420","0.10K","0.00%"
"08/03/2023","1.420","1.420","1.420","1.420","0.44K","-7.19%"
"07/20/2023","1.530","1.530","1.530","1.530","0.02K","0.00%"
"07/18/2023","1.530","1.530","1.530","1.530","0.03K","0.00%"
"07/13/2023","1.530","1.530","1.530","1.530","0.08K","0.00%"
"07/10/2023","1.530","1.530","1.530","1.530","0.03K","-4.38%"
"06/23/2023","1.600","1.600","1.600","1.600","0.53K","0.00%"
"06/22/2023","1.600","1.600","1.600","1.600","2.41K","-1.23%"
"06/16/2023","1.620","1.620","1.620","1.620","0.85K","1.25%"
"05/31/2023","1.600","1.600","1.600","1.600","1.12K","0.00%"
"05/25/2023","1.600","1.600","1.600","1.600","0.50K","0.00%"
"05/24/2023","1.600","1.600","1.600","1.600","0.50K","0.00%"
"05/23/2023","1.600","1.600","1.600","1.600","2.50K","-1.84%"
"05/22/2023","1.630","1.630","1.630","1.630","0.70K","-4.12%"
"05/16/2023","1.700","1.700","1.700","1.700","0.11K","0.00%"
"05/08/2023","1.700","1.700","1.700","1.700","0.10K","0.00%"
"05/05/2023","1.700","1.700","1.700","1.700","0.05K","3.03%"
"04/25/2023","1.650","1.630","1.650","1.630","0.09K","1.85%"
"04/18/2023","1.620","1.610","1.620","1.610","0.36K","0.62%"
"04/17/2023","1.610","1.610","1.610","1.610","0.31K","0.00%"
"04/14/2023","1.610","1.610","1.610","1.610","0.69K","-3.59%"
"04/04/2023","1.670","1.670","1.670","1.670","0.98K","0.00%"
"03/23/2023","1.670","1.670","1.670","1.670","0.02K","0.00%"
"03/22/2023","1.670","1.670","1.670","1.670","0.61K","0.00%"
"03/16/2023","1.670","1.670","1.670","1.670","0.11K","0.00%"
"03/08/2023","1.670","1.670","1.670","1.670","0.10K","0.00%"
"03/03/2023","1.670","1.670","1.670","1.670","1.18K","0.00%"
"02/23/2023","1.670","1.670","1.670","1.670","3.00K","-4.57%"
"02/02/2023","1.750","1.750","1.750","1.750","0.03K","-5.41%"
"01/26/2023","1.850","1.850","1.850","1.850","0.30K","0.00%"
"01/18/2023","1.850","1.850","1.850","1.850","0.10K","-0.54%"
"01/03/2023","1.860","1.860","1.860","1.860","0.74K","0.00%"
"12/29/2022","1.860","1.860","1.860","1.860","0.68K","0.00%"
