"Date","Price","Open","High","Low","Vol.","Change %"
"08/28/2023","1.890","1.890","1.890","1.890","2.10K","-0.53%"
"06/02/2023","1.900","1.900","1.900","1.900","0.01K","0.00%"
"05/30/2023","1.900","1.900","1.900","1.900","0.31K","0.00%"
"05/24/2023","1.900","1.900","1.900","1.900","0.10K","-4.04%"
"05/10/2023","1.980","1.980","1.980","1.980","10.60K","0.00%"
"05/05/2023","1.980","1.980","1.980","1.980","0.01K","4.21%"
"04/27/2023","1.900","1.900","1.900","1.900","0.02K","0.00%"
"04/19/2023","1.900","1.900","1.900","1.900","0.05K","-4.52%"
"04/11/2023","1.990","1.990","1.990","1.990","120.41K","-7.44%"
"03/09/2023","2.150","2.150","2.150","2.150","1.40M","-1.38%"
"03/07/2023","2.180","2.180","2.180","2.180","0.05K","0.00%"
"03/03/2023","2.180","2.180","2.180","2.180","0.02K","2.83%"
"03/01/2023","2.120","2.120","2.120","2.120","0.15K","4.43%"
"02/22/2023","2.030","2.030","2.030","2.030","0.05K","3.57%"
"02/20/2023","1.960","1.960","1.960","1.960","0.05K","2.62%"
"02/17/2023","1.910","1.910","1.910","1.910","0.02K","2.14%"
"02/16/2023","1.870","1.820","1.870","1.820","1.10K","2.75%"
"02/15/2023","1.820","1.820","1.820","1.820","0.02K","2.82%"
"02/10/2023","1.770","1.770","1.770","1.770","0.97K","4.12%"
"01/31/2023","1.700","1.700","1.700","1.700","0.02K","0.59%"
"01/30/2023","1.690","1.690","1.690","1.690","8.01K","-0.59%"
"01/17/2023","1.700","1.700","1.700","1.700","0.10K","0.00%"
"01/16/2023","1.700","1.700","1.700","1.700","0.27K","4.29%"
"01/12/2023","1.630","1.630","1.630","1.630","21.25K","8.67%"
"01/09/2023","1.500","1.500","1.500","1.500","0.27K","0.00%"
"01/06/2023","1.500","1.500","1.500","1.500","0.06K","-0.66%"
"01/05/2023","1.510","1.500","1.510","1.500","1.10K","-6.21%"
"01/03/2023","1.610","1.610","1.610","1.610","0.07K","-5.85%"
"12/22/2022","1.710","1.710","1.710","1.710","0.01K","8.92%"
"12/14/2022","1.570","1.570","1.570","1.570","0.43K","-4.27%"
"12/08/2022","1.640","1.640","1.640","1.640","0.25K","-4.09%"
"12/07/2022","1.710","1.710","1.710","1.710","0.12K","-2.29%"
"12/06/2022","1.750","1.900","1.900","1.750","0.45K","-4.37%"
"12/05/2022","1.830","1.830","1.830","1.830","0.12K","-8.04%"
"10/06/2022","1.990","1.990","1.990","1.990","0.01K","2.58%"
"10/05/2022","1.940","1.940","1.940","1.940","0.01K","4.30%"
"10/03/2022","1.860","1.860","1.860","1.860","3.77K","-0.53%"
"09/21/2022","1.870","1.870","1.870","1.870","0.01K","4.47%"
