"Date","Price","Open","High","Low","Vol.","Change %"
"09/21/2023","1.370","1.370","1.370","1.370","","-1.44%"
"09/20/2023","1.390","1.450","1.450","1.390","1.30K","-4.14%"
"09/19/2023","1.450","1.490","1.490","1.450","1.20K","-2.68%"
"09/18/2023","1.490","1.510","1.510","1.490","1.00K","-4.49%"
"09/15/2023","1.560","1.560","1.560","1.560","0.10K","-3.11%"
"09/14/2023","1.610","1.610","1.610","1.610","0.10K","0.00%"
"09/12/2023","1.610","1.560","1.610","1.560","0.40K","0.00%"
"09/11/2023","1.610","1.610","1.610","1.610","0.32K","-4.17%"
"09/08/2023","1.680","1.680","1.680","1.680","0.16K","-3.45%"
"09/01/2023","1.740","1.740","1.740","1.740","0.36K","0.58%"
"08/23/2023","1.730","1.730","1.730","1.730","0.01K","0.00%"
"08/22/2023","1.730","1.730","1.730","1.730","0.01K","-0.57%"
"08/15/2023","1.740","1.740","1.740","1.740","0.50K","4.19%"
"08/14/2023","1.670","1.730","1.730","1.670","0.32K","-0.60%"
"08/10/2023","1.680","1.670","1.680","1.670","0.51K","-7.69%"
"08/07/2023","1.820","1.820","1.820","1.820","0.02K","1.68%"
"08/04/2023","1.790","1.790","1.790","1.790","0.02K","2.87%"
"08/02/2023","1.740","1.740","1.740","1.740","0.21K","3.57%"
"08/01/2023","1.680","1.680","1.680","1.680","0.30K","3.07%"
"07/31/2023","1.630","1.630","1.630","1.630","0.82K","0.00%"
"07/28/2023","1.630","1.630","1.630","1.630","0.12K","1.87%"
"07/27/2023","1.600","1.630","1.630","1.600","5.75K","-3.61%"
"07/26/2023","1.660","1.540","1.660","1.540","0.40K","3.11%"
"07/24/2023","1.610","1.610","1.610","1.610","0.70K","-4.17%"
"07/21/2023","1.680","1.770","1.770","1.680","1.11K","-1.18%"
"07/20/2023","1.700","1.730","1.730","1.700","1.00K","-3.95%"
"07/18/2023","1.770","1.770","1.770","1.770","0.15K","-3.28%"
"07/17/2023","1.830","1.830","1.830","1.830","0.01K","2.81%"
"07/14/2023","1.780","1.780","1.780","1.780","0.41K","-6.32%"
"07/10/2023","1.900","1.900","1.900","1.900","1.81K","0.00%"
"07/04/2023","1.900","1.900","1.900","1.900","3.00K","-1.55%"
"06/23/2023","1.930","1.930","1.930","1.930","0.09K","3.76%"
"06/22/2023","1.860","1.860","1.860","1.860","0.52K","-4.12%"
"06/21/2023","1.940","1.960","1.960","1.940","0.11K","1.57%"
"06/20/2023","1.910","1.960","1.960","1.910","0.40K","-4.50%"
"06/16/2023","2.000","2.000","2.000","2.000","1.10K","0.50%"
"06/15/2023","1.990","1.990","1.990","1.990","0.88K","2.05%"
"06/14/2023","1.950","1.940","1.950","1.940","0.45K","0.52%"
"06/13/2023","1.940","1.940","1.940","1.940","14.54K","4.30%"
"06/12/2023","1.860","1.850","1.860","1.850","0.85K","4.49%"
"06/09/2023","1.780","1.730","1.780","1.730","8.12K","3.49%"
"06/08/2023","1.720","1.710","1.720","1.710","1.79K","2.99%"
"06/07/2023","1.670","1.670","1.670","1.670","0.36K","4.37%"
"06/06/2023","1.600","1.560","1.600","1.560","1.52K","3.90%"
"06/05/2023","1.540","1.430","1.540","1.430","1.86K","4.05%"
"06/02/2023","1.480","1.480","1.480","1.480","0.35K","-3.90%"
"06/01/2023","1.540","1.550","1.550","1.540","1.80K","-1.28%"
"05/31/2023","1.560","1.560","1.560","1.560","0.50K","4.00%"
"05/30/2023","1.500","1.500","1.500","1.500","3.16K","0.00%"
"05/29/2023","1.500","1.510","1.510","1.500","1.40K","-0.66%"
"05/26/2023","1.510","1.500","1.510","1.500","0.98K","2.03%"
"05/25/2023","1.480","1.430","1.480","1.430","2.09K","4.23%"
"05/24/2023","1.420","1.380","1.420","1.380","1.05K","2.90%"
"05/23/2023","1.380","1.380","1.380","1.380","0.31K","3.76%"
"05/22/2023","1.330","1.330","1.330","1.330","1.23K","3.10%"
"05/19/2023","1.290","1.290","1.290","1.290","0.75K","4.03%"
"05/18/2023","1.240","1.240","1.240","1.240","1.25K","-3.88%"
"05/17/2023","1.290","1.290","1.290","1.290","2.78K","-4.44%"
"05/16/2023","1.350","1.350","1.350","1.350","3.10K","-0.74%"
"05/15/2023","1.360","1.360","1.360","1.360","1.45K","-4.23%"
"05/12/2023","1.420","1.390","1.420","1.390","2.30K","2.16%"
"05/11/2023","1.390","1.350","1.390","1.350","1.12K","0.00%"
"05/10/2023","1.390","1.390","1.390","1.390","0.43K","0.00%"
"05/09/2023","1.390","1.390","1.390","1.390","0.30K","-0.71%"
"05/08/2023","1.400","1.400","1.400","1.400","1.14K","-2.10%"
"05/05/2023","1.430","1.430","1.430","1.430","0.05K","0.00%"
"05/04/2023","1.430","1.430","1.430","1.430","0.20K","0.70%"
"05/03/2023","1.420","1.420","1.420","1.420","4.52K","0.00%"
"05/02/2023","1.420","1.420","1.420","1.420","0.30K","-3.40%"
"04/28/2023","1.470","1.440","1.470","1.440","1.02K","2.80%"
"04/27/2023","1.430","1.430","1.430","1.430","0.32K","0.00%"
"04/26/2023","1.430","1.430","1.430","1.430","0.01K","2.88%"
"04/25/2023","1.390","1.350","1.390","1.350","0.73K","-1.42%"
"04/24/2023","1.410","1.410","1.410","1.410","0.03K","4.44%"
"04/20/2023","1.350","1.400","1.400","1.350","4.21K","-4.26%"
"04/19/2023","1.410","1.410","1.410","1.410","2.37K","-4.08%"
"04/17/2023","1.470","1.470","1.470","1.470","0.01K","0.00%"
"04/14/2023","1.470","1.430","1.470","1.430","3.13K","0.00%"
"04/13/2023","1.470","1.470","1.470","1.470","0.83K","-3.92%"
"04/11/2023","1.530","1.530","1.530","1.530","0.01K","2.68%"
"04/10/2023","1.490","1.530","1.530","1.490","0.74K","0.00%"
"04/07/2023","1.490","1.610","1.610","1.490","8.01K","-3.87%"
"04/06/2023","1.550","1.620","1.620","1.550","6.42K","-4.32%"
"04/05/2023","1.620","1.620","1.620","1.620","0.01K","3.18%"
"04/04/2023","1.570","1.550","1.570","1.550","4.58K","1.29%"
"04/03/2023","1.550","1.570","1.570","1.550","1.43K","-4.32%"
"03/31/2023","1.620","1.640","1.640","1.620","1.03K","-2.99%"
"03/30/2023","1.670","1.670","1.670","1.670","0.00K","-4.02%"
"03/22/2023","1.740","1.740","1.740","1.740","0.02K","4.19%"
"03/21/2023","1.670","1.670","1.670","1.670","0.60K","1.83%"
"03/17/2023","1.640","1.620","1.640","1.620","0.65K","4.46%"
"03/16/2023","1.570","1.520","1.570","1.520","2.87K","2.61%"
"03/15/2023","1.530","1.530","1.530","1.530","16.47K","-2.55%"
"03/14/2023","1.570","1.600","1.600","1.570","1.14K","-3.09%"
"03/13/2023","1.620","1.670","1.670","1.620","1.59K","-4.14%"
"03/10/2023","1.690","1.690","1.690","1.690","0.13K","-0.59%"
"03/09/2023","1.700","1.700","1.700","1.700","0.46K","0.00%"
"03/08/2023","1.700","1.700","1.700","1.700","1.02K","-1.16%"
"03/07/2023","1.720","1.720","1.720","1.720","0.97K","-2.82%"
"03/06/2023","1.770","1.770","1.770","1.770","0.30K","-1.67%"
"03/03/2023","1.800","1.800","1.800","1.800","0.00K","0.00%"
"03/02/2023","1.800","1.780","1.800","1.780","0.79K","-0.55%"
"03/01/2023","1.810","1.810","1.810","1.810","0.03K","0.56%"
"02/28/2023","1.800","1.840","1.840","1.800","0.94K","-2.17%"
"02/27/2023","1.840","1.840","1.840","1.840","0.00K","1.10%"
"02/24/2023","1.820","1.820","1.820","1.820","0.31K","-5.70%"
"02/16/2023","1.930","1.930","1.930","1.930","0.00K","0.52%"
"02/15/2023","1.920","1.920","1.920","1.920","0.10K","0.00%"
"02/14/2023","1.920","1.850","1.920","1.850","0.52K","-0.52%"
"02/13/2023","1.930","1.930","1.930","1.930","0.00K","4.32%"
"02/10/2023","1.850","1.850","1.850","1.850","0.17K","-4.15%"
"02/09/2023","1.930","1.930","1.930","1.930","0.08K","0.52%"
"02/08/2023","1.920","1.920","1.920","1.920","0.20K","-0.52%"
"02/06/2023","1.930","1.930","1.930","1.930","0.02K","0.52%"
"01/31/2023","1.920","1.920","1.920","1.920","0.00K","1.05%"
"01/30/2023","1.900","1.880","1.900","1.880","0.20K","1.06%"
"01/27/2023","1.880","1.880","1.880","1.880","0.04K","4.44%"
"01/26/2023","1.800","1.800","1.800","1.800","0.01K","3.45%"
"01/25/2023","1.740","1.740","1.740","1.740","1.29K","-3.33%"
"01/24/2023","1.800","1.800","1.800","1.800","0.00K","3.45%"
"01/23/2023","1.740","1.810","1.810","1.740","1.01K","0.00%"
"01/20/2023","1.740","1.740","1.740","1.740","0.29K","-4.40%"
"01/19/2023","1.820","1.750","1.820","1.750","1.34K","4.00%"
"01/18/2023","1.750","1.850","1.850","1.750","2.15K","-4.37%"
"01/17/2023","1.830","1.900","1.900","1.830","3.30K","-3.68%"
"01/16/2023","1.900","1.900","1.900","1.900","0.33K","-3.55%"
"01/13/2023","1.970","1.900","1.970","1.900","0.15K","-1.01%"
"01/11/2023","1.990","1.990","1.990","1.990","0.00K","4.19%"
"01/10/2023","1.910","1.910","1.910","1.910","3.31K","-11.57%"
"01/09/2023","2.160","2.160","2.160","2.160","0.01K","4.35%"
"01/06/2023","2.070","2.070","2.070","2.070","0.40K","4.02%"
"01/05/2023","1.990","1.900","1.990","1.900","2.00K","4.19%"
"01/04/2023","1.910","2.090","2.090","1.910","9.23K","-4.50%"
"01/03/2023","2.000","2.000","2.000","2.000","0.16K","-4.31%"
"01/02/2023","2.090","2.000","2.090","2.000","0.09K","-8.33%"
"12/16/2022","2.280","2.280","2.280","2.280","0.04K","0.00%"
"12/09/2022","2.280","2.280","2.280","2.280","0.76K","0.88%"
"12/08/2022","2.260","2.280","2.280","2.260","0.74K","3.20%"
"12/07/2022","2.190","2.190","2.190","2.190","27.18K","0.00%"
"12/05/2022","2.190","2.190","2.190","2.190","0.00K","0.46%"
"12/02/2022","2.180","2.180","2.180","2.180","0.18K","-0.46%"
"12/01/2022","2.190","2.190","2.190","2.190","0.20K","0.00%"
"11/29/2022","2.190","2.190","2.190","2.190","1.21K","0.00%"
"11/28/2022","2.190","2.190","2.190","2.190","0.65K","0.00%"
"11/25/2022","2.190","2.190","2.190","2.190","1.04K","-4.37%"
"11/24/2022","2.290","2.290","2.290","2.290","0.01K","0.00%"
"11/23/2022","2.290","2.290","2.290","2.290","0.01K","-12.26%"
"11/16/2022","2.610","2.610","2.610","2.610","0.01K","4.40%"
"11/15/2022","2.500","2.610","2.610","2.500","19.66K","0.00%"
"11/14/2022","2.500","2.500","2.500","2.500","1.56K","-4.21%"
"11/10/2022","2.610","2.610","2.610","2.610","0.23K","0.00%"
"11/08/2022","2.610","2.610","2.610","2.610","0.01K","4.40%"
"11/07/2022","2.500","2.500","2.500","2.500","0.49K","-4.21%"
"11/04/2022","2.610","2.610","2.610","2.610","0.20K","0.38%"
"11/03/2022","2.600","2.600","2.600","2.600","0.00K","0.39%"
"11/02/2022","2.590","2.720","2.720","2.590","0.30K","-5.13%"
"10/28/2022","2.730","2.730","2.730","2.730","0.01K","0.00%"
"10/27/2022","2.730","2.730","2.730","2.730","0.02K","0.00%"
"10/26/2022","2.730","2.730","2.730","2.730","0.01K","0.00%"
"10/25/2022","2.730","2.730","2.730","2.730","0.00K","-0.36%"
"10/24/2022","2.740","2.740","2.740","2.740","0.80K","0.00%"
"10/21/2022","2.740","2.760","2.760","2.740","0.94K","1.48%"
"10/20/2022","2.700","2.750","2.750","2.700","0.00K","-2.17%"
"10/18/2022","2.760","2.760","2.760","2.760","0.01K","0.00%"
"10/17/2022","2.760","2.760","2.760","2.760","0.06K","4.15%"
"10/14/2022","2.650","2.650","2.650","2.650","0.29K","-7.02%"
"10/13/2022","2.850","2.850","2.850","2.850","0.03K","0.71%"
"10/12/2022","2.830","2.830","2.830","2.830","0.03K","0.00%"
"10/11/2022","2.830","2.830","2.830","2.830","0.00K","-0.35%"
"10/10/2022","2.840","2.840","2.840","2.840","0.01K","-0.35%"
"10/07/2022","2.850","2.850","2.850","2.850","0.12K","4.40%"
"10/06/2022","2.730","2.730","2.730","2.730","0.01K","2.25%"
"10/05/2022","2.670","2.670","2.670","2.670","0.10K","4.30%"
"10/04/2022","2.560","2.560","2.560","2.560","0.20K","0.00%"
"10/03/2022","2.560","2.560","2.560","2.560","0.01K","-2.66%"
"09/30/2022","2.630","2.490","2.630","2.490","0.09K","-1.87%"
"09/28/2022","2.680","2.680","2.680","2.680","0.00K","0.37%"
"09/27/2022","2.670","2.670","2.670","2.670","0.21K","2.69%"
"09/26/2022","2.600","2.600","2.600","2.600","0.06K","-7.14%"
"09/21/2022","2.800","2.800","2.800","2.800","0.18K","0.00%"
"09/16/2022","2.800","2.800","2.800","2.800","0.09K","1.82%"
"09/15/2022","2.750","2.750","2.750","2.750","3.00K","-1.79%"
"09/14/2022","2.800","2.800","2.800","2.800","0.20K","0.00%"
"09/13/2022","2.800","2.800","2.800","2.800","0.18K","-6.67%"
"09/02/2022","3.000","3.000","3.000","3.000","0.14K","-0.99%"
"09/01/2022","3.030","2.900","3.030","2.900","1.05K","4.48%"
"08/31/2022","2.900","2.900","2.900","2.900","0.15K","3.57%"
"08/30/2022","2.800","2.860","2.860","2.800","3.25K","2.19%"
"08/29/2022","2.740","2.740","2.740","2.740","0.74K","3.79%"
"08/26/2022","2.640","2.650","2.650","2.640","2.12K","3.94%"
"08/25/2022","2.540","2.560","2.560","2.540","0.73K","1.60%"
"08/24/2022","2.500","2.560","2.560","2.500","9.86K","0.00%"
"08/23/2022","2.500","2.490","2.500","2.490","0.74K","4.17%"
"08/22/2022","2.400","2.400","2.400","2.400","2.27K","0.00%"
"08/19/2022","2.400","2.400","2.400","2.400","0.00K","0.00%"
"08/18/2022","2.400","2.400","2.400","2.400","0.67K","0.84%"
"08/17/2022","2.380","2.300","2.380","2.300","2.07K","3.48%"
"08/16/2022","2.300","2.300","2.300","2.300","0.01K","0.00%"
"08/15/2022","2.300","2.300","2.300","2.300","0.41K","0.00%"
"08/12/2022","2.300","2.300","2.300","2.300","0.01K","0.00%"
"08/11/2022","2.300","2.300","2.300","2.300","0.11K","0.00%"
"08/10/2022","2.300","2.300","2.300","2.300","0.00K","0.00%"
"08/09/2022","2.300","2.300","2.300","2.300","0.01K","0.00%"
"08/08/2022","2.300","2.300","2.300","2.300","0.01K","0.00%"
"08/05/2022","2.300","2.300","2.300","2.300","0.01K","0.00%"
"08/04/2022","2.300","2.300","2.300","2.300","0.01K","0.00%"
"08/03/2022","2.300","2.300","2.300","2.300","0.01K","0.00%"
"08/02/2022","2.300","2.300","2.300","2.300","0.01K","0.00%"
"08/01/2022","2.300","2.300","2.300","2.300","0.01K","0.00%"
"07/29/2022","2.300","2.300","2.300","2.300","0.01K","0.00%"
"07/28/2022","2.300","2.300","2.300","2.300","0.01K","0.00%"
"07/27/2022","2.300","2.300","2.300","2.300","0.01K","0.00%"
"07/26/2022","2.300","2.300","2.300","2.300","0.00K","0.00%"
"07/22/2022","2.300","2.300","2.300","2.300","0.11K","0.00%"
"07/21/2022","2.300","2.300","2.300","2.300","0.01K","0.44%"
"07/20/2022","2.290","2.210","2.290","2.210","0.51K","-0.87%"
"07/19/2022","2.310","2.310","2.310","2.310","0.05K","0.00%"
"07/18/2022","2.310","2.310","2.310","2.310","0.02K","4.05%"
"07/15/2022","2.220","2.220","2.220","2.220","19.57K","0.00%"
"07/14/2022","2.220","2.220","2.220","2.220","0.01K","4.23%"
"07/13/2022","2.130","2.220","2.220","2.130","0.58K","-4.05%"
"07/12/2022","2.220","2.220","2.220","2.220","0.00K","0.00%"
"07/11/2022","2.220","2.220","2.220","2.220","0.01K","0.00%"
"07/08/2022","2.220","2.220","2.220","2.220","0.01K","0.00%"
"07/07/2022","2.220","2.220","2.220","2.220","0.01K","0.00%"
"07/06/2022","2.220","2.220","2.220","2.220","0.21K","0.00%"
"07/05/2022","2.220","2.220","2.220","2.220","0.00K","0.00%"
"07/04/2022","2.220","2.220","2.220","2.220","0.20K","3.26%"
"07/01/2022","2.150","2.220","2.220","2.150","0.27K","0.00%"
"06/30/2022","2.150","2.150","2.150","2.150","0.01K","0.00%"
"06/29/2022","2.150","2.150","2.150","2.150","0.09K","4.37%"
"06/28/2022","2.060","2.060","2.060","2.060","0.60K","3.52%"
"06/27/2022","1.990","2.160","2.160","1.990","2.45K","-3.86%"
"06/24/2022","2.070","2.070","2.070","2.070","4.02K","-1.90%"
"06/23/2022","2.110","2.110","2.110","2.110","1.22K","-4.09%"
"06/22/2022","2.200","2.200","2.200","2.200","0.00K","0.00%"
"06/21/2022","2.200","2.260","2.260","2.200","0.50K","5.77%"
"06/17/2022","2.080","2.110","2.110","2.080","1.46K","-4.15%"
"06/16/2022","2.170","2.170","2.170","2.170","1.70K","-4.41%"
"06/15/2022","2.270","2.270","2.270","2.270","0.03K","0.00%"
"06/14/2022","2.270","2.270","2.270","2.270","0.11K","0.00%"
"06/13/2022","2.270","2.270","2.270","2.270","0.00K","0.00%"
"06/10/2022","2.270","2.270","2.270","2.270","0.00K","0.00%"
