"Date","Price","Open","High","Low","Vol.","Change %"
"09/19/2023","2.030","2.040","2.050","2.030","31.38K","-0.98%"
"09/18/2023","2.050","2.070","2.070","2.020","241.67K","-0.97%"
"09/15/2023","2.070","2.020","2.090","2.020","264.32K","2.48%"
"09/14/2023","2.020","1.980","2.030","1.980","48.93K","2.02%"
"09/13/2023","1.980","1.980","1.980","1.960","7.93K","0.00%"
"09/12/2023","1.980","1.940","1.980","1.940","24.62K","1.54%"
"09/11/2023","1.950","1.950","1.950","1.950","67.99K","-0.51%"
"09/08/2023","1.960","1.970","2.000","1.960","68.55K","-0.51%"
"09/07/2023","1.970","1.950","1.980","1.940","137.34K","0.51%"
"09/06/2023","1.960","1.990","1.990","1.960","21.41K","-2.00%"
"09/05/2023","2.000","2.000","2.000","2.000","0.40K","0.00%"
"09/04/2023","2.000","2.050","2.050","1.930","4.06K","-2.44%"
"09/01/2023","2.050","2.120","2.120","2.050","11.77K","0.49%"
"08/31/2023","2.040","1.950","2.040","1.950","59.20K","4.62%"
"08/30/2023","1.950","1.950","1.950","1.950","61.34K","0.00%"
"08/29/2023","1.950","1.970","1.980","1.940","48.48K","-2.01%"
"08/28/2023","1.990","2.000","2.000","1.960","25.37K","2.58%"
"08/25/2023","1.940","1.880","1.940","1.880","5.74K","3.19%"
"08/24/2023","1.880","1.890","1.900","1.880","6.64K","-1.05%"
"08/23/2023","1.900","1.800","1.900","1.800","2.50K","5.56%"
"08/22/2023","1.800","1.810","1.810","1.800","5.30K","-1.64%"
"08/21/2023","1.830","1.830","1.830","1.800","3.21K","-0.54%"
"08/18/2023","1.840","1.840","1.850","1.840","1.85K","-2.65%"
"08/17/2023","1.890","1.890","1.890","1.890","0.00K","5.00%"
"08/16/2023","1.800","1.880","1.880","1.800","2.52K","-4.26%"
"08/15/2023","1.880","1.800","1.880","1.800","9.40K","5.62%"
"08/14/2023","1.780","1.780","1.780","1.780","12.55K","1.71%"
"08/11/2023","1.750","1.750","1.780","1.750","17.16K","0.00%"
"08/10/2023","1.750","1.750","1.750","1.750","1.16K","0.00%"
"08/09/2023","1.750","1.780","1.800","1.750","9.44K","0.00%"
"08/08/2023","1.750","1.750","1.750","1.750","6.03K","0.57%"
"08/07/2023","1.740","1.740","1.780","1.730","7.85K","1.16%"
"08/04/2023","1.720","1.720","1.720","1.720","6.40K","0.00%"
"08/03/2023","1.720","1.720","1.720","1.720","1.00K","0.58%"
"07/31/2023","1.710","1.710","1.710","1.710","4.00K","1.79%"
"07/28/2023","1.680","1.700","1.700","1.680","1.30K","-1.75%"
"07/27/2023","1.710","1.700","1.720","1.700","12.38K","0.59%"
"07/26/2023","1.700","1.700","1.700","1.700","0.10K","0.00%"
"07/24/2023","1.700","1.700","1.700","1.690","2.85K","0.00%"
"07/21/2023","1.700","1.620","1.700","1.620","3.61K","4.94%"
"07/20/2023","1.620","1.680","1.690","1.620","10.15K","-2.99%"
"07/18/2023","1.670","1.670","1.670","1.670","5.00K","3.09%"
"07/14/2023","1.620","1.620","1.620","1.620","9.00K","0.00%"
