"Date","Price","Open","High","Low","Vol.","Change %"
"09/21/2023","3.97","3.97","3.97","3.97","","-0.25%"
"09/20/2023","3.98","3.94","3.98","3.94","0.40K","0.00%"
"09/19/2023","3.98","4.00","4.00","3.96","0.96K","-0.50%"
"09/18/2023","4.00","4.00","4.00","4.00","6.75K","0.00%"
"09/15/2023","4.00","4.02","4.02","3.96","2.42K","-0.50%"
"09/14/2023","4.02","4.02","4.02","4.00","2.38K","0.00%"
"09/13/2023","4.02","4.02","4.02","3.99","0.89K","0.00%"
"09/12/2023","4.02","4.06","4.06","4.00","2.36K","0.00%"
"09/11/2023","4.02","4.00","4.07","4.00","0.94K","-1.23%"
"09/08/2023","4.07","4.08","4.08","3.98","0.15K","0.00%"
"09/07/2023","4.07","4.10","4.10","3.91","3.30K","4.09%"
"09/06/2023","3.91","4.02","4.15","3.91","4.84K","-4.63%"
"09/05/2023","4.10","4.20","4.20","4.01","13.04K","-3.30%"
"09/04/2023","4.24","4.20","4.28","4.15","2.99K","0.71%"
"09/01/2023","4.21","4.22","4.28","4.20","6.72K","0.24%"
"08/31/2023","4.20","4.07","4.21","4.07","11.27K","3.19%"
"08/30/2023","4.07","4.04","4.09","4.04","1.98K","0.74%"
"08/29/2023","4.04","4.04","4.04","3.97","3.69K","0.00%"
"08/28/2023","4.04","4.04","4.05","4.00","0.20K","1.00%"
"08/25/2023","4.00","4.00","4.00","4.00","0.05K","-0.50%"
"08/24/2023","4.02","4.04","4.04","3.91","1.99K","-0.50%"
"08/23/2023","4.04","3.98","4.04","3.98","5.34K","1.00%"
"08/22/2023","4.00","4.00","4.00","3.90","7.00K","0.00%"
"08/21/2023","4.00","3.96","4.00","3.95","20.96K","0.50%"
"08/18/2023","3.98","3.96","3.98","3.96","0.03K","2.05%"
"08/17/2023","3.90","3.92","3.96","3.90","1.81K","-0.51%"
"08/16/2023","3.92","3.90","3.95","3.90","0.27K","-0.76%"
"08/15/2023","3.95","3.95","3.95","3.91","4.93K","0.00%"
"08/14/2023","3.95","3.90","3.95","3.90","2.11K","0.00%"
"08/11/2023","3.95","3.90","3.97","3.90","2.42K","1.28%"
"08/10/2023","3.90","3.90","3.93","3.86","0.56K","-0.76%"
"08/09/2023","3.93","3.87","3.93","3.80","5.57K","2.61%"
"08/08/2023","3.83","3.76","3.83","3.73","3.03K","1.86%"
"08/07/2023","3.76","3.75","3.89","3.75","0.03K","-0.53%"
"08/04/2023","3.78","3.80","3.84","3.76","2.42K","-1.82%"
"08/03/2023","3.85","3.89","3.89","3.80","1.28K","0.00%"
"08/02/2023","3.85","3.94","3.95","3.80","11.78K","-1.28%"
"08/01/2023","3.90","3.88","3.94","3.88","4.02K","0.52%"
"07/31/2023","3.88","3.90","3.90","3.82","0.64K","-0.51%"
"07/28/2023","3.90","3.93","3.99","3.89","2.10K","-2.74%"
"07/27/2023","4.01","4.00","4.02","3.91","6.18K","0.50%"
"07/26/2023","3.99","3.99","4.00","3.99","0.69K","-1.24%"
"07/24/2023","4.04","3.95","4.04","3.95","1.07K","-0.98%"
"07/21/2023","4.08","4.08","4.08","4.05","1.55K","0.49%"
"07/20/2023","4.06","4.02","4.06","4.02","2.84K","2.01%"
"07/18/2023","3.98","3.96","3.98","3.96","0.09K","0.76%"
"07/17/2023","3.95","3.98","3.98","3.95","0.29K","-2.71%"
"07/14/2023","4.06","4.00","4.06","3.97","9.95K","1.75%"
"07/13/2023","3.99","4.05","4.11","3.95","4.58K","-2.92%"
"07/12/2023","4.11","4.06","4.12","4.05","0.48K","1.48%"
"07/11/2023","4.05","4.14","4.14","4.05","1.64K","-2.17%"
"07/10/2023","4.14","4.06","4.14","4.03","9.10K","1.22%"
"07/07/2023","4.09","4.08","4.13","4.08","1.46K","-1.21%"
"07/06/2023","4.14","4.07","4.15","4.05","3.84K","0.00%"
"07/05/2023","4.14","4.15","4.15","4.04","5.29K","2.22%"
"07/04/2023","4.05","4.07","4.07","4.05","9.89K","-0.49%"
"07/03/2023","4.07","4.09","4.14","4.00","28.88K","-2.16%"
"06/30/2023","4.16","4.17","4.17","4.05","18.11K","-0.24%"
"06/27/2023","4.17","4.17","4.18","4.10","6.32K","2.71%"
"06/26/2023","4.06","4.12","4.18","4.06","8.46K","-1.46%"
"06/23/2023","4.12","4.02","4.20","4.02","14.08K","-0.72%"
"06/22/2023","4.15","4.11","4.15","3.90","22.05K","0.97%"
"06/21/2023","4.11","4.24","4.30","4.07","19.59K","-2.14%"
"06/20/2023","4.20","4.15","4.24","4.14","6.07K","0.72%"
"06/19/2023","4.17","4.24","4.24","4.06","6.21K","-2.80%"
"06/16/2023","4.29","4.25","4.30","4.20","22.45K","-1.15%"
"06/15/2023","4.34","4.30","4.38","4.30","0.67K","-0.23%"
"06/14/2023","4.35","4.38","4.38","4.25","2.96K","0.46%"
"06/13/2023","4.33","4.35","4.57","4.25","59.51K","-0.46%"
"06/12/2023","4.35","4.31","4.43","4.31","11.77K","0.00%"
"06/09/2023","4.35","4.22","4.35","4.17","12.11K","3.57%"
"06/08/2023","4.20","4.16","4.22","4.16","1.63K","1.45%"
"06/07/2023","4.14","4.24","4.24","4.14","1.66K","-0.96%"
"06/06/2023","4.18","4.38","4.39","4.18","7.94K","-4.78%"
"06/05/2023","4.39","4.39","4.39","4.38","1.01K","0.23%"
"06/02/2023","4.38","4.40","4.40","4.35","24.67K","-0.68%"
"06/01/2023","4.41","4.40","4.41","4.40","4.06K","0.23%"
"05/31/2023","4.40","4.43","4.45","4.35","11.75K","0.00%"
"05/30/2023","4.40","4.31","4.49","4.31","20.60K","1.85%"
"05/29/2023","4.32","4.40","4.56","4.32","37.01K","-1.59%"
"05/26/2023","4.39","4.15","4.39","4.15","65.12K","5.78%"
"05/25/2023","4.15","3.92","4.15","3.92","78.89K","5.87%"
"05/24/2023","3.92","3.73","3.92","3.73","15.81K","2.62%"
"05/23/2023","3.82","3.72","3.82","3.72","3.28K","1.33%"
"05/22/2023","3.77","3.70","3.78","3.70","7.07K","1.89%"
"05/19/2023","3.70","3.62","3.70","3.62","18.45K","1.93%"
"05/18/2023","3.63","3.66","3.75","3.60","6.61K","-2.16%"
"05/17/2023","3.71","3.61","3.80","3.61","1.40K","0.54%"
"05/16/2023","3.69","3.71","3.80","3.69","5.26K","0.00%"
"05/15/2023","3.69","3.64","3.70","3.64","0.71K","-0.27%"
"05/12/2023","3.70","3.61","3.70","3.55","4.32K","0.54%"
"05/11/2023","3.68","3.65","3.70","3.65","2.67K","-0.54%"
"05/10/2023","3.70","3.60","3.71","3.50","0.85K","2.49%"
"05/09/2023","3.61","3.74","3.74","3.61","6.87K","-3.48%"
"05/08/2023","3.74","3.75","3.75","3.70","10.09K","-0.27%"
"05/05/2023","3.75","3.70","3.75","3.66","3.91K","1.35%"
"05/04/2023","3.70","3.75","3.78","3.64","1.91K","-1.07%"
"05/03/2023","3.74","3.76","3.76","3.69","11.01K","-1.58%"
"05/02/2023","3.80","3.84","3.84","3.80","3.43K","-1.55%"
"04/28/2023","3.86","3.87","3.87","3.82","1.09K","-0.52%"
"04/27/2023","3.88","3.85","3.97","3.80","49.80K","2.11%"
"04/26/2023","3.80","3.81","3.85","3.80","10.54K","-0.26%"
"04/25/2023","3.81","3.65","3.82","3.65","25.80K","4.38%"
