"Date","Price","Open","High","Low","Vol.","Change %"
"09/20/2023","8.00","8.00","8.00","8.00","0.04K","-0.62%"
"09/19/2023","8.05","8.05","8.05","8.05","0.01K","0.00%"
"09/18/2023","8.05","8.05","8.05","8.05","0.20K","-1.23%"
"09/14/2023","8.15","8.15","8.15","8.15","0.00K","-0.61%"
"09/12/2023","8.20","8.20","8.20","8.20","0.01K","1.23%"
"09/08/2023","8.10","8.10","8.10","8.10","1.68K","0.00%"
"09/07/2023","8.10","8.10","8.10","8.10","0.28K","0.00%"
"09/06/2023","8.10","8.10","8.10","8.10","0.12K","-1.22%"
"09/05/2023","8.20","8.20","8.20","8.20","0.01K","1.23%"
"08/31/2023","8.10","8.10","8.10","8.10","0.01K","0.00%"
"08/29/2023","8.10","8.10","8.10","8.10","1.05K","2.53%"
"08/28/2023","7.90","7.90","7.90","7.90","0.27K","0.38%"
"08/25/2023","7.87","7.87","7.87","7.87","0.02K","0.64%"
"08/23/2023","7.82","7.82","7.82","7.82","0.21K","0.00%"
"08/22/2023","7.82","7.82","7.82","7.82","0.55K","0.00%"
"08/18/2023","7.82","7.80","7.82","7.80","2.17K","0.26%"
"08/17/2023","7.80","7.80","7.80","7.80","0.67K","0.52%"
"08/11/2023","7.76","7.76","7.76","7.76","0.05K","0.00%"
"08/08/2023","7.76","7.76","7.76","7.76","0.17K","0.78%"
"08/07/2023","7.70","7.70","7.70","7.70","1.00K","0.00%"
"08/04/2023","7.70","7.70","7.70","7.70","1.00K","0.00%"
"08/01/2023","7.70","7.70","7.70","7.70","0.01K","0.00%"
"07/28/2023","7.70","7.70","7.70","7.70","0.35K","0.00%"
"07/27/2023","7.70","7.70","7.70","7.70","0.38K","2.67%"
"07/21/2023","7.50","7.50","7.50","7.50","0.03K","0.94%"
"07/20/2023","7.43","7.43","7.43","7.43","0.80K","0.00%"
"07/17/2023","7.43","7.43","7.43","7.43","0.03K","-3.51%"
"07/13/2023","7.70","7.70","7.70","7.70","1.77K","0.00%"
"07/12/2023","7.70","7.70","7.70","7.70","0.05K","0.13%"
"07/11/2023","7.69","7.69","7.69","7.69","0.00K","2.53%"
"07/10/2023","7.50","7.50","7.50","7.50","0.00K","-2.60%"
"07/07/2023","7.70","7.70","7.70","7.70","0.19K","3.77%"
"07/03/2023","7.42","7.42","7.42","7.42","0.24K","0.00%"
"06/30/2023","7.42","7.42","7.42","7.42","1.35K","0.00%"
"06/27/2023","7.42","7.42","7.42","7.42","2.00K","0.27%"
"06/23/2023","7.40","7.40","7.40","7.40","1.00K","0.00%"
"06/22/2023","7.40","7.40","7.40","7.40","0.73K","-0.27%"
"06/21/2023","7.42","7.42","7.42","7.42","1.00K","0.00%"
"06/20/2023","7.42","7.42","7.42","7.42","4.15K","0.00%"
"06/19/2023","7.42","7.42","7.42","7.42","0.52K","0.00%"
"06/16/2023","7.42","7.42","7.42","7.42","0.50K","0.00%"
"06/15/2023","7.42","7.42","7.42","7.42","0.01K","1.64%"
"06/12/2023","7.30","7.30","7.30","7.30","1.53K","-1.75%"
"06/08/2023","7.43","7.43","7.43","7.43","0.57K","0.00%"
"06/07/2023","7.43","7.43","7.43","7.43","1.50K","-0.67%"
"06/06/2023","7.48","7.43","7.48","7.43","2.52K","0.67%"
"06/05/2023","7.43","7.43","7.43","7.43","0.90K","-0.80%"
"06/02/2023","7.49","7.49","7.49","7.49","0.21K","0.81%"
"06/01/2023","7.43","7.43","7.43","7.43","0.10K","0.00%"
"05/31/2023","7.43","7.43","7.43","7.43","0.87K","0.00%"
"05/30/2023","7.43","7.43","7.43","7.43","0.25K","0.13%"
"05/29/2023","7.42","7.42","7.42","7.42","0.10K","0.00%"
"05/26/2023","7.42","7.42","7.42","7.42","0.10K","0.00%"
"05/24/2023","7.42","7.15","7.42","7.15","1.02K","-0.13%"
"05/23/2023","7.43","7.43","7.43","7.43","0.04K","0.00%"
"05/19/2023","7.43","7.43","7.43","7.43","1.01K","0.41%"
"05/18/2023","7.40","7.36","7.40","7.36","2.92K","0.68%"
"05/17/2023","7.35","7.35","7.35","7.35","1.10K","0.00%"
"05/16/2023","7.35","7.35","7.35","7.35","0.51K","0.00%"
"05/12/2023","7.35","7.35","7.35","7.35","0.05K","0.00%"
"05/10/2023","7.35","7.40","7.40","7.35","0.59K","0.00%"
"05/09/2023","7.35","7.35","7.35","7.35","2.50K","0.00%"
"05/08/2023","7.35","7.35","7.35","7.35","66.25K","0.00%"
"05/05/2023","7.35","7.35","7.35","7.35","0.50K","0.00%"
"05/04/2023","7.35","7.35","7.35","7.35","0.47K","0.00%"
"05/03/2023","7.35","7.35","7.35","7.35","2.18K","-1.34%"
"05/02/2023","7.45","7.45","7.45","7.45","1.03K","0.00%"
"04/28/2023","7.45","7.66","7.66","7.45","1.46K","-2.74%"
"04/27/2023","7.66","7.66","7.66","7.66","0.64K","-1.79%"
"04/26/2023","7.80","7.80","7.80","7.80","0.65K","-6.81%"
"04/25/2023","8.37","8.38","8.38","8.37","5.13K","-0.36%"
"04/18/2023","8.40","8.40","8.40","8.40","0.71K","0.00%"
"04/17/2023","8.40","8.40","8.40","8.40","0.00K","0.36%"
"04/14/2023","8.37","8.37","8.37","8.37","0.00K","2.07%"
"04/13/2023","8.20","8.20","8.20","8.20","1.10K","-2.38%"
"04/12/2023","8.40","8.40","8.40","8.40","0.55K","-0.12%"
"04/11/2023","8.41","8.41","8.41","8.41","0.08K","0.12%"
"04/10/2023","8.40","8.40","8.40","8.40","0.72K","0.12%"
"04/07/2023","8.39","8.39","8.39","8.39","0.15K","0.00%"
"04/04/2023","8.39","8.39","8.39","8.39","0.22K","-0.12%"
"04/03/2023","8.40","8.40","8.40","8.40","0.01K","2.44%"
"03/30/2023","8.20","8.20","8.20","8.20","0.25K","-2.38%"
"03/24/2023","8.40","8.20","8.40","8.20","0.04K","2.44%"
"03/17/2023","8.20","8.20","8.20","8.20","0.69K","0.00%"
"03/16/2023","8.20","8.20","8.20","8.20","0.21K","-1.09%"
"03/14/2023","8.29","8.29","8.29","8.29","0.01K","2.35%"
"03/10/2023","8.10","8.10","8.10","8.10","0.45K","-1.22%"
"03/08/2023","8.20","8.20","8.20","8.20","1.08K","0.12%"
"03/07/2023","8.19","8.19","8.19","8.19","0.20K","0.00%"
"03/06/2023","8.19","8.19","8.19","8.19","0.11K","3.15%"
"03/03/2023","7.94","7.94","7.94","7.94","0.60K","0.00%"
"02/24/2023","7.94","7.94","7.94","7.94","0.32K","0.00%"
"02/22/2023","7.94","7.94","7.94","7.94","3.60K","4.47%"
"02/16/2023","7.60","7.60","7.60","7.60","0.04K","-0.13%"
"02/14/2023","7.61","7.61","7.61","7.61","0.29K","0.00%"
"02/13/2023","7.61","7.61","7.61","7.61","0.12K","0.00%"
"02/10/2023","7.61","7.61","7.61","7.61","34.25K","0.13%"
"02/08/2023","7.60","7.60","7.60","7.60","0.08K","0.00%"
"02/07/2023","7.60","7.60","7.60","7.60","0.20K","0.00%"
"02/02/2023","7.60","7.60","7.60","7.60","0.57K","0.00%"
"02/01/2023","7.60","7.60","7.60","7.60","0.55K","0.00%"
"01/31/2023","7.60","7.60","7.60","7.60","1.03K","0.00%"
"01/30/2023","7.60","7.60","7.60","7.60","0.50K","0.00%"
"01/25/2023","7.60","7.60","7.60","7.60","0.20K","0.00%"
"01/19/2023","7.60","7.60","7.60","7.60","0.02K","0.00%"
"01/18/2023","7.60","7.60","7.60","7.60","0.09K","0.00%"
"01/17/2023","7.60","7.60","7.60","7.60","2.27K","0.00%"
"01/10/2023","7.60","7.60","7.60","7.60","0.83K","0.00%"
"01/09/2023","7.60","7.60","7.60","7.60","3.64K","0.00%"
"01/04/2023","7.60","7.60","7.60","7.60","0.02K","0.00%"
"01/03/2023","7.60","7.60","7.60","7.60","0.06K","0.00%"
"01/02/2023","7.60","7.60","7.60","7.60","0.71K","0.00%"
"12/30/2022","7.60","7.60","7.60","7.60","1.80K","0.00%"
"12/29/2022","7.60","7.60","7.60","7.60","0.07K","0.13%"
"12/27/2022","7.59","7.59","7.59","7.59","0.68K","-0.13%"
"12/22/2022","7.60","7.60","7.60","7.60","0.01K","0.13%"
"12/21/2022","7.59","7.59","7.59","7.59","11.00K","-0.13%"
"12/20/2022","7.60","7.60","7.60","7.60","2.54K","0.00%"
"12/15/2022","7.60","7.60","7.60","7.60","0.50K","0.00%"
"12/14/2022","7.60","7.60","7.60","7.60","1.24K","0.00%"
"12/13/2022","7.60","7.60","7.60","7.60","1.64K","-2.56%"
"12/12/2022","7.80","7.80","7.80","7.80","0.05K","2.63%"
"12/09/2022","7.60","7.60","7.60","7.60","0.60K","-2.56%"
"12/08/2022","7.80","7.80","7.80","7.80","0.03K","0.00%"
"12/07/2022","7.80","7.80","7.80","7.80","0.04K","0.00%"
"12/06/2022","7.80","7.80","7.80","7.80","0.10K","0.00%"
"12/05/2022","7.80","7.88","7.88","7.80","0.09K","-1.02%"
"12/02/2022","7.88","7.88","7.88","7.88","0.05K","0.00%"
"12/01/2022","7.88","7.88","7.88","7.88","0.04K","0.00%"
"11/30/2022","7.88","7.88","7.88","7.88","0.05K","0.00%"
"11/29/2022","7.88","7.88","7.88","7.88","0.59K","0.13%"
"11/28/2022","7.87","7.87","7.87","7.87","0.44K","0.00%"
"11/25/2022","7.87","7.87","7.87","7.87","0.08K","-0.13%"
"11/23/2022","7.88","7.88","7.88","7.88","0.02K","0.13%"
"11/22/2022","7.87","7.87","7.87","7.87","5.32K","-0.13%"
"11/21/2022","7.88","7.88","7.88","7.88","0.36K","-0.25%"
"11/16/2022","7.90","7.90","7.90","7.90","0.02K","0.00%"
"11/15/2022","7.90","7.90","7.90","7.90","0.10K","0.00%"
"11/11/2022","7.90","7.90","7.90","7.90","0.03K","0.00%"
"11/10/2022","7.90","7.90","7.90","7.90","0.20K","1.28%"
"11/09/2022","7.80","7.80","7.80","7.80","0.46K","0.00%"
"11/08/2022","7.80","7.80","7.80","7.80","0.43K","0.65%"
"11/03/2022","7.75","7.75","7.75","7.75","0.01K","-3.13%"
"10/31/2022","8.00","8.00","8.00","8.00","0.50K","0.00%"
"10/28/2022","8.00","8.00","8.00","8.00","0.01K","0.00%"
"10/27/2022","8.00","8.00","8.00","8.00","0.05K","0.00%"
"10/25/2022","8.00","8.00","8.00","8.00","0.40K","0.00%"
"10/21/2022","8.00","8.00","8.00","8.00","3.13K","0.00%"
"10/20/2022","8.00","8.00","8.00","8.00","0.64K","0.00%"
"10/19/2022","8.00","8.00","8.00","8.00","0.63K","0.00%"
"10/17/2022","8.00","8.00","8.00","8.00","0.06K","0.00%"
"10/13/2022","8.00","8.00","8.00","8.00","0.84K","0.00%"
"10/12/2022","8.00","8.00","8.00","8.00","0.49K","0.00%"
"10/11/2022","8.00","8.00","8.00","8.00","0.65K","0.00%"
"10/10/2022","8.00","8.00","8.00","8.00","0.60K","0.00%"
"10/07/2022","8.00","8.00","8.00","8.00","0.72K","0.00%"
"10/06/2022","8.00","8.00","8.00","8.00","0.60K","0.00%"
"10/05/2022","8.00","8.00","8.00","8.00","0.70K","0.00%"
"10/04/2022","8.00","8.00","8.00","8.00","0.52K","0.00%"
"10/03/2022","8.00","8.00","8.00","8.00","1.55K","0.00%"
"09/30/2022","8.00","8.00","8.00","8.00","0.66K","0.00%"
"09/29/2022","8.00","8.00","8.00","8.00","0.95K","0.00%"
"09/28/2022","8.00","7.99","8.00","7.99","0.92K","0.00%"
"09/22/2022","8.00","8.00","8.00","8.00","0.04K","0.00%"
"09/21/2022","8.00","8.00","8.00","8.00","1.00K","1.27%"
"09/16/2022","7.90","7.90","7.90","7.90","0.22K","0.00%"
"09/09/2022","7.90","7.90","7.90","7.90","0.20K","-1.25%"
"09/08/2022","8.00","8.00","8.00","8.00","0.21K","1.27%"
"09/07/2022","7.90","7.90","7.90","7.90","1.04K","0.00%"
"09/06/2022","7.90","7.90","7.90","7.90","0.22K","0.00%"
"09/02/2022","7.90","7.90","7.90","7.90","0.30K","0.00%"
"09/01/2022","7.90","7.90","7.90","7.90","1.10K","0.00%"
"08/31/2022","7.90","7.90","7.90","7.90","102.54K","0.00%"
"08/30/2022","7.90","7.90","7.90","7.90","0.50K","0.00%"
"08/25/2022","7.90","7.90","7.90","7.90","0.07K","0.00%"
"08/24/2022","7.90","7.90","7.90","7.90","0.05K","0.00%"
"08/23/2022","7.90","7.90","7.90","7.90","0.07K","0.00%"
"08/19/2022","7.90","7.90","7.90","7.90","1.90K","0.00%"
"08/18/2022","7.90","7.90","7.90","7.90","0.17K","0.00%"
"08/17/2022","7.90","7.90","7.90","7.90","1.58K","0.00%"
"08/15/2022","7.90","7.90","7.90","7.90","0.05K","0.13%"
"08/08/2022","7.89","7.89","7.89","7.89","1.06K","0.00%"
"08/05/2022","7.89","7.89","7.89","7.89","0.15K","0.00%"
"08/04/2022","7.89","7.89","7.89","7.89","1.00K","0.00%"
"08/02/2022","7.89","7.89","7.89","7.89","0.24K","0.00%"
"07/29/2022","7.89","7.89","7.89","7.89","0.20K","0.00%"
"07/28/2022","7.89","7.89","7.89","7.89","0.30K","-0.13%"
