"Date","Price","Open","High","Low","Vol.","Change %"
"09/21/2023","3.55","3.60","3.60","3.51","2.29K","-1.39%"
"09/20/2023","3.60","3.55","3.60","3.50","5.60K","0.00%"
"09/19/2023","3.60","3.65","3.65","3.53","7.73K","0.00%"
"09/18/2023","3.60","3.60","3.60","3.59","3.40K","-1.37%"
"09/15/2023","3.65","3.65","3.65","3.63","5.30K","-0.82%"
"09/14/2023","3.68","3.65","3.68","3.64","18.71K","0.00%"
"09/13/2023","3.68","3.68","3.69","3.68","12.14K","-0.27%"
"09/12/2023","3.69","3.65","3.69","3.65","2.19K","0.00%"
"09/11/2023","3.69","3.70","3.70","3.66","5.42K","0.00%"
"09/08/2023","3.69","3.70","3.70","3.65","8.05K","0.00%"
"09/07/2023","3.69","3.70","3.70","3.65","3.52K","-0.27%"
"09/06/2023","3.70","3.66","3.70","3.65","3.21K","0.00%"
"09/05/2023","3.70","3.65","3.70","3.65","0.40K","-0.27%"
"09/04/2023","3.71","3.70","3.71","3.70","2.41K","0.00%"
"09/01/2023","3.71","3.72","3.72","3.69","4.63K","0.54%"
"08/31/2023","3.69","3.63","3.72","3.63","2.25K","-0.81%"
"08/30/2023","3.72","3.65","3.72","3.63","0.90K","0.27%"
"08/29/2023","3.71","3.72","3.72","3.71","0.07K","-0.80%"
"08/28/2023","3.74","3.65","3.74","3.65","2.34K","0.00%"
"08/25/2023","3.74","3.74","3.74","3.74","14.26K","0.00%"
"08/24/2023","3.74","3.75","3.75","3.68","1.02K","-0.27%"
"08/23/2023","3.75","3.75","3.75","3.72","1.51K","0.27%"
"08/22/2023","3.74","3.73","3.75","3.72","3.30K","0.27%"
"08/21/2023","3.73","3.73","3.73","3.73","1.51K","2.19%"
"08/18/2023","3.65","3.64","3.74","3.64","1.31K","0.00%"
"08/17/2023","3.65","3.65","3.65","3.65","1.82K","-2.67%"
"08/16/2023","3.75","3.76","3.78","3.63","4.72K","-0.79%"
"08/15/2023","3.78","3.71","3.78","3.64","1.57K","0.00%"
"08/14/2023","3.78","3.78","3.78","3.65","0.21K","0.80%"
"08/11/2023","3.75","3.70","3.75","3.64","2.42K","0.00%"
"08/10/2023","3.75","3.75","3.75","3.70","1.24K","0.00%"
"08/09/2023","3.75","3.72","3.75","3.72","2.57K","1.90%"
"08/08/2023","3.68","3.67","3.68","3.67","1.22K","-1.87%"
"08/07/2023","3.75","3.75","3.78","3.75","1.27K","0.00%"
"08/04/2023","3.75","3.73","3.75","3.72","1.95K","0.54%"
"08/03/2023","3.73","3.73","3.73","3.72","2.13K","0.00%"
"08/02/2023","3.73","3.73","3.73","3.73","1.53K","-0.27%"
"08/01/2023","3.74","3.74","3.79","3.73","7.26K","-1.32%"
"07/31/2023","3.79","3.73","3.79","3.73","1.13K","0.00%"
"07/28/2023","3.79","3.79","3.79","3.73","1.03K","0.00%"
"07/27/2023","3.79","3.79","3.79","3.79","2.16K","0.00%"
"07/26/2023","3.79","3.79","3.79","3.76","2.73K","0.00%"
"07/24/2023","3.79","3.73","3.79","3.73","1.10K","-0.26%"
"07/21/2023","3.80","3.79","3.80","3.74","4.11K","0.00%"
"07/20/2023","3.80","3.79","3.80","3.79","0.20K","0.00%"
