"Date","Price","Open","High","Low","Vol.","Change %"
"09/20/2023","4.200","4.200","4.200","4.200","0.05K","5.00%"
"09/18/2023","4.000","4.000","4.000","4.000","0.25K","0.00%"
"09/14/2023","4.000","4.000","4.000","4.000","0.00K","7.53%"
"09/12/2023","3.720","3.560","3.720","3.560","0.91K","0.00%"
"09/08/2023","3.720","3.720","3.720","3.720","1.78K","-15.45%"
"09/04/2023","4.400","4.400","4.400","4.400","0.00K","3.77%"
"09/01/2023","4.240","4.240","4.240","4.240","0.05K","5.21%"
"08/30/2023","4.030","4.370","4.370","4.030","0.02K","-12.39%"
"08/25/2023","4.600","4.600","4.600","4.600","0.00K","2.22%"
"08/24/2023","4.500","4.500","4.500","4.500","3.78K","0.00%"
"08/23/2023","4.500","4.400","4.500","4.400","0.10K","12.50%"
"08/18/2023","4.000","4.000","4.000","4.000","0.05K","-2.44%"
"08/16/2023","4.100","4.100","4.100","4.100","0.00K","2.50%"
"08/15/2023","4.000","4.000","4.000","4.000","0.11K","4.44%"
"08/11/2023","3.830","3.830","3.830","3.830","0.05K","4.36%"
"08/10/2023","3.670","3.670","3.670","3.670","0.09K","-3.93%"
"08/09/2023","3.820","3.500","3.820","3.500","0.11K","4.37%"
"08/08/2023","3.660","3.820","3.820","3.660","0.23K","-4.19%"
"08/07/2023","3.820","3.820","3.820","3.820","0.10K","-4.02%"
"08/04/2023","3.980","3.980","3.980","3.980","0.11K","-4.10%"
"08/02/2023","4.150","4.150","4.150","4.150","0.50K","-0.24%"
"07/31/2023","4.160","4.400","4.400","4.160","1.43K","-4.37%"
"07/28/2023","4.350","4.200","4.350","4.200","0.48K","3.82%"
"07/27/2023","4.190","4.190","4.190","4.190","0.02K","-0.24%"
"07/26/2023","4.200","4.200","4.200","4.200","0.10K","0.00%"
"07/24/2023","4.200","4.200","4.200","4.200","0.00K","5.00%"
"07/17/2023","4.000","4.000","4.000","4.000","1.19K","0.00%"
"07/13/2023","4.000","4.000","4.000","4.000","0.00K","8.40%"
"07/11/2023","3.690","3.690","3.690","3.690","0.20K","-4.16%"
"07/10/2023","3.850","3.850","3.850","3.850","0.03K","3.77%"
"07/05/2023","3.710","3.710","3.710","3.710","0.01K","0.00%"
"06/27/2023","3.710","3.710","3.710","3.710","0.53K","-0.27%"
"06/22/2023","3.720","3.720","3.720","3.720","0.25K","-4.37%"
"06/19/2023","3.890","3.890","3.890","3.890","0.26K","2.37%"
"06/16/2023","3.800","3.800","3.800","3.800","0.15K","2.43%"
"06/14/2023","3.710","3.710","3.710","3.710","0.10K","-4.38%"
"06/13/2023","3.880","3.880","3.880","3.880","0.00K","-0.51%"
"06/06/2023","3.900","3.900","3.900","3.900","0.00K","5.41%"
"06/02/2023","3.700","3.700","3.700","3.700","0.20K","-1.86%"
"06/01/2023","3.770","3.770","3.770","3.770","0.26K","-3.33%"
"05/30/2023","3.900","3.900","3.900","3.900","0.00K","5.98%"
"05/26/2023","3.680","3.690","3.690","3.680","0.30K","6.36%"
"05/23/2023","3.460","3.460","3.460","3.460","0.13K","-3.89%"
"05/22/2023","3.600","3.600","3.600","3.600","0.05K","-0.28%"
"05/19/2023","3.610","3.610","3.610","3.610","0.02K","0.00%"
"05/18/2023","3.610","3.780","3.780","3.610","0.26K","-4.50%"
"05/17/2023","3.780","3.780","3.780","3.780","0.04K","4.42%"
"05/16/2023","3.620","3.470","3.620","3.470","0.20K","4.32%"
"05/15/2023","3.470","3.470","3.470","3.470","0.00K","8.78%"
"05/11/2023","3.190","3.190","3.190","3.190","6.20K","-4.49%"
"05/10/2023","3.340","3.340","3.340","3.340","2.57K","-16.50%"
"05/03/2023","4.000","4.000","4.000","4.000","0.11K","-12.66%"
"04/27/2023","4.580","4.580","4.580","4.580","0.05K","-4.18%"
"04/25/2023","4.780","4.780","4.780","4.780","0.01K","-4.40%"
"04/24/2023","5.000","5.000","5.000","5.000","0.02K","-3.85%"
"04/20/2023","5.200","5.200","5.200","5.200","0.01K","-2.80%"
"04/18/2023","5.350","5.350","5.350","5.350","0.02K","-7.28%"
"04/17/2023","5.770","5.770","5.770","5.770","0.00K","3.04%"
"04/14/2023","5.600","5.600","5.600","5.600","0.00K","0.18%"
"04/13/2023","5.590","5.590","5.590","5.590","0.20K","14.08%"
"04/10/2023","4.900","4.900","4.900","4.900","0.00K","2.08%"
"04/07/2023","4.800","4.800","4.800","4.800","0.00K","6.67%"
"04/04/2023","4.500","4.500","4.500","4.500","0.10K","16.88%"
"03/24/2023","3.850","3.850","3.850","3.850","0.14K","0.00%"
"03/17/2023","3.850","3.850","3.850","3.850","0.05K","4.34%"
"03/16/2023","3.690","3.690","3.690","3.690","0.12K","0.00%"
"03/15/2023","3.690","3.690","3.690","3.690","0.27K","-3.91%"
"03/14/2023","3.840","3.840","3.840","3.840","0.01K","-4.00%"
"03/13/2023","4.000","4.000","4.000","4.000","0.12K","-5.66%"
"02/24/2023","4.240","4.240","4.240","4.240","0.05K","-0.24%"
"02/15/2023","4.250","4.250","4.250","4.250","0.03K","0.00%"
"02/09/2023","4.250","4.250","4.250","4.250","0.72K","-4.28%"
"02/08/2023","4.440","4.440","4.440","4.440","1.02K","0.00%"
"02/06/2023","4.440","4.440","4.440","4.440","0.00K","-0.22%"
