"Date","Price","Open","High","Low","Vol.","Change %"
"09/21/2023","12.30","12.75","12.75","12.20","10.68K","-2.54%"
"09/20/2023","12.62","12.85","12.89","12.62","8.18K","-1.79%"
"09/19/2023","12.85","12.85","12.98","12.82","21.74K","-0.16%"
"09/18/2023","12.87","12.90","12.90","12.85","6.32K","0.55%"
"09/15/2023","12.80","12.90","12.98","12.80","11.15K","-0.78%"
"09/14/2023","12.90","12.79","13.00","12.79","14.63K","0.86%"
"09/13/2023","12.79","12.70","12.79","12.70","3.88K","0.00%"
"09/12/2023","12.79","12.75","12.83","12.70","11.16K","0.31%"
"09/11/2023","12.75","12.60","12.75","12.60","7.88K","0.47%"
"09/08/2023","12.69","12.69","12.75","12.60","1.18K","-0.86%"
"09/07/2023","12.80","12.65","12.80","12.65","2.51K","1.43%"
"09/06/2023","12.62","12.61","12.65","12.60","3.44K","0.00%"
"09/05/2023","12.62","12.65","12.65","12.60","4.35K","-0.24%"
"09/04/2023","12.65","12.65","12.65","12.60","2.64K","0.00%"
"09/01/2023","12.65","12.65","12.65","12.53","5.34K","0.00%"
"08/31/2023","12.65","12.60","12.65","12.54","2.57K","-0.16%"
"08/30/2023","12.67","12.60","12.67","12.60","2.08K","-0.24%"
"08/29/2023","12.70","12.60","12.74","12.60","5.98K","0.79%"
"08/28/2023","12.60","12.60","12.69","12.60","5.71K","0.00%"
"08/25/2023","12.60","12.45","12.75","12.45","15.59K","1.29%"
"08/24/2023","12.44","12.20","12.48","12.20","7.67K","1.97%"
"08/23/2023","12.20","12.25","12.29","12.18","3.42K","0.00%"
"08/22/2023","12.20","12.28","12.28","12.15","2.48K","-0.65%"
"08/21/2023","12.28","12.25","12.30","12.25","2.54K","-0.57%"
"08/18/2023","12.35","12.48","12.48","12.35","4.82K","-1.04%"
"08/17/2023","12.48","12.47","12.48","12.42","3.66K","0.48%"
"08/16/2023","12.42","12.42","12.42","12.42","1.34K","0.00%"
"08/15/2023","12.42","12.37","12.54","12.35","9.41K","0.40%"
"08/14/2023","12.37","12.18","12.38","12.00","12.61K","1.56%"
"08/11/2023","12.18","12.00","12.20","12.00","6.06K","1.50%"
"08/10/2023","12.00","12.00","12.00","12.00","4.20K","0.00%"
"08/09/2023","12.00","12.13","12.13","11.95","11.07K","-0.83%"
"08/08/2023","12.10","12.19","12.19","11.95","25.11K","-0.82%"
"08/07/2023","12.20","12.49","12.49","12.20","11.27K","-2.32%"
"08/04/2023","12.49","12.50","12.54","12.40","20.49K","-0.08%"
"08/03/2023","12.50","12.50","12.50","12.45","4.50K","-0.40%"
"08/02/2023","12.55","12.70","12.70","12.50","8.24K","-1.18%"
"08/01/2023","12.70","12.75","12.75","12.70","6.36K","-0.78%"
"07/31/2023","12.80","12.92","12.92","12.75","15.51K","-0.93%"
"07/28/2023","12.92","12.85","12.95","12.81","3.73K","0.00%"
"07/27/2023","12.92","13.00","13.00","12.90","5.00K","-0.62%"
"07/26/2023","13.00","12.95","13.00","12.80","9.32K","0.39%"
"07/24/2023","12.95","12.99","13.00","12.85","11.08K","-0.38%"
"07/21/2023","13.00","12.95","13.08","12.85","9.25K","0.39%"
"07/20/2023","12.95","13.19","13.19","12.85","14.27K","-2.34%"
"07/18/2023","13.26","13.26","13.30","13.26","4.45K","0.00%"
"07/17/2023","13.26","13.11","13.30","13.11","14.76K","1.14%"
"07/14/2023","13.11","13.10","13.25","12.98","5.55K","0.08%"
"07/13/2023","13.10","13.30","13.30","13.00","15.46K","-1.50%"
"07/12/2023","13.30","13.40","13.40","13.05","0.58K","0.08%"
"07/11/2023","13.29","13.45","13.45","13.00","10.90K","-0.45%"
"07/10/2023","13.35","13.48","13.50","13.35","12.95K","-1.11%"
"07/07/2023","13.50","13.10","13.50","13.02","31.59K","3.13%"
"07/06/2023","13.09","12.84","13.10","12.84","8.59K","1.95%"
"07/05/2023","12.84","12.84","12.88","12.80","12.37K","0.00%"
"07/04/2023","12.84","12.85","12.85","12.80","4.22K","-0.08%"
"07/03/2023","12.85","12.72","12.86","12.72","3.30K","0.78%"
"06/30/2023","12.75","12.75","12.80","12.70","4.88K","0.39%"
"06/27/2023","12.70","12.48","12.70","12.48","13.17K","1.68%"
"06/26/2023","12.49","12.50","12.54","12.40","18.44K","-0.40%"
"06/23/2023","12.54","12.54","12.55","12.46","8.85K","0.32%"
"06/22/2023","12.50","12.50","12.59","12.35","26.73K","0.08%"
"06/21/2023","12.49","12.61","12.61","12.42","32.68K","-0.87%"
"06/20/2023","12.60","12.75","12.88","12.50","25.83K","0.00%"
"06/19/2023","12.60","12.73","12.73","12.50","10.02K","-1.33%"
"06/16/2023","12.77","12.78","12.80","12.75","10.66K","-0.16%"
"06/15/2023","12.79","12.80","12.93","12.70","17.16K","-0.08%"
"06/14/2023","12.80","12.55","12.88","12.50","14.76K","2.40%"
"06/13/2023","12.50","12.40","12.58","12.40","34.35K","0.81%"
"06/12/2023","12.40","12.49","12.49","12.38","5.58K","-0.72%"
"06/09/2023","12.49","12.44","12.60","12.40","22.43K","0.97%"
"06/08/2023","12.37","12.45","12.45","12.20","8.79K","0.57%"
"06/07/2023","12.30","12.43","12.43","12.16","3.75K","-1.13%"
"06/06/2023","12.44","12.50","12.50","12.30","17.17K","-0.48%"
"06/05/2023","12.50","12.59","12.59","12.35","6.69K","0.00%"
"06/02/2023","12.50","11.99","12.59","11.92","35.39K","4.60%"
"06/01/2023","11.95","12.00","12.00","11.90","18.64K","-0.42%"
"05/31/2023","12.00","12.20","12.20","11.95","48.36K","0.00%"
"05/30/2023","12.00","11.99","12.18","11.90","31.24K","0.42%"
"05/29/2023","11.95","12.06","12.06","11.71","37.97K","-0.91%"
"05/26/2023","12.06","12.65","12.65","12.06","114.14K","-5.93%"
"05/25/2023","12.82","12.90","12.98","12.72","46.60K","0.00%"
"05/24/2023","12.82","12.80","13.17","12.74","80.75K","0.55%"
"05/23/2023","12.75","12.10","12.80","11.69","146.93K","2.57%"
"05/22/2023","12.43","12.70","13.20","12.43","136.07K","-0.40%"
"05/18/2023","12.48","11.78","12.48","11.78","60.25K","5.94%"
"05/17/2023","11.78","11.25","11.78","11.25","17.91K","5.18%"
"05/16/2023","11.20","10.80","11.20","10.76","39.54K","3.70%"
"05/15/2023","10.80","10.70","10.80","10.70","6.74K","0.93%"
"05/12/2023","10.70","10.61","10.70","10.54","18.68K","0.94%"
"05/11/2023","10.60","10.50","10.60","10.42","15.92K","1.44%"
"05/10/2023","10.45","10.50","10.50","10.40","7.95K","-0.48%"
"05/09/2023","10.50","10.50","10.60","10.45","21.78K","0.10%"
"05/08/2023","10.49","10.24","10.64","10.24","24.13K","2.44%"
"05/05/2023","10.24","10.25","10.25","10.20","4.25K","0.69%"
"05/04/2023","10.17","10.16","10.25","10.16","4.20K","-0.39%"
"05/03/2023","10.21","10.15","10.27","10.15","4.49K","-0.39%"
"05/02/2023","10.25","10.29","10.29","10.10","5.74K","0.59%"
"04/28/2023","10.19","10.05","10.30","10.05","18.08K","1.39%"
"04/27/2023","10.05","10.06","10.06","9.96","12.80K","-0.50%"
"04/26/2023","10.10","9.99","10.10","9.92","28.04K","1.00%"
"04/25/2023","10.00","10.12","10.30","9.95","20.47K","-0.89%"
"04/24/2023","10.09","10.12","10.12","9.90","27.47K","-0.79%"
"04/20/2023","10.17","10.39","10.40","10.17","27.36K","-2.12%"
"04/19/2023","10.39","9.97","10.39","9.97","61.76K","4.21%"
"04/18/2023","9.97","9.90","9.99","9.85","31.80K","1.22%"
"04/17/2023","9.85","9.70","9.90","9.60","55.41K","1.65%"
"04/14/2023","9.69","9.74","9.78","9.61","7.23K","-0.10%"
"04/13/2023","9.70","9.59","9.73","9.59","21.10K","1.57%"
"04/12/2023","9.55","9.75","9.79","9.45","8.71K","-2.05%"
"04/11/2023","9.75","9.54","9.77","9.41","55.30K","3.61%"
"04/10/2023","9.41","9.25","9.48","9.19","21.14K","1.18%"
"04/07/2023","9.30","9.34","9.34","9.25","5.20K","0.00%"
"04/06/2023","9.30","9.32","9.32","9.20","3.43K","-0.43%"
"04/05/2023","9.34","9.35","9.35","9.11","3.52K","0.97%"
