"Date","Price","Open","High","Low","Vol.","Change %"
"09/19/2023","6.78","6.78","6.78","6.78","0.01K","-4.24%"
"09/18/2023","7.08","7.08","7.08","7.08","0.03K","-0.14%"
"09/01/2023","7.09","7.09","7.09","7.09","0.08K","1.29%"
"08/31/2023","7.00","7.00","7.00","7.00","0.14K","0.00%"
"08/30/2023","7.00","7.00","7.00","7.00","0.20K","0.00%"
"08/29/2023","7.00","7.00","7.00","7.00","0.30K","0.00%"
"08/28/2023","7.00","7.00","7.00","7.00","0.01K","0.00%"
"08/23/2023","7.00","7.00","7.00","7.00","0.68K","3.09%"
"08/22/2023","6.79","6.79","6.79","6.79","0.20K","4.46%"
"08/21/2023","6.50","6.50","6.50","6.50","1.90K","-2.99%"
"08/16/2023","6.70","6.70","6.70","6.70","0.07K","0.00%"
"08/15/2023","6.70","6.70","6.70","6.70","0.02K","-4.15%"
"08/14/2023","6.99","6.99","6.99","6.99","0.50K","0.00%"
"08/11/2023","6.99","6.99","6.99","6.99","0.36K","0.00%"
"08/08/2023","6.99","6.99","6.99","6.99","0.18K","-0.14%"
"08/03/2023","7.00","7.00","7.00","7.00","0.17K","0.00%"
"08/02/2023","7.00","7.00","7.00","7.00","1.37K","0.00%"
"08/01/2023","7.00","7.00","7.00","7.00","1.15K","-4.11%"
"07/28/2023","7.30","7.30","7.30","7.30","0.05K","-2.41%"
"07/26/2023","7.48","7.48","7.48","7.48","0.01K","-1.58%"
"07/03/2023","7.60","7.60","7.60","7.60","0.00K","-2.56%"
"06/20/2023","7.80","7.80","7.80","7.80","0.78K","-6.02%"
"06/07/2023","8.30","8.30","8.30","8.30","0.26K","-2.35%"
"06/01/2023","8.50","8.50","8.50","8.50","0.00K","0.83%"
"05/30/2023","8.43","8.43","8.43","8.43","0.36K","-4.42%"
"05/29/2023","8.82","8.82","8.82","8.82","0.20K","-0.23%"
"05/26/2023","8.84","8.84","8.84","8.84","0.10K","-0.11%"
"05/25/2023","8.85","8.85","8.85","8.85","0.01K","-0.56%"
"05/19/2023","8.90","8.90","8.90","8.90","1.03K","4.09%"
