"Date","Price","Open","High","Low","Vol.","Change %"
"09/21/2023","16.51","16.51","16.51","16.51","","-0.54%"
"09/20/2023","16.60","16.51","16.60","16.51","0.16K","0.00%"
"09/19/2023","16.60","16.60","16.60","16.60","2.20K","-0.30%"
"09/18/2023","16.65","16.65","16.65","16.65","0.06K","0.18%"
"09/15/2023","16.62","16.62","16.62","16.60","1.06K","-0.18%"
"09/14/2023","16.65","16.65","16.65","16.51","0.12K","0.00%"
"09/13/2023","16.65","16.50","16.65","16.50","0.59K","0.91%"
"09/12/2023","16.50","16.50","16.50","16.32","0.39K","0.00%"
"09/11/2023","16.50","16.32","16.50","16.32","0.22K","0.36%"
"09/08/2023","16.44","16.32","16.44","16.32","0.05K","-0.36%"
"09/07/2023","16.50","16.45","16.50","16.32","0.43K","-0.90%"
"09/06/2023","16.65","16.60","16.65","16.60","0.45K","0.00%"
"09/05/2023","16.65","16.70","16.70","16.41","0.38K","-0.30%"
"09/04/2023","16.70","16.39","16.70","16.39","3.55K","2.33%"
"09/01/2023","16.32","16.32","16.32","16.32","0.02K","-0.43%"
"08/31/2023","16.39","16.39","16.39","16.38","3.58K","0.00%"
"08/29/2023","16.39","16.39","16.39","16.39","0.23K","0.00%"
"08/28/2023","16.39","16.38","16.39","16.38","0.33K","0.00%"
"08/24/2023","16.39","16.20","16.39","16.20","0.11K","0.00%"
"08/23/2023","16.39","16.30","16.39","16.20","0.11K","0.00%"
"08/22/2023","16.39","16.39","16.39","16.39","0.22K","0.24%"
"08/21/2023","16.35","16.39","16.39","16.35","0.58K","0.31%"
"08/18/2023","16.30","16.39","16.39","16.30","0.30K","-0.55%"
"08/17/2023","16.39","16.39","16.39","16.39","0.51K","-0.06%"
"08/15/2023","16.40","16.30","16.40","16.30","1.02K","0.61%"
"08/10/2023","16.30","16.30","16.38","16.30","0.42K","-0.55%"
"08/09/2023","16.39","16.39","16.39","16.39","0.65K","0.00%"
"08/08/2023","16.39","16.38","16.39","16.38","1.31K","0.06%"
"08/07/2023","16.38","16.38","16.38","16.12","0.45K","-0.12%"
