"Date","Price","Open","High","Low","Vol.","Change %"
"09/21/2023","12.00","12.00","12.00","12.00","","0.00%"
"09/19/2023","12.00","11.89","12.00","11.89","6.66K","-1.64%"
"09/18/2023","12.20","11.98","12.20","11.98","1.50K","1.92%"
"09/15/2023","11.97","11.96","11.97","11.96","1.84K","0.08%"
"09/14/2023","11.96","11.96","11.96","11.96","0.00K","0.42%"
"09/13/2023","11.91","11.89","11.91","11.89","1.43K","0.17%"
"09/12/2023","11.89","12.30","12.30","11.89","1.18K","-3.33%"
"09/11/2023","12.30","11.86","12.30","11.86","1.50K","4.06%"
"09/08/2023","11.82","11.82","11.82","11.82","0.72K","0.77%"
"09/07/2023","11.73","11.80","11.80","11.73","3.06K","1.12%"
"09/06/2023","11.60","11.52","11.60","11.52","2.04K","2.20%"
"09/05/2023","11.35","11.35","11.35","11.35","0.95K","0.44%"
"09/04/2023","11.30","11.30","11.30","11.30","1.71K","1.71%"
"09/01/2023","11.11","11.00","11.11","11.00","2.53K","1.00%"
"08/31/2023","11.00","11.00","11.00","11.00","0.42K","0.92%"
"08/30/2023","10.90","11.29","11.29","10.90","0.49K","-3.45%"
"08/29/2023","11.29","11.29","11.29","11.29","0.31K","0.98%"
"08/28/2023","11.18","11.18","11.18","11.18","0.00K","2.57%"
"08/25/2023","10.90","10.90","10.90","10.90","1.41K","0.37%"
"08/24/2023","10.86","10.86","10.86","10.86","1.71K","0.56%"
"08/23/2023","10.80","10.80","10.80","10.80","0.24K","0.00%"
"08/22/2023","10.80","10.80","10.80","10.80","0.39K","0.00%"
"08/21/2023","10.80","10.80","10.80","10.80","1.70K","0.00%"
"08/18/2023","10.80","10.80","10.80","10.80","1.71K","0.00%"
"08/17/2023","10.80","10.80","10.80","10.80","1.70K","0.00%"
"08/16/2023","10.80","10.80","10.80","10.80","1.70K","0.00%"
"08/15/2023","10.80","10.80","10.80","10.80","1.95K","0.00%"
"08/14/2023","10.80","10.80","10.80","10.80","1.70K","-0.55%"
"07/28/2023","10.86","10.80","10.86","10.80","0.28K","0.56%"
"07/27/2023","10.80","10.80","10.80","10.80","2.29K","0.00%"
"07/26/2023","10.80","10.35","10.80","10.35","0.37K","4.45%"
"07/24/2023","10.34","10.20","10.34","10.20","277.41K","0.00%"
"07/21/2023","10.34","10.20","10.34","10.20","2.05K","1.37%"
"07/20/2023","10.20","10.05","10.20","10.05","0.21K","1.49%"
"07/17/2023","10.05","10.05","10.05","10.05","0.61K","-1.47%"
"07/14/2023","10.20","10.05","10.20","10.05","0.50K","1.49%"
"07/13/2023","10.05","10.05","10.05","10.05","0.73K","0.00%"
"07/12/2023","10.05","10.05","10.05","10.05","1.08K","-1.47%"
"07/10/2023","10.20","10.20","10.20","10.20","0.02K","0.00%"
"07/07/2023","10.20","10.20","10.20","10.20","0.04K","0.00%"
"07/06/2023","10.20","10.20","10.20","10.20","0.42K","0.00%"
"07/05/2023","10.20","10.20","10.20","10.20","0.78K","-1.45%"
"06/26/2023","10.35","10.05","10.35","10.05","0.20K","0.00%"
"06/21/2023","10.35","10.05","10.35","10.05","1.01K","2.88%"
"06/20/2023","10.06","10.06","10.06","10.06","0.10K","0.10%"
"06/19/2023","10.05","10.05","10.05","10.05","1.79K","0.30%"
"06/16/2023","10.02","10.02","10.02","10.02","2.87K","-0.99%"
"06/15/2023","10.12","10.34","10.34","10.12","0.28K","-2.13%"
"06/14/2023","10.34","10.34","10.34","10.34","1.72K","0.00%"
"06/13/2023","10.34","10.35","10.35","10.34","2.12K","-0.10%"
"06/09/2023","10.35","10.35","10.35","10.35","1.00K","-0.10%"
"06/05/2023","10.36","10.36","10.36","10.36","0.57K","0.00%"
"06/02/2023","10.36","10.36","10.36","10.36","0.60K","0.00%"
"06/01/2023","10.36","10.36","10.36","10.36","1.60K","0.00%"
"05/31/2023","10.36","10.50","10.50","10.36","0.12K","0.00%"
"05/30/2023","10.36","10.36","10.36","10.36","0.63K","0.00%"
"05/29/2023","10.36","10.36","10.36","10.36","1.05K","0.00%"
"05/26/2023","10.36","10.36","10.36","10.36","1.90K","0.00%"
"05/25/2023","10.36","10.40","10.40","10.36","1.21K","-0.38%"
"05/24/2023","10.40","10.40","10.40","10.40","1.96K","-4.32%"
"05/23/2023","10.87","10.87","10.87","10.87","6.41K","0.00%"
"05/19/2023","10.87","10.87","10.87","10.87","5.49K","1.02%"
"05/18/2023","10.76","10.76","10.76","10.76","2.96K","0.00%"
"05/17/2023","10.76","10.76","10.76","10.76","2.40K","1.51%"
"05/16/2023","10.60","10.60","10.60","10.60","3.01K","0.00%"
"05/15/2023","10.60","10.60","10.60","10.60","1.90K","0.47%"
"05/11/2023","10.55","10.54","10.55","10.54","9.85K","0.00%"
"05/09/2023","10.55","10.55","10.55","10.55","0.10K","1.93%"
"05/04/2023","10.35","10.35","10.35","10.35","9.85K","0.00%"
"05/03/2023","10.35","10.25","10.35","10.25","3.62K","0.49%"
"05/02/2023","10.30","10.30","10.30","10.30","4.51K","-0.39%"
"04/28/2023","10.34","10.34","10.34","10.34","1.00K","-0.58%"
"04/27/2023","10.40","10.40","10.40","10.40","0.10K","-0.95%"
"04/25/2023","10.50","10.50","10.50","10.50","3.02K","1.45%"
"04/24/2023","10.35","10.35","10.35","10.35","0.05K","-1.43%"
"04/20/2023","10.50","10.50","10.50","10.50","172.58K","-3.40%"
"04/18/2023","10.87","10.87","10.87","10.87","0.10K","-0.18%"
"04/17/2023","10.89","10.90","10.90","10.89","0.31K","2.25%"
"04/14/2023","10.65","10.65","10.65","10.65","1.70K","0.00%"
"04/13/2023","10.65","10.89","10.89","10.65","0.40K","-0.47%"
"04/12/2023","10.70","11.00","11.00","10.70","3.53K","-2.01%"
"04/11/2023","10.92","10.70","10.92","10.70","7.74K","2.06%"
"04/10/2023","10.70","10.70","10.70","10.70","6.50K","2.39%"
"04/07/2023","10.45","10.45","10.45","10.45","19.49K","4.50%"
"04/06/2023","10.00","10.00","10.00","10.00","108.43K","1.94%"
"04/05/2023","9.81","9.60","9.81","9.60","21.17K","2.62%"
"04/04/2023","9.56","9.51","9.56","9.51","10.07K","3.46%"
"04/03/2023","9.24","9.24","9.24","9.24","0.84K","1.54%"
"03/31/2023","9.10","9.10","9.10","9.10","8.22K","4.48%"
"03/30/2023","8.71","9.10","9.10","8.71","323.82K","0.00%"
"03/29/2023","8.71","8.71","8.71","8.71","0.23K","0.00%"
"03/28/2023","8.71","8.71","8.71","8.71","0.05K","2.96%"
"03/24/2023","8.46","8.19","8.46","8.19","1.72K","-5.69%"
"03/21/2023","8.97","8.97","8.97","8.97","0.10K","-0.22%"
"03/17/2023","8.99","9.00","9.00","8.99","0.54K","-0.11%"
"03/16/2023","9.00","9.00","9.00","9.00","0.62K","-4.15%"
"03/10/2023","9.39","9.39","9.39","9.39","0.05K","0.00%"
"03/01/2023","9.39","9.39","9.39","9.39","0.00K","1.84%"
"02/28/2023","9.22","9.22","9.22","9.22","1.10K","-1.81%"
"02/13/2023","9.39","9.39","9.39","9.39","0.01K","1.40%"
"02/10/2023","9.26","9.26","9.26","9.26","12.49K","0.11%"
"02/09/2023","9.25","9.25","9.25","9.25","0.00K","0.00%"
"02/08/2023","9.25","9.25","9.25","9.25","0.05K","-1.60%"
"02/01/2023","9.40","9.40","9.40","9.40","0.06K","-1.05%"
"01/27/2023","9.50","9.50","9.50","9.50","0.60K","-0.52%"
"01/26/2023","9.55","9.55","9.55","9.55","0.13K","1.60%"
"01/25/2023","9.40","9.40","9.40","9.40","0.50K","-1.57%"
"01/24/2023","9.55","9.55","9.55","9.55","0.01K","1.49%"
"01/23/2023","9.41","9.41","9.41","9.41","0.40K","0.00%"
"01/20/2023","9.41","9.50","9.50","9.41","0.23K","-0.95%"
"01/18/2023","9.50","9.40","9.50","9.40","0.45K","1.06%"
"01/17/2023","9.40","9.30","9.40","9.30","3.02K","0.00%"
"01/16/2023","9.40","9.40","9.40","9.40","0.51K","-2.08%"
"01/13/2023","9.60","9.60","9.60","9.60","2.15K","1.05%"
"01/12/2023","9.50","9.50","9.50","9.50","0.28K","-1.04%"
"01/09/2023","9.60","9.60","9.60","9.60","0.01K","0.00%"
"01/03/2023","9.60","9.60","9.60","9.60","0.16K","0.00%"
"01/02/2023","9.60","9.60","9.60","9.60","0.01K","2.13%"
"12/30/2022","9.40","9.40","9.40","9.40","0.15K","-4.37%"
"12/29/2022","9.83","9.83","9.83","9.83","0.01K","3.47%"
"12/28/2022","9.50","9.50","9.50","9.50","0.10K","0.00%"
"12/23/2022","9.50","9.50","9.50","9.50","0.45K","0.00%"
"12/22/2022","9.50","9.50","9.50","9.50","0.02K","0.00%"
"12/21/2022","9.50","9.50","9.50","9.50","0.75K","-2.46%"
"12/20/2022","9.74","9.74","9.74","9.74","0.35K","0.00%"
"12/19/2022","9.74","9.74","9.74","9.74","0.03K","0.00%"
"12/16/2022","9.74","9.74","9.74","9.74","0.00K","1.67%"
"12/15/2022","9.58","9.58","9.58","9.58","0.12K","-2.24%"
"12/09/2022","9.80","9.80","9.80","9.80","0.15K","-0.91%"
"12/08/2022","9.89","9.89","9.89","9.89","0.00K","2.81%"
"12/07/2022","9.62","9.62","9.62","9.62","0.02K","-3.70%"
"12/01/2022","9.99","9.99","9.99","9.99","0.13K","0.00%"
"11/30/2022","9.99","9.99","9.99","9.99","0.00K","1.52%"
"11/29/2022","9.84","9.84","9.84","9.84","0.05K","-1.50%"
"11/25/2022","9.99","9.99","9.99","9.99","0.00K","0.40%"
"11/24/2022","9.95","9.95","9.95","9.95","0.00K","-0.40%"
"11/23/2022","9.99","9.99","9.99","9.99","0.00K","0.91%"
"11/22/2022","9.90","9.90","9.90","9.90","0.02K","4.21%"
"11/21/2022","9.50","9.90","9.90","9.50","9.91K","-4.04%"
"11/18/2022","9.90","10.00","10.00","9.90","1.24K","-1.00%"
"11/17/2022","10.00","10.00","10.00","10.00","0.35K","0.00%"
"11/16/2022","10.00","10.00","10.00","10.00","0.20K","1.01%"
"11/15/2022","9.90","9.90","9.90","9.90","0.47K","-1.00%"
"11/14/2022","10.00","10.00","10.00","10.00","0.39K","-0.99%"
"11/08/2022","10.10","10.10","10.10","10.10","0.10K","-0.79%"
"10/28/2022","10.18","10.18","10.18","10.18","0.30K","-0.20%"
"10/20/2022","10.20","10.20","10.20","10.20","0.01K","-2.86%"
"10/17/2022","10.50","10.50","10.50","10.50","0.00K","4.06%"
"10/14/2022","10.09","10.09","10.09","10.09","74.26K","-1.08%"
"10/11/2022","10.20","10.20","10.20","10.20","0.01K","0.00%"
"10/07/2022","10.20","10.00","10.20","10.00","0.07K","0.00%"
"10/06/2022","10.20","10.20","10.20","10.20","0.70K","-3.77%"
"10/04/2022","10.60","10.60","10.60","10.60","0.01K","-0.84%"
"10/03/2022","10.69","10.69","10.69","10.69","0.01K","1.71%"
"09/30/2022","10.51","10.51","10.51","10.51","0.17K","-4.45%"
"09/20/2022","11.00","11.00","11.00","11.00","0.02K","-1.52%"
"09/14/2022","11.17","11.17","11.17","11.17","1.70K","-0.09%"
"09/13/2022","11.18","11.18","11.18","11.18","0.01K","1.64%"
"09/12/2022","11.00","11.00","11.00","11.00","1.87K","1.85%"
"09/09/2022","10.80","10.65","10.80","10.65","1.34K","1.41%"
"09/08/2022","10.65","10.60","10.65","10.60","3.33K","1.43%"
"09/07/2022","10.50","10.50","10.50","10.50","2.20K","0.96%"
"09/02/2022","10.40","10.10","10.40","10.10","3.10K","2.97%"
"09/01/2022","10.10","10.18","10.18","10.10","3.82K","0.00%"
"08/31/2022","10.10","10.00","10.10","10.00","3.54K","3.06%"
"08/29/2022","9.80","9.80","9.80","9.80","0.01K","0.00%"
"08/26/2022","9.80","9.46","9.80","9.46","1.44K","3.59%"
"08/24/2022","9.46","9.20","9.46","9.20","0.01K","0.64%"
"08/18/2022","9.40","9.40","9.40","9.40","0.05K","-0.63%"
"08/12/2022","9.46","9.46","9.46","9.46","0.12K","0.00%"
"08/10/2022","9.46","9.46","9.46","9.46","1.00K","1.72%"
"08/09/2022","9.30","9.30","9.30","9.30","0.60K","-1.06%"
"08/04/2022","9.40","9.40","9.40","9.40","0.03K","-0.63%"
"07/27/2022","9.46","9.46","9.46","9.46","0.01K","2.83%"
"07/26/2022","9.20","9.20","9.20","9.20","0.09K","-3.16%"
"07/15/2022","9.50","9.50","9.50","9.50","0.01K","0.00%"
"07/08/2022","9.50","9.50","9.50","9.50","10.20K","0.00%"
"07/07/2022","9.50","9.50","9.50","9.50","21.94K","1.06%"
"07/06/2022","9.40","9.00","9.40","9.00","30.71K","4.44%"
"06/30/2022","9.00","9.00","9.00","9.00","0.11K","0.00%"
"06/28/2022","9.00","9.00","9.00","9.00","0.41K","0.00%"
"06/27/2022","9.00","9.00","9.00","9.00","0.45K","0.00%"
"06/24/2022","9.00","9.00","9.00","9.00","0.74K","-3.85%"
"06/16/2022","9.36","9.36","9.36","9.36","0.01K","4.00%"
"06/15/2022","9.00","9.00","9.00","9.00","0.27K","-3.95%"
"06/13/2022","9.37","9.37","9.37","9.37","0.00K","1.85%"
"06/10/2022","9.20","9.20","9.20","9.20","0.82K","-2.65%"
"06/09/2022","9.45","9.45","9.45","9.45","0.02K","2.72%"
