"Date","Price","Open","High","Low","Vol.","Change %"
"09/21/2023","20.50","20.50","20.50","20.50","","-10.48%"
"09/15/2023","22.90","22.90","22.90","22.90","0.08K","0.00%"
"09/14/2023","22.90","22.90","22.90","22.90","0.30K","-0.43%"
"09/04/2023","23.00","23.00","23.00","23.00","2.60K","0.00%"
"09/01/2023","23.00","23.00","23.00","23.00","1.67K","0.44%"
"08/29/2023","22.90","22.90","22.90","22.90","0.10K","0.00%"
"08/28/2023","22.90","22.90","22.90","22.90","0.30K","0.00%"
"08/25/2023","22.90","22.88","22.90","22.88","0.86K","0.09%"
"08/24/2023","22.88","22.88","22.88","22.88","0.11K","4.47%"
"08/17/2023","21.90","21.90","21.90","21.90","0.24K","-4.37%"
"08/16/2023","22.90","22.90","22.90","22.90","0.02K","0.00%"
"08/15/2023","22.90","22.90","22.90","22.90","0.01K","9.05%"
"08/11/2023","21.00","21.00","21.00","21.00","0.64K","2.44%"
"07/28/2023","20.50","20.50","20.50","20.50","0.26K","-7.24%"
"07/21/2023","22.10","22.10","22.10","22.10","0.32K","0.45%"
"06/22/2023","22.00","22.00","22.00","22.00","0.05K","0.00%"
"06/21/2023","22.00","22.00","22.00","22.00","0.28K","0.27%"
"06/20/2023","21.94","21.94","21.94","21.94","0.01K","0.00%"
"06/13/2023","21.94","21.94","21.94","21.94","0.01K","0.00%"
"06/09/2023","21.94","21.94","21.94","21.94","0.01K","0.00%"
"06/08/2023","21.94","21.94","21.94","21.94","0.01K","0.00%"
"06/07/2023","21.94","21.94","21.94","21.94","0.05K","0.00%"
"06/06/2023","21.94","21.94","21.94","21.94","0.06K","0.00%"
"06/01/2023","21.94","21.94","21.94","21.94","0.01K","4.48%"
"05/30/2023","21.00","21.00","21.00","21.00","0.00K","2.44%"
"05/18/2023","20.50","20.50","20.50","20.50","0.01K","-2.47%"
"05/16/2023","21.02","21.02","21.02","21.02","0.00K","0.00%"
"05/12/2023","21.02","21.02","21.02","21.02","0.06K","-0.10%"
"05/10/2023","21.04","21.02","21.04","21.02","0.21K","0.10%"
"05/09/2023","21.02","21.02","21.02","21.02","0.33K","-8.21%"
"05/05/2023","22.90","22.90","22.90","22.90","0.95K","0.00%"
"05/04/2023","22.90","22.90","22.90","22.90","0.05K","-0.09%"
"05/03/2023","22.92","22.92","22.92","22.92","0.33K","0.00%"
"05/02/2023","22.92","22.92","22.92","22.92","8.00K","-4.50%"
"04/25/2023","24.00","24.00","24.00","24.00","2.53K","-0.54%"
"04/19/2023","24.13","24.13","24.13","24.13","0.01K","9.14%"
"04/14/2023","22.11","22.11","22.11","22.11","0.18K","0.00%"
"04/11/2023","22.11","22.11","22.11","22.11","15.00K","0.50%"
"04/10/2023","22.00","22.00","22.00","22.00","0.01K","0.00%"
"04/07/2023","22.00","22.00","22.00","22.00","0.17K","0.00%"
"03/31/2023","22.00","22.00","22.00","22.00","0.01K","0.00%"
"03/24/2023","22.00","22.00","22.00","22.00","0.22K","0.00%"
"03/14/2023","22.00","22.00","22.00","22.00","0.41K","0.00%"
"03/13/2023","22.00","22.00","22.00","22.00","0.30K","0.00%"
"03/01/2023","22.00","22.00","22.00","22.00","0.03K","0.00%"
"02/20/2023","22.00","22.00","22.00","22.00","1.92K","-4.35%"
"02/15/2023","23.00","23.00","23.00","23.00","0.03K","0.00%"
"02/10/2023","23.00","23.00","23.00","23.00","1.44K","0.00%"
"02/09/2023","23.00","23.00","23.00","23.00","0.01K","0.00%"
"02/08/2023","23.00","23.00","23.00","23.00","0.02K","0.00%"
"02/07/2023","23.00","23.00","23.00","23.00","0.01K","4.55%"
"01/26/2023","22.00","22.00","22.00","22.00","0.17K","-1.35%"
"01/25/2023","22.30","22.30","22.30","22.30","0.10K","-3.04%"
"01/18/2023","23.00","23.00","23.00","23.00","1.22K","-2.17%"
"01/17/2023","23.51","23.51","23.51","23.51","0.02K","6.82%"
"01/10/2023","22.01","22.00","22.01","22.00","0.04K","0.05%"
"01/05/2023","22.00","22.00","22.00","22.00","10.17K","0.00%"
"12/28/2022","22.00","22.00","22.00","22.00","250.11K","-4.26%"
"12/21/2022","22.98","22.98","22.98","22.98","0.20K","4.45%"
"12/20/2022","22.00","22.00","22.00","22.00","0.05K","0.14%"
"12/16/2022","21.97","21.97","21.97","21.97","0.01K","0.00%"
"12/09/2022","21.97","21.97","21.97","21.97","0.04K","-4.48%"
"12/01/2022","23.00","23.00","23.00","23.00","0.25K","0.00%"
"11/30/2022","23.00","23.00","23.00","23.00","1.74K","0.00%"
"11/24/2022","23.00","23.00","23.00","23.00","0.01K","3.14%"
"11/22/2022","22.30","22.30","22.30","22.30","0.02K","0.00%"
"11/18/2022","22.30","22.30","22.30","22.30","1.00K","-0.09%"
"11/15/2022","22.32","22.32","22.32","22.32","3.34K","0.09%"
"11/10/2022","22.30","22.30","22.30","22.30","0.66K","0.00%"
"11/09/2022","22.30","22.30","22.30","22.30","0.46K","-0.22%"
"11/07/2022","22.35","22.35","22.35","22.35","0.11K","0.22%"
"11/03/2022","22.30","22.30","22.30","22.30","0.02K","0.00%"
"11/01/2022","22.30","22.30","22.30","22.30","0.10K","0.00%"
"10/31/2022","22.30","22.30","22.30","22.30","0.44K","0.00%"
"10/26/2022","22.30","22.30","22.30","22.30","0.50K","0.00%"
"10/25/2022","22.30","22.30","22.30","22.30","0.45K","-0.89%"
"10/21/2022","22.50","22.50","22.50","22.50","0.25K","-2.39%"
"10/17/2022","23.05","23.05","23.05","23.05","0.14K","-0.17%"
"10/12/2022","23.09","23.09","23.09","23.09","0.39K","-0.04%"
"10/04/2022","23.10","23.10","23.10","23.10","0.02K","0.43%"
"10/03/2022","23.00","23.00","23.00","23.00","0.22K","3.84%"
"09/30/2022","22.15","22.16","22.16","22.15","0.12K","4.43%"
"09/21/2022","21.21","21.21","21.21","21.21","0.26K","0.00%"
"09/13/2022","21.21","21.21","21.21","21.21","0.20K","0.00%"
"09/07/2022","21.21","21.21","21.21","21.21","0.01K","-4.03%"
"09/06/2022","22.10","22.10","22.10","22.10","0.05K","0.00%"
"09/05/2022","22.10","22.10","22.10","22.10","4.53K","0.00%"
"09/02/2022","22.10","22.10","22.10","22.10","2.15K","0.00%"
"09/01/2022","22.10","22.10","22.10","22.10","2.43K","0.00%"
"08/30/2022","22.10","22.10","22.10","22.10","1.94K","0.00%"
"08/26/2022","22.10","22.10","22.10","22.10","0.01K","0.00%"
"08/25/2022","22.10","22.10","22.10","22.10","0.02K","0.00%"
"08/24/2022","22.10","22.10","22.10","22.10","0.01K","0.00%"
"08/23/2022","22.10","22.10","22.10","22.10","0.01K","0.00%"
"08/18/2022","22.10","22.10","22.10","22.10","0.01K","0.00%"
"08/12/2022","22.10","22.10","22.10","22.10","0.30K","0.00%"
"08/04/2022","22.10","22.10","22.10","22.10","0.22K","0.00%"
"08/03/2022","22.10","22.10","22.10","22.10","1.00K","0.27%"
"07/27/2022","22.04","22.04","22.04","22.04","0.01K","4.45%"
"07/19/2022","21.10","21.10","21.10","21.10","0.78K","-4.05%"
"07/04/2022","21.99","21.99","21.99","21.99","0.00K","0.69%"
"06/28/2022","21.84","21.84","21.84","21.84","0.02K","9.20%"
"06/20/2022","20.00","20.00","20.00","20.00","25.00K","0.00%"
"06/17/2022","20.00","20.00","20.00","20.00","0.01K","0.00%"
"06/10/2022","20.00","20.00","20.00","20.00","0.01K","-0.25%"
"06/09/2022","20.05","20.05","20.05","20.05","0.09K","0.00%"
"06/07/2022","20.05","20.05","20.05","20.05","1.40K","0.00%"
"06/03/2022","20.05","20.05","20.05","20.05","0.75K","0.25%"
"05/26/2022","20.00","20.00","20.00","20.00","0.23K","-2.44%"
"05/23/2022","20.50","20.50","20.50","20.50","0.09K","0.00%"
"05/20/2022","20.50","20.50","20.50","20.50","0.00K","0.00%"
"05/19/2022","20.50","20.40","20.50","20.40","0.51K","0.00%"
"05/17/2022","20.50","21.34","21.34","20.50","0.16K","-3.98%"
"05/13/2022","21.35","21.35","21.35","21.35","0.03K","0.00%"
"05/12/2022","21.35","21.35","21.35","21.35","0.00K","0.00%"
"05/11/2022","21.35","21.35","21.35","21.35","0.02K","-3.39%"
"05/05/2022","22.10","22.10","22.10","22.10","0.01K","0.00%"
"04/22/2022","22.10","22.09","22.10","22.09","11.07K","0.00%"
"04/21/2022","22.10","22.10","22.10","22.10","0.25K","0.00%"
"04/20/2022","22.10","22.10","22.10","22.10","0.25K","-0.14%"
"04/18/2022","22.13","22.13","22.13","22.13","0.04K","0.18%"
"04/14/2022","22.09","22.09","22.09","22.09","1.69K","-0.05%"
"04/11/2022","22.10","22.10","22.10","22.10","0.02K","0.00%"
"04/06/2022","22.10","22.10","22.10","22.10","0.06K","0.36%"
"03/22/2022","22.02","22.02","22.02","22.02","1.69K","0.00%"
"03/21/2022","22.02","22.01","22.02","22.01","1.70K","0.05%"
"03/17/2022","22.01","22.01","22.01","22.01","0.00K","0.00%"
"03/16/2022","22.01","22.00","22.01","22.00","0.04K","0.05%"
"03/10/2022","22.00","22.00","22.00","22.00","0.02K","-0.05%"
"03/09/2022","22.01","22.01","22.01","22.01","0.01K","0.00%"
"03/07/2022","22.01","22.01","22.01","22.01","1.69K","0.00%"
"03/04/2022","22.01","22.01","22.01","22.01","1.69K","0.00%"
"03/03/2022","22.01","22.01","22.01","22.01","","0.09%"
"03/02/2022","21.99","21.99","21.99","21.99","0.84K","-0.05%"
"03/01/2022","22.00","22.00","22.00","22.00","0.25K","0.00%"
"02/28/2022","22.00","22.00","22.00","22.00","0.02K","0.00%"
"02/25/2022","22.00","22.00","22.00","22.00","0.05K","-1.12%"
"02/23/2022","22.25","22.25","22.25","22.25","0.39K","0.00%"
"02/16/2022","22.25","22.25","22.25","22.25","0.01K","0.14%"
"02/14/2022","22.22","22.22","22.22","22.22","0.02K","0.05%"
"02/09/2022","22.21","22.21","22.21","22.21","5.07K","0.05%"
"02/08/2022","22.20","22.20","22.20","22.20","0.01K","4.47%"
"02/07/2022","21.25","21.25","21.25","21.25","0.90K","0.19%"
"02/02/2022","21.21","21.00","21.21","21.00","0.01K","1.00%"
"01/31/2022","21.00","21.00","21.00","21.00","6.40K","-6.67%"
"01/26/2022","22.50","22.50","22.50","22.50","0.02K","2.55%"
"01/24/2022","21.94","21.94","21.94","21.94","0.06K","4.48%"
"01/21/2022","21.00","21.00","21.00","21.00","0.00K","2.44%"
"01/19/2022","20.50","20.50","20.50","20.50","0.05K","0.00%"
"01/06/2022","20.50","20.50","20.50","20.50","0.00K","3.54%"
"12/29/2021","19.80","19.80","19.80","19.80","0.02K","0.51%"
"12/27/2021","19.70","19.70","19.70","19.70","1.09K","-2.96%"
"12/24/2021","20.30","20.30","20.30","20.30","0.40K","0.25%"
"12/21/2021","20.25","20.25","20.25","20.25","2.21K","0.75%"
"12/16/2021","20.10","20.10","20.10","20.10","0.03K","0.00%"
"12/14/2021","20.10","20.10","20.10","20.10","0.10K","0.40%"
"12/10/2021","20.02","20.02","20.02","20.02","0.09K","0.05%"
"12/08/2021","20.01","20.01","20.01","20.01","0.47K","1.32%"
"11/29/2021","19.75","19.75","19.75","19.75","0.10K","0.92%"
"11/24/2021","19.57","19.57","19.57","19.57","0.10K","0.36%"
"11/22/2021","19.50","20.00","20.00","19.50","0.11K","-2.50%"
"11/17/2021","20.00","20.00","20.00","20.00","0.24K","0.00%"
"11/16/2021","20.00","20.00","20.00","20.00","4.53K","2.51%"
"11/12/2021","19.51","19.51","19.51","19.51","0.10K","0.00%"
"11/10/2021","19.51","19.51","19.51","19.51","0.10K","-2.45%"
"11/09/2021","20.00","20.00","20.00","20.00","1.60K","2.51%"
"11/08/2021","19.51","19.51","19.51","19.51","0.10K","0.05%"
"11/04/2021","19.50","19.50","19.50","19.50","0.10K","0.00%"
"11/03/2021","19.50","19.50","19.50","19.50","0.10K","0.00%"
"11/02/2021","19.50","19.50","19.50","19.50","0.10K","0.00%"
"11/01/2021","19.50","19.50","19.50","19.50","0.03K","-0.20%"
"10/28/2021","19.54","19.54","19.54","19.54","0.10K","-0.31%"
"10/27/2021","19.60","19.60","19.60","19.60","0.14K","0.36%"
"10/26/2021","19.53","19.53","19.53","19.53","0.10K","0.00%"
"10/25/2021","19.53","19.53","19.53","19.53","0.10K","-0.36%"
"10/22/2021","19.60","19.60","19.60","19.60","0.10K","0.05%"
"10/21/2021","19.59","19.59","19.59","19.59","10.68K","0.05%"
"10/20/2021","19.58","19.58","19.58","19.58","0.11K","0.00%"
"10/19/2021","19.58","19.58","19.58","19.58","0.11K","0.05%"
"10/11/2021","19.57","19.51","19.57","19.51","0.10K","-2.15%"
"10/08/2021","20.00","20.00","20.00","20.00","0.10K","0.00%"
"10/07/2021","20.00","20.00","20.00","20.00","0.10K","0.00%"
"10/06/2021","20.00","20.00","20.00","20.00","0.10K","-0.15%"
"10/05/2021","20.03","20.03","20.03","20.03","0.10K","0.05%"
"09/22/2021","20.02","20.02","20.02","20.02","0.05K","0.00%"
"09/16/2021","20.02","20.02","20.02","20.02","0.18K","0.05%"
"09/15/2021","20.01","20.01","20.01","20.01","0.47K","0.05%"
"09/14/2021","20.00","20.00","20.00","20.00","0.15K","-2.49%"
"09/13/2021","20.51","20.50","20.51","20.50","1.00K","0.05%"
"09/10/2021","20.50","20.50","20.50","20.50","2.20K","2.50%"
"09/09/2021","20.00","20.00","20.00","20.00","0.20K","0.00%"
"09/08/2021","20.00","20.00","20.00","20.00","0.10K","0.00%"
"09/07/2021","20.00","20.00","20.00","20.00","0.34K","0.00%"
"09/06/2021","20.00","20.00","20.00","20.00","0.10K","0.00%"
"09/03/2021","20.00","20.00","20.00","20.00","0.10K","0.00%"
"09/02/2021","20.00","20.00","20.00","20.00","0.10K","-0.05%"
"08/27/2021","20.01","20.01","20.01","20.01","0.20K","0.05%"
"08/26/2021","20.00","20.00","20.00","20.00","0.10K","-0.50%"
"08/25/2021","20.10","20.10","20.10","20.10","0.10K","0.00%"
"08/24/2021","20.10","20.00","20.10","20.00","1.52K","0.50%"
"08/23/2021","20.00","20.00","20.00","20.00","0.58K","0.00%"
"08/20/2021","20.00","20.00","20.00","20.00","0.08K","-2.01%"
"08/18/2021","20.41","20.41","20.41","20.41","0.02K","-2.81%"
"07/30/2021","21.00","21.00","21.00","21.00","0.10K","0.00%"
"07/26/2021","21.00","21.00","21.00","21.00","0.10K","0.00%"
"07/23/2021","21.00","21.00","21.00","21.00","0.10K","0.00%"
"07/22/2021","21.00","21.00","21.00","21.00","0.10K","0.00%"
"07/19/2021","21.00","21.00","21.00","21.00","0.11K","0.00%"
"07/15/2021","21.00","21.00","21.00","21.00","0.10K","0.00%"
"07/12/2021","21.00","21.00","21.00","21.00","0.01K","0.00%"
"07/09/2021","21.00","21.00","21.00","21.00","0.10K","0.00%"
"07/08/2021","21.00","21.00","21.00","21.00","0.50K","0.00%"
"07/01/2021","21.00","21.00","21.00","21.00","0.03K","-2.37%"
"06/30/2021","21.51","21.51","21.51","21.51","0.10K","0.00%"
"06/29/2021","21.51","21.51","21.51","21.51","0.16K","0.05%"
"06/28/2021","21.50","21.50","21.50","21.50","0.10K","-0.46%"
"06/24/2021","21.60","21.80","21.80","21.60","0.81K","-1.82%"
"06/23/2021","22.00","22.00","22.00","22.00","0.51K","0.41%"
"06/21/2021","21.91","21.90","21.91","21.90","84.62K","0.05%"
"06/18/2021","21.90","21.90","21.90","21.90","1.88K","0.18%"
"06/17/2021","21.86","21.86","21.86","21.86","0.10K","0.18%"
"06/16/2021","21.82","21.81","21.82","21.81","0.30K","0.05%"
"06/15/2021","21.81","21.81","21.81","21.81","0.10K","0.00%"
"06/14/2021","21.81","21.81","21.81","21.81","0.10K","-0.05%"
"06/11/2021","21.82","21.82","21.82","21.82","0.10K","0.32%"
"06/09/2021","21.75","21.75","21.75","21.75","0.10K","0.05%"
"06/08/2021","21.74","21.74","21.74","21.74","0.10K","0.00%"
"06/07/2021","21.74","21.74","21.74","21.74","0.10K","0.05%"
"06/04/2021","21.73","21.73","21.73","21.73","0.10K","0.00%"
"06/03/2021","21.73","21.73","21.73","21.73","0.23K","0.05%"
"06/01/2021","21.72","21.72","21.72","21.72","0.10K","-0.37%"
"05/31/2021","21.80","21.80","21.80","21.80","0.10K","-1.76%"
"05/27/2021","22.19","22.19","22.19","22.19","0.05K","2.26%"
"05/26/2021","21.70","21.70","21.70","21.70","0.10K","0.42%"
"05/25/2021","21.61","21.61","21.61","21.61","0.10K","-1.73%"
"05/24/2021","21.99","21.99","21.99","21.60","0.12K","0.00%"
"05/21/2021","21.99","21.60","21.99","21.60","0.11K","1.81%"
"05/20/2021","21.60","21.60","21.60","21.60","0.10K","-2.44%"
"05/19/2021","22.14","22.14","22.14","22.14","1.99K","-0.23%"
"05/18/2021","22.19","22.19","22.19","22.19","0.25K","-2.97%"
"05/11/2021","22.87","22.87","22.87","22.87","0.01K","-0.13%"
"05/07/2021","22.90","22.90","22.90","22.90","0.04K","-0.04%"
"05/06/2021","22.91","22.91","22.91","22.91","0.08K","0.00%"
"04/27/2021","22.91","22.91","22.91","22.91","0.01K","-0.09%"
"04/23/2021","22.93","22.93","22.93","22.93","0.90K","-4.46%"
"04/21/2021","24.00","24.00","24.00","24.00","0.59K","1.31%"
"04/20/2021","23.69","23.69","23.69","23.69","0.13K","3.00%"
"04/19/2021","23.00","23.00","23.00","23.00","0.12K","-2.04%"
