"Date","Price","Open","High","Low","Vol.","Change %"
"09/21/2023","22.90","23.85","23.85","22.90","14.60K","-4.58%"
"09/20/2023","24.00","24.35","25.00","24.00","5.93K","-3.23%"
"09/19/2023","24.80","25.25","25.25","24.80","0.24K","-2.36%"
"09/18/2023","25.40","25.90","25.90","25.00","1.94K","-1.93%"
"09/15/2023","25.90","26.00","26.00","25.01","1.45K","-1.15%"
"09/14/2023","26.20","26.88","26.88","26.20","0.15K","0.00%"
"09/13/2023","26.20","26.80","26.80","26.00","0.45K","-2.24%"
"09/12/2023","26.80","26.80","26.80","26.60","0.28K","-0.30%"
"09/11/2023","26.88","26.50","26.88","26.50","0.15K","-0.44%"
"09/08/2023","27.00","26.12","27.10","26.11","3.25K","0.75%"
"09/07/2023","26.80","27.10","27.10","26.80","1.22K","-1.47%"
"09/06/2023","27.20","27.20","27.20","27.20","0.18K","0.00%"
"09/05/2023","27.20","27.19","27.20","27.19","0.10K","0.18%"
"09/04/2023","27.15","27.15","27.15","27.10","0.38K","-0.18%"
"09/01/2023","27.20","27.20","27.20","27.10","0.59K","-0.73%"
"08/31/2023","27.40","27.40","27.40","27.40","0.00K","0.00%"
"08/30/2023","27.40","27.40","27.40","27.10","0.91K","0.00%"
"08/29/2023","27.40","27.50","27.50","27.00","0.44K","-0.36%"
"08/28/2023","27.50","27.00","27.50","27.00","0.00K","1.85%"
"08/25/2023","27.00","27.50","27.50","27.00","0.33K","-1.82%"
"08/24/2023","27.50","27.00","27.50","27.00","0.85K","1.85%"
"08/23/2023","27.00","27.00","27.50","27.00","7.10K","0.00%"
"08/22/2023","27.00","27.66","27.66","27.00","7.13K","-2.42%"
"08/21/2023","27.67","26.15","27.67","26.15","7.67K","5.97%"
"08/18/2023","26.11","27.00","27.00","25.92","2.44K","-0.34%"
"08/17/2023","26.20","27.79","27.80","26.20","0.42K","-5.76%"
"08/16/2023","27.80","27.70","27.80","27.70","0.08K","-0.18%"
"08/15/2023","27.85","27.88","27.89","27.85","0.41K","3.15%"
"08/14/2023","27.00","27.90","27.90","27.00","0.02K","0.00%"
"08/11/2023","27.00","27.00","27.00","27.00","0.29K","-1.82%"
"08/10/2023","27.50","27.88","27.88","27.00","0.12K","-1.36%"
"08/09/2023","27.88","27.90","27.90","26.81","0.11K","1.01%"
"08/08/2023","27.60","28.01","28.01","27.60","0.59K","-1.43%"
"08/07/2023","28.00","28.15","28.15","28.00","0.76K","-0.53%"
"08/04/2023","28.15","28.72","28.72","28.15","0.29K","-0.04%"
"08/03/2023","28.16","28.16","28.16","28.15","3.36K","-1.98%"
"08/02/2023","28.73","28.73","28.73","28.73","0.10K","0.00%"
"08/01/2023","28.73","28.74","28.75","28.16","1.59K","-0.24%"
"07/31/2023","28.80","28.84","28.84","28.80","1.06K","-0.07%"
"07/28/2023","28.82","28.10","28.82","28.10","4.29K","2.56%"
"07/27/2023","28.10","28.20","28.20","28.10","1.69K","-0.35%"
"07/26/2023","28.20","28.20","28.20","28.20","0.63K","0.00%"
"07/24/2023","28.20","28.20","28.20","28.20","1.39K","-0.84%"
"07/21/2023","28.44","28.40","28.49","28.40","1.82K","0.85%"
"07/20/2023","28.20","28.48","28.49","28.20","2.49K","-0.88%"
"07/18/2023","28.45","28.49","28.49","28.45","0.92K","0.32%"
"07/17/2023","28.36","28.10","28.36","28.10","2.04K","0.93%"
"07/14/2023","28.10","28.25","28.25","28.10","2.24K","0.36%"
"07/13/2023","28.00","28.00","28.00","28.00","1.95K","0.00%"
"07/12/2023","28.00","28.30","28.30","28.00","4.99K","-1.06%"
"07/11/2023","28.30","28.30","28.35","28.30","0.43K","0.00%"
"07/10/2023","28.30","28.20","28.30","28.10","4.73K","0.71%"
"07/07/2023","28.10","28.10","28.20","28.10","5.34K","0.36%"
"07/06/2023","28.00","28.00","28.00","27.53","0.58K","1.82%"
"07/05/2023","27.50","27.90","27.90","27.50","0.66K","-1.43%"
"07/04/2023","27.90","27.60","28.00","27.60","0.55K","-0.71%"
"07/03/2023","28.10","28.39","28.39","28.10","0.82K","2.18%"
"06/30/2023","27.50","27.59","28.40","27.50","15.29K","0.00%"
"06/27/2023","27.50","27.50","27.60","27.25","2.32K","0.00%"
"06/26/2023","27.50","26.90","27.50","26.90","15.27K","2.42%"
"06/23/2023","26.85","26.65","26.85","26.60","1.90K","-0.19%"
"06/22/2023","26.90","26.89","27.00","26.89","1.89K","0.30%"
"06/21/2023","26.82","26.99","27.00","26.82","0.98K","-0.67%"
"06/20/2023","27.00","26.77","27.00","26.51","3.93K","0.93%"
"06/19/2023","26.75","26.51","26.75","26.51","0.32K","0.91%"
"06/16/2023","26.51","26.50","26.80","26.50","1.20K","0.04%"
"06/15/2023","26.50","26.51","27.00","26.50","3.03K","-1.19%"
"06/14/2023","26.82","27.85","27.85","26.82","0.95K","-3.80%"
"06/13/2023","27.88","27.50","27.88","26.85","1.41K","0.00%"
"06/12/2023","27.88","28.00","28.00","27.00","4.09K","-1.83%"
"06/09/2023","28.40","29.97","30.00","27.50","34.28K","-1.46%"
"06/08/2023","28.82","28.00","28.82","28.00","6.60K","5.99%"
"06/05/2023","27.19","27.20","27.20","26.55","6.95K","-1.49%"
"06/02/2023","27.60","27.30","27.60","27.30","2.02K","-0.72%"
"06/01/2023","27.80","28.00","28.00","27.10","5.07K","-0.71%"
"05/31/2023","28.00","27.20","28.49","27.20","29.87K","3.70%"
"05/30/2023","27.00","26.20","27.00","26.00","27.09K","3.25%"
