"Date","Price","Open","High","Low","Vol.","Change %"
"09/21/2023","8.62","8.50","8.62","8.50","0.35K","-0.12%"
"09/20/2023","8.63","8.46","8.63","8.46","0.12K","2.01%"
"09/19/2023","8.46","8.46","8.46","8.46","0.46K","0.00%"
"09/18/2023","8.46","8.46","8.46","8.46","0.22K","0.00%"
"09/15/2023","8.46","8.45","8.46","8.45","0.49K","0.12%"
"09/14/2023","8.45","8.45","8.45","8.45","0.37K","0.00%"
"09/13/2023","8.45","8.45","8.45","8.45","0.23K","1.81%"
"09/12/2023","8.30","8.30","8.30","8.30","6.88K","0.12%"
"09/08/2023","8.29","8.28","8.29","8.28","3.41K","0.12%"
"09/07/2023","8.28","8.28","8.28","8.28","0.00K","2.22%"
"09/06/2023","8.10","8.10","8.10","8.10","0.21K","0.62%"
"09/05/2023","8.05","8.05","8.05","8.05","0.28K","0.00%"
"09/04/2023","8.05","8.05","8.05","8.05","2.35K","0.63%"
"09/01/2023","8.00","8.00","8.00","8.00","1.43K","0.25%"
"08/31/2023","7.98","7.98","7.98","7.98","5.00K","0.38%"
"08/30/2023","7.95","7.95","7.95","7.95","5.15K","-0.25%"
"08/29/2023","7.97","7.97","7.97","7.97","1.50K","0.00%"
"08/28/2023","7.97","7.97","7.97","7.97","123.66K","0.00%"
"08/25/2023","7.97","7.97","7.97","7.97","3.65K","0.13%"
"08/24/2023","7.96","7.96","7.96","7.96","0.29K","0.13%"
"08/23/2023","7.95","7.95","7.95","7.95","2.00K","0.51%"
"08/22/2023","7.91","7.91","7.91","7.91","0.26K","0.13%"
"08/18/2023","7.90","7.90","7.90","7.90","0.07K","0.00%"
"08/17/2023","7.90","7.90","7.90","7.90","13.68K","2.60%"
"08/15/2023","7.70","7.70","7.70","7.70","2.52K","0.00%"
"08/14/2023","7.70","7.70","7.70","7.70","2.60K","-0.26%"
"08/09/2023","7.72","7.72","7.72","7.72","30.99K","-0.64%"
"08/07/2023","7.77","7.77","7.77","7.77","0.28K","-0.13%"
"08/04/2023","7.78","7.78","7.78","7.78","0.50K","-0.13%"
"08/02/2023","7.79","7.79","7.79","7.79","0.09K","-0.13%"
"08/01/2023","7.80","7.80","7.80","7.80","18.33K","1.30%"
"07/31/2023","7.70","7.70","7.70","7.70","21.25K","-2.16%"
"07/27/2023","7.87","7.87","7.87","7.87","7.50K","-0.25%"
"07/24/2023","7.89","7.89","7.89","7.89","0.80K","0.00%"
"07/20/2023","7.89","7.89","7.89","7.89","0.05K","-0.13%"
"07/18/2023","7.90","7.92","7.92","7.90","0.55K","-0.25%"
"07/17/2023","7.92","7.92","7.92","7.92","0.03K","-0.25%"
"07/12/2023","7.94","7.94","7.94","7.94","23.70K","-0.13%"
"07/05/2023","7.95","7.95","7.95","7.95","0.11K","0.13%"
"07/04/2023","7.94","7.94","7.94","7.94","1.91K","-0.13%"
"06/30/2023","7.95","7.95","7.95","7.95","0.03K","0.00%"
"06/26/2023","7.95","7.95","7.95","7.95","0.07K","0.00%"
"06/23/2023","7.95","7.96","7.96","7.95","2.10K","-0.25%"
"06/21/2023","7.97","7.97","7.97","7.97","0.04K","0.00%"
"06/20/2023","7.97","7.97","7.97","7.97","1.00K","0.00%"
"06/19/2023","7.97","7.97","7.97","7.97","0.20K","0.00%"
"06/16/2023","7.97","7.97","7.97","7.97","3.00K","0.00%"
"06/15/2023","7.97","7.97","7.97","7.97","0.10K","0.50%"
"06/14/2023","7.93","7.93","7.93","7.93","0.50K","-0.13%"
"06/13/2023","7.94","7.94","7.94","7.94","0.05K","-0.13%"
"06/12/2023","7.95","7.95","7.95","7.95","0.25K","-0.13%"
"06/09/2023","7.96","7.96","7.96","7.96","0.38K","0.00%"
"06/08/2023","7.96","7.96","7.96","7.96","0.12K","-0.13%"
"06/07/2023","7.97","7.97","7.97","7.97","0.05K","0.00%"
"06/06/2023","7.97","7.97","7.97","7.97","0.04K","0.00%"
"06/05/2023","7.97","7.97","7.97","7.97","0.05K","-0.25%"
"06/02/2023","7.99","7.99","7.99","7.99","0.20K","0.13%"
"06/01/2023","7.98","7.98","7.98","7.98","0.02K","0.88%"
"05/30/2023","7.91","7.91","7.91","7.91","0.20K","-0.25%"
"05/29/2023","7.93","7.93","7.93","7.93","0.09K","4.34%"
"05/26/2023","7.60","7.93","7.93","7.60","9.61K","-4.28%"
"05/25/2023","7.94","7.94","7.94","7.94","0.05K","0.25%"
"05/24/2023","7.92","7.92","7.92","7.92","0.50K","0.00%"
"05/23/2023","7.92","7.92","7.92","7.92","0.10K","0.00%"
"05/22/2023","7.92","7.92","7.92","7.92","0.34K","-0.88%"
"05/17/2023","7.99","7.99","7.99","7.99","0.06K","1.14%"
"05/16/2023","7.90","7.90","7.90","7.90","0.05K","1.15%"
"05/15/2023","7.81","7.81","7.81","7.81","0.05K","4.13%"
"05/12/2023","7.50","7.50","7.50","7.50","3.26K","-0.27%"
"05/11/2023","7.52","7.52","7.52","7.52","2.90K","-2.84%"
"05/10/2023","7.74","7.74","7.74","7.74","1.18K","-0.26%"
"05/09/2023","7.76","7.76","7.76","7.76","0.10K","-0.39%"
"05/08/2023","7.79","7.79","7.79","7.79","0.10K","1.43%"
"05/05/2023","7.68","7.68","7.68","7.68","1.39K","0.00%"
"05/04/2023","7.68","7.68","7.68","7.68","0.15K","0.39%"
"05/03/2023","7.65","7.59","7.65","7.59","1.88K","2.00%"
"05/02/2023","7.50","7.50","7.50","7.50","25.42K","2.04%"
"04/27/2023","7.35","7.36","7.36","7.35","0.24K","-0.14%"
"04/26/2023","7.36","7.37","7.37","7.36","0.27K","-0.14%"
"04/25/2023","7.37","7.37","7.37","7.37","0.10K","0.96%"
"04/24/2023","7.30","7.30","7.30","7.30","0.92K","0.00%"
